Paper,Region,Method,Mean_pval,Std_pval,P_cross
Liu_2012,entoinalthickness,Control,0.266,0.11096891483104045,0.004442452180043203
Liu_2012,parahippocampal,Control,0.489,0.07368808518288182,1.6582444316157608e-17
Liu_2012,middletemporal,Control,0.088,0.020711756626201477,0.0186796460485223
Liu_2012,superiortemporal,Control,0.266,0.03769685084050416,5.2353618316280415e-17
Liu_2012,inferiortemporal,Control,0.489,0.08908349420078455,2.186095654017022e-12
Liu_2012,temporalpole,Control,0.088,0.04660618121546052,0.2195664251021339
Liu_2012,transversetemporal,Control,0.839,0.12184031165745926,2.922041190234292e-09
Liu_2012,insula,Control,0.491,0.15171817693033385,4.9760944087041404e-05
Liu_2012,fusiform,Control,0.133,0.04084618613392816,0.005689521329353206
Liu_2012,medialorbitofrontal,Control,0.021,0.010426876498467417,0.013836292038345133
Liu_2012,lateralorbitofrontal,Control,0.005,0.0026788762075182575,9.301448500309561e-13
Liu_2012,parsorbitalis,Control,0.025,0.01157750804829045,0.03284707920733465
Liu_2012,parsopercularis,Control,0.17,0.039848877754162494,2.7962102497791844e-05
Liu_2012,superiorfrontal,Control,0.611,0.06736523590141424,2.0309445341407566e-28
Liu_2012,parstriangularis,Control,0.119,0.03556702948609147,0.00926257057078691
Liu_2012,frontalpole,Control,0.095,0.04805703695159404,0.17249768822227912
Liu_2012,rostralmiddlefrontal,Control,0.939,0.11230244184272212,4.362179252840939e-06
Liu_2012,caudalmiddlefrontal,Control,0.016,0.005107466889003577,2.910043134241036e-06
Liu_2012,precentral,Control,0.443,0.08709126343920183,6.080044968274236e-11
Liu_2012,superiorparietal,Control,0.093,0.015540899340499624,0.0005717226354849978
Liu_2012,postcentral,Control,0.111,0.03181389276742177,0.010924266280327333
Liu_2012,paracentral,Control,0.671,0.10826142029685432,1.1225796052675962e-12
Liu_2012,inferiorparietal,Control,0.444,0.06747542213911127,2.0293906878987548e-17
Liu_2012,supramarginal,Control,0.438,0.0655482563798119,6.34967561561811e-18
Liu_2012,pericalcarine,Control,0.952,0.1629072483328485,0.006417130223219059
