repetition,region,hemisphere,F,p_value,np2,sample_size,metric,test,analysis,study,timepoint_x,NPVR,num,anat,n,timepoint_y,NPVR_CI_low,NPVR_CI_high,significant,std_F,std_p,std_p_low,std_p_high,proba_significant,r,std_r
1,lh-bankssts,lh,0.37778395721721714,0.5395118245280452,0.001943555222855961,198,cortical thickness,F,Group differences,cross-sectional,baseline,0.1708186971006415,0.0229082455813996,0.134108537122858,198,hc & pd,0.1661653480326632,0.175604680159472,False,0.2099844603133333,0.11260472461677669,0.10953720859400366,0.11575967377344101,1.96895921539606e-09,,
2,lh-bankssts,lh,0.46967616109006444,0.4939542588502187,0.0024151640006897816,198,cortical thickness,F,Group differences,cross-sectional,baseline,0.1708186971006415,0.0229082455813996,0.134108537122858,198,hc & pd,0.1661653480326632,0.175604680159472,False,0.23413409420089562,0.10753368344913711,0.10460430994291316,0.1105465526255013,5.123034663427651e-09,,
3,lh-bankssts,lh,0.4069020017447068,0.5242983255206526,0.002093042981267481,198,cortical thickness,F,Group differences,cross-sectional,baseline,0.1708186971006415,0.0229082455813996,0.134108537122858,198,hc & pd,0.1661653480326632,0.175604680159472,False,0.21792663544279203,0.11097223766694975,0.1079491929564827,0.11408144794948467,2.63078247506667e-09,,
4,lh-bankssts,lh,0.6367140891035138,0.42587882812782274,0.0032712948946108378,198,cortical thickness,F,Group differences,cross-sectional,baseline,0.1708186971006415,0.0229082455813996,0.134108537122858,198,hc & pd,0.1661653480326632,0.175604680159472,False,0.27260739370000503,0.0988988114607122,0.09620466439164913,0.10166974956188837,3.3516782211667874e-08,,
5,lh-bankssts,lh,0.29683465230089484,0.5864993977807307,0.0015277379728397943,198,cortical thickness,F,Group differences,cross-sectional,baseline,0.1708186971006415,0.0229082455813996,0.134108537122858,198,hc & pd,0.1661653480326632,0.175604680159472,False,0.18613270982702632,0.11727171142970916,0.11407705991705804,0.12055741980770932,9.892241476385215e-10,,
6,lh-bankssts,lh,0.14115697054396004,0.7075440202816623,0.000727084214118375,198,cortical thickness,F,Group differences,cross-sectional,baseline,0.1708186971006415,0.0229082455813996,0.134108537122858,198,hc & pd,0.1661653480326632,0.175604680159472,False,0.12835611546234788,0.12680355788037784,0.1233492450452241,0.13035632868425165,1.0007631544997175e-09,,
7,lh-bankssts,lh,0.18049867517531426,0.6714158616954053,0.0009295406923290068,198,cortical thickness,F,Group differences,cross-sectional,baseline,0.1708186971006415,0.0229082455813996,0.134108537122858,198,hc & pd,0.1661653480326632,0.175604680159472,False,0.14514511037982453,0.12432323974778324,0.12093649437606586,0.12780651721887443,7.288028882628754e-10,,
8,lh-bankssts,lh,0.17803366734321788,0.6735357486467644,0.0009168579163192932,198,cortical thickness,F,Group differences,cross-sectional,baseline,0.1708186971006415,0.0229082455813996,0.134108537122858,198,hc & pd,0.1661653480326632,0.175604680159472,False,0.14415060507700656,0.12447719845586695,0.12108625902563651,0.1279647895283446,7.364493156210008e-10,,
9,lh-bankssts,lh,0.44698505978187625,0.5045649122492636,0.002298750271928632,198,cortical thickness,F,Group differences,cross-sectional,baseline,0.1708186971006415,0.0229082455813996,0.134108537122858,198,hc & pd,0.1661653480326632,0.175604680159472,False,0.22840831204448447,0.10876402747788076,0.1058011376157975,0.11181136832378726,4.005930215796e-09,,
10,lh-bankssts,lh,0.12511873416829333,0.7239318954497296,0.0006445262467018955,198,cortical thickness,F,Group differences,cross-sectional,baseline,0.1708186971006415,0.0229082455813996,0.134108537122858,198,hc & pd,0.1661653480326632,0.175604680159472,False,0.12084441166112214,0.12782898343062596,0.12434673651618511,0.13141048451634174,1.2822309881991855e-09,,
11,lh-bankssts,lh,0.25384002670911815,0.6149557325757067,0.0013067439319305923,198,cortical thickness,F,Group differences,cross-sectional,baseline,0.1708186971006415,0.0229082455813996,0.134108537122858,198,hc & pd,0.1661653480326632,0.175604680159472,False,0.17212559442323783,0.11982944548834483,0.11656511759014632,0.12318681623165627,7.71244846525076e-10,,
12,lh-bankssts,lh,0.3912843801497674,0.5323602065054274,0.0020128699771568737,198,cortical thickness,F,Group differences,cross-sectional,baseline,0.1708186971006415,0.0229082455813996,0.134108537122858,198,hc & pd,0.1661653480326632,0.175604680159472,False,0.2137035105214657,0.11184483633358003,0.1087980207697989,0.11497849500792766,2.247645477908871e-09,,
13,lh-bankssts,lh,0.6592678748047371,0.4178136828699083,0.0033867787647734594,198,cortical thickness,F,Group differences,cross-sectional,baseline,0.1708186971006415,0.0229082455813996,0.134108537122858,198,hc & pd,0.1661653480326632,0.175604680159472,False,0.27739354933524846,0.09778785087889061,0.09512396798743647,0.10052766218531965,4.321929430229208e-08,,
14,lh-bankssts,lh,0.25302399461627895,0.6155243857262365,0.001302548549376979,198,cortical thickness,F,Group differences,cross-sectional,baseline,0.1708186971006415,0.0229082455813996,0.134108537122858,198,hc & pd,0.1661653480326632,0.175604680159472,False,0.17184870137642141,0.11987853199112529,0.11661286690539496,0.12323727803570475,7.68498354424499e-10,,
15,lh-bankssts,lh,0.3133163156684833,0.5762979624407871,0.0016124284305841933,198,cortical thickness,F,Group differences,cross-sectional,baseline,0.1708186971006415,0.0229082455813996,0.134108537122858,198,hc & pd,0.1661653480326632,0.175604680159472,False,0.19123038798158415,0.11630590732533033,0.11313756571730467,0.11956455588985479,1.1168682278703183e-09,,
16,lh-bankssts,lh,0.31633369964164476,0.5744686501375149,0.0016279315980230855,198,cortical thickness,F,Group differences,cross-sectional,baseline,0.1708186971006415,0.0229082455813996,0.134108537122858,198,hc & pd,0.1661653480326632,0.175604680159472,False,0.1921490010503451,0.11612996450318047,0.11296641583282127,0.11938368351736633,1.1433958999040571e-09,,
17,lh-bankssts,lh,0.227368074681188,0.6340189326977577,0.0011706284080097511,198,cortical thickness,F,Group differences,cross-sectional,baseline,0.1708186971006415,0.0229082455813996,0.134108537122858,198,hc & pd,0.1661653480326632,0.175604680159472,False,0.1629033977979911,0.12143220493741434,0.11812421554714786,0.12483448165238362,7.063949545155175e-10,,
