region,hemisphere,F_mean,p_value,p_value_std,sample_size,fraction_significant,count_significant,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high,std_p,std_p_low,std_p_high,proba_significant,group,metric,test,analysis,study,significant,r_mean
lh-BrainSegVolNotVent,lh,13.853404846478462,0.00026049495427774065,2.958355339322291e-05,198.0,1.0,26,0.0254340503680745,2748.4335500323227,108061.18216555168,198,baseline,0.0247411899459776,0.0261466593285991,2.4236313947754945e-05,2.3576081602969122e-05,2.4915364835809192e-05,1.0,simulated,cortical thickness,F,Group differences,cross-sectional,True,
rh-BrainSegVolNotVent,rh,13.853404846478462,0.00026049495427774065,2.958355339322291e-05,198.0,1.0,26,0.0254340503680745,2748.4335500323227,108061.18216555168,198,baseline,0.0247411899459776,0.0261466593285991,2.4236313947754945e-05,2.3576081602969122e-05,2.4915364835809192e-05,1.0,simulated,cortical thickness,F,Group differences,cross-sectional,True,
lh-MeanThickness,lh,0.990287699567737,0.32493165474714786,0.045853861583045864,198.0,0.0,0,0.1033113797561314,0.0085827979585901,0.0830769851186776,198,baseline,0.1004970279266212,0.1062059488032536,0.05011344430383281,0.048748281395424566,0.05151751832809777,5.056001173058839e-16,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-MeanThickness,rh,1.3789249060653124,0.2439799409428349,0.030755640738831833,198.0,0.0,0,0.0932746888094485,0.0077518741491588,0.0831080140615129,198,baseline,0.0907337509987492,0.0958880507425201,0.037261178867856855,0.0362461303111151,0.03830515926251206,4.202380308652801e-14,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-bankssts,lh,0.39637212602085836,0.5471198784656855,0.10260140487472036,198.0,0.0,0,0.1708186971006415,0.0229082455813996,0.134108537122858,198,baseline,0.1661653480326632,0.175604680159472,0.11155981175850542,0.10852076067755484,0.11468548463966524,9.088174224495165e-10,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-bankssts,rh,0.02882654076980187,0.8927900271679579,0.08026278148938809,198.0,0.0,0,0.1524478784293307,0.0216102563134539,0.1417550479291957,198,baseline,0.1482949771073727,0.1567191495249507,0.1197353359208254,0.11647357170374456,0.12309006991064639,9.13289589254649e-08,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-caudalanteriorcingulate,lh,0.7530386346593736,0.40580999266626055,0.10646525334913978,198.0,0.0,0,0.2185208476874954,0.040465521022327,0.1851792240903091,198,baseline,0.2125680228493494,0.2246433453577444,0.11935763351853945,0.11610615846272421,0.1227017850760547,1.4985886043622405e-05,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-caudalanteriorcingulate,rh,0.09306939435680892,0.8067611835555211,0.13376617210025038,198.0,0.0,0,0.2244641881876472,0.0358549046579988,0.1597355237265061,198,baseline,0.2183494581339337,0.2307532058432924,0.17069929000415332,0.16604919375867394,0.1754819275255773,1.9584126939664005e-05,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-caudalmiddlefrontal,lh,0.04338475374738049,0.8668249415547519,0.09583069753723229,198.0,0.0,0,0.1730423889259097,0.0194277295234588,0.1122715055198241,198,baseline,0.1683284632673227,0.1778906751844744,0.1349201426547109,0.1312447222778426,0.13870032320871664,4.7015229030268596e-07,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-caudalmiddlefrontal,rh,0.15188815496718705,0.7235391466702884,0.11569837746099577,198.0,0.0,0,0.1649404837936765,0.0202747631738578,0.1229216909489574,198,baseline,0.1604472657820616,0.1695617715950157,0.12178197533072659,0.11846445768763209,0.1251940518814591,1.6810314413796186e-10,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-cuneus,lh,0.052728393296479464,0.8531056356421808,0.10419728759099127,198.0,0.0,0,0.1970180519818301,0.0253568302882841,0.1287030809269326,198,baseline,0.1916509944868043,0.2025380862349499,0.15289441174414886,0.14872934620703415,0.15717819377045852,6.32200033401427e-06,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-cuneus,rh,0.2585859023844587,0.6428844614619719,0.1290965089831443,198.0,0.0,0,0.2032276300375505,0.0250979733701402,0.1234968560402089,198,baseline,0.1976914146297869,0.208921643696213,0.1422251751062103,0.13835075504999356,0.14621002740956487,1.4957320838578147e-07,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-eTIV,lh,5.582752669966903,0.019127772135261886,3.984343585182257e-05,198.0,1.0,26,0.0006775018545617,114.82821427547876,169487.675203119,198,baseline,0.0006590457213808,0.0006964840412503,3.394383443177297e-05,3.3019155149015126e-05,3.489486976514144e-05,1.0,simulated,cortical thickness,F,Group differences,cross-sectional,True,
rh-eTIV,rh,5.582752669966903,0.019127772135261886,3.984343585182257e-05,198.0,1.0,26,0.0006775018545617,114.82821427547876,169487.675203119,198,baseline,0.0006590457213808,0.0006964840412503,3.394383443177297e-05,3.3019155149015126e-05,3.489486976514144e-05,1.0,simulated,cortical thickness,F,Group differences,cross-sectional,True,
lh-entorhinal,lh,5.526979184441223,0.0241353593213446,0.01481860647010499,198.0,0.9615384615384616,25,0.3232811168835274,0.0904751915152451,0.2798653765720617,198,baseline,0.3144744703660292,0.3323387784563282,0.01664450194087573,0.016191081566477816,0.017110846115511193,0.9213284179411375,simulated,cortical thickness,F,Group differences,cross-sectional,True,
rh-entorhinal,rh,5.425284923816262,0.02882076489300933,0.0226756421470555,198.0,0.7692307692307693,20,0.2930034707560335,0.0869979368598532,0.2969177690468085,198,baseline,0.2850216312343698,0.3012128159332229,0.015854774848176878,0.015422867785220517,0.016298992519385554,0.8986978517826649,simulated,cortical thickness,F,Group differences,cross-sectional,True,
