Paper,Region,Method,Mean_pval,Std_pval,P_cross
Hanganu_2014,Right-Thalamus,ALL_PD,0.031,0.04070946683604353,0.2094138180857602
Hanganu_2014,Right-Caudate,ALL_PD,0.885,0.4119759197171013,0.11499999999705555
Hanganu_2014,Right-Putamen,ALL_PD,0.341,0.3236534590730302,0.268949165902223
Hanganu_2014,Right-Pallidum,ALL_PD,0.621,0.4138367630770561,0.19880040102695323
Hanganu_2014,Right-Hippocampus,ALL_PD,0.468,0.37719157369964107,0.21781058253752983
Hanganu_2014,Right-Amygdala,ALL_PD,0.031,0.04772796101970925,0.20493226319226132
Hanganu_2014,Right-Accumbens-area,ALL_PD,0.409,0.31216452724970223,0.14853659452924703
Hanganu_2014,Left-Thalamus,ALL_PD,0.692,0.3860981733077287,0.13414875924586184
Hanganu_2014,Left-Caudate,ALL_PD,0.266,0.20288771155644214,0.1327369346904038
Hanganu_2014,Left-Putamen,ALL_PD,0.728,0.42305640728835575,0.21719592369720728
Hanganu_2014,Left-Pallidum,ALL_PD,0.741,0.4110540771207755,0.1934642391536618
Hanganu_2014,Left-Hippocampus,ALL_PD,0.997,0.5027056096565969,0.0029999999970555646
Hanganu_2014,Left-Amygdala,ALL_PD,0.251,0.24731711815046553,0.2729260939590777
Hanganu_2014,Left-Accumbens-area,ALL_PD,0.862,0.42678309014985,0.1379999999970555
Hanganu_2014,Right-Thalamus,ALL_PD (exact),0.031,0.11878589045232837,0.09521199289735949
Hanganu_2014,Right-Caudate,ALL_PD (exact),0.885,0.26198119908348183,0.03339586724633578
Hanganu_2014,Right-Putamen,ALL_PD (exact),0.341,0.28308697717545755,0.17837129593252504
Hanganu_2014,Right-Pallidum,ALL_PD (exact),0.621,0.2795939437963146,0.017529664669195772
Hanganu_2014,Right-Hippocampus,ALL_PD (exact),0.468,0.2855569088794342,0.0611147549110871
Hanganu_2014,Right-Amygdala,ALL_PD (exact),0.031,0.1346030481762437,0.07448054365579215
Hanganu_2014,Right-Accumbens-area,ALL_PD (exact),0.409,0.28194528656584733,0.09636930200690087
Hanganu_2014,Left-Thalamus,ALL_PD (exact),0.692,0.2676464232594676,0.009329146293292073
Hanganu_2014,Left-Caudate,ALL_PD (exact),0.266,0.26223634129622403,0.27406295064953895
Hanganu_2014,Left-Putamen,ALL_PD (exact),0.728,0.2628634459673387,0.007803330273171519
Hanganu_2014,Left-Pallidum,ALL_PD (exact),0.741,0.259778790103769,0.007094377163858465
Hanganu_2014,Left-Hippocampus,ALL_PD (exact),0.997,0.2571911276061015,0.0029999999970555646
Hanganu_2014,Left-Amygdala,ALL_PD (exact),0.251,0.2748005823337181,0.3434387035703975
Hanganu_2014,Left-Accumbens-area,ALL_PD (exact),0.862,0.26177689619043326,0.022538328983040076
Hanganu_2014,Right-Thalamus,PD_MCI,0.021,0.030464804226745034,0.12734663566800775
Hanganu_2014,Right-Caudate,PD_MCI,0.678,0.3791065950935727,0.12177277615067592
Hanganu_2014,Right-Putamen,PD_MCI,0.48,0.3934143298700172,0.24179683417194262
Hanganu_2014,Right-Pallidum,PD_MCI,0.484,0.36454181721719375,0.17689690627378993
Hanganu_2014,Right-Hippocampus,PD_MCI,0.47,0.3759619515750093,0.21320416000625697
Hanganu_2014,Right-Amygdala,PD_MCI,0.059,0.08233238649837134,0.6436503458760112
Hanganu_2014,Right-Accumbens-area,PD_MCI,0.485,0.34127268131773864,0.13262589837756217
Hanganu_2014,Left-Thalamus,PD_MCI,0.35,0.2708885151419947,0.14091827055104947
Hanganu_2014,Left-Caudate,PD_MCI,0.338,0.23648757140700705,0.09345533747256214
Hanganu_2014,Left-Putamen,PD_MCI,0.591,0.38674204637092957,0.1541810768339865
Hanganu_2014,Left-Pallidum,PD_MCI,0.702,0.4000160413307039,0.16167438572996126
Hanganu_2014,Left-Hippocampus,PD_MCI,0.747,0.4731651217924721,0.2529999999970556
Hanganu_2014,Left-Amygdala,PD_MCI,0.302,0.2794678870711251,0.23813776485863108
Hanganu_2014,Left-Accumbens-area,PD_MCI,0.414,0.3106123086477154,0.14037811309234327
Hanganu_2014,Right-Thalamus,PD_MCI (exact),0.021,0.09300908899622279,0.0713324208623306
Hanganu_2014,Right-Caudate,PD_MCI (exact),0.678,0.26631449177492095,0.0091063036168586
Hanganu_2014,Right-Putamen,PD_MCI (exact),0.48,0.27968646623190435,0.04884061799462986
Hanganu_2014,Right-Pallidum,PD_MCI (exact),0.484,0.2782406609602771,0.04568847984361518
Hanganu_2014,Right-Hippocampus,PD_MCI (exact),0.47,0.28073579139931065,0.05453036156955111
Hanganu_2014,Right-Amygdala,PD_MCI (exact),0.059,0.17540207060572108,0.8487257218949783
Hanganu_2014,Right-Accumbens-area,PD_MCI (exact),0.485,0.277582490515634,0.04463054036319543
Hanganu_2014,Left-Thalamus,PD_MCI (exact),0.35,0.27511681458163223,0.14915868297622223
Hanganu_2014,Left-Caudate,PD_MCI (exact),0.338,0.2745045565189063,0.16502657030578077
Hanganu_2014,Left-Putamen,PD_MCI (exact),0.591,0.27257382092658855,0.01683078940795697
Hanganu_2014,Left-Pallidum,PD_MCI (exact),0.702,0.26206417822975586,0.00748144537641378
Hanganu_2014,Left-Hippocampus,PD_MCI (exact),0.747,0.2625125186689562,0.008047603204362644
Hanganu_2014,Left-Amygdala,PD_MCI (exact),0.302,0.2790013236998545,0.2370425599054679
Hanganu_2014,Left-Accumbens-area,PD_MCI (exact),0.414,0.2806144789397076,0.09010790678717966
Hanganu_2014,Right-Thalamus,PD_non_MCI,0.475,0.3082862780130432,0.08696070259453759
Hanganu_2014,Right-Caudate,PD_non_MCI,0.865,0.40483669537819345,0.13499999999705556
Hanganu_2014,Right-Putamen,PD_non_MCI,0.458,0.3828428070830612,0.24055116663127352
Hanganu_2014,Right-Pallidum,PD_non_MCI,0.849,0.4521540031367067,0.15099999999705557
Hanganu_2014,Right-Hippocampus,PD_non_MCI,0.679,0.44396496639941674,0.260674689225004
Hanganu_2014,Right-Amygdala,PD_non_MCI,0.718,0.4309710041457378,0.23360279488335378
Hanganu_2014,Right-Accumbens-area,PD_non_MCI,0.467,0.3335950884962088,0.1330736104511809
Hanganu_2014,Left-Thalamus,PD_non_MCI,0.639,0.37010928770412604,0.11115032083436927
Hanganu_2014,Left-Caudate,PD_non_MCI,0.795,0.3554935749994862,0.10573344649348337
Hanganu_2014,Left-Putamen,PD_non_MCI,0.677,0.40766677267890195,0.17672039314056315
Hanganu_2014,Left-Pallidum,PD_non_MCI,0.143,0.1526974195266931,0.3654988361929411
Hanganu_2014,Left-Hippocampus,PD_non_MCI,0.551,0.4180062044422389,0.2404481745208201
Hanganu_2014,Left-Amygdala,PD_non_MCI,0.865,0.45948675911088893,0.13499999999705556
Hanganu_2014,Left-Accumbens-area,PD_non_MCI,0.801,0.41444764977904497,0.1989999999970554
Hanganu_2014,Right-Thalamus,PD_non_MCI (exact),0.475,0.27833998351119443,0.04960493161817218
Hanganu_2014,Right-Caudate,PD_non_MCI (exact),0.865,0.25661372001106075,0.01998269614104927
Hanganu_2014,Right-Putamen,PD_non_MCI (exact),0.458,0.28145914476627043,0.061534789408776276
Hanganu_2014,Right-Pallidum,PD_non_MCI (exact),0.849,0.26266618118551077,0.01913444202223795
Hanganu_2014,Right-Hippocampus,PD_non_MCI (exact),0.679,0.2683803221952372,0.00979572039470367
Hanganu_2014,Right-Amygdala,PD_non_MCI (exact),0.718,0.26072975140115656,0.007097195206731108
Hanganu_2014,Right-Accumbens-area,PD_non_MCI (exact),0.467,0.27986324701329357,0.05500713499774857
Hanganu_2014,Left-Thalamus,PD_non_MCI (exact),0.639,0.27101585863981303,0.012267759735309353
Hanganu_2014,Left-Caudate,PD_non_MCI (exact),0.795,0.2445520794599903,0.004981828597142576
Hanganu_2014,Left-Putamen,PD_non_MCI (exact),0.677,0.2666898632814,0.009253740828507905
Hanganu_2014,Left-Pallidum,PD_non_MCI (exact),0.143,0.2344334051477021,0.5981817276952914
Hanganu_2014,Left-Hippocampus,PD_non_MCI (exact),0.551,0.2763427426602594,0.024954793640607053
Hanganu_2014,Left-Amygdala,PD_non_MCI (exact),0.865,0.2661827872687088,0.02706734079033193
Hanganu_2014,Left-Accumbens-area,PD_non_MCI (exact),0.801,0.25354679223920823,0.007777826376266451
