group_x,n_x,region,mean_x,se_x,std_x,sample_size_x,group_y,n_y,mean_y,se_y,std_y,sample_size_y,comparison,p_value,group1,group2,t,significant,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high,test,sample_size,alpha,std_t,std_p,std_p_low,std_p_high,proba_significant,metric,study,clinical_measure,r,std_r
PD,76.0,Caudate,2.248,0.032,0.27896953238660316,76.0,Control,70.0,2.37,0.03,0.25099800796022265,70.0,Control vs. PD,0.001,Control,PD,-2.781360590784072,True,0.094429123790175,80.2582783197474,849.931409912097,198,hc & pd,0.0918567374961844,0.0970748305798347,T,146,0.05,0.094429123790175,0.001692987930361618,0.0016468684835940007,0.001740421915581289,0.9999999989203617,subcortical volume,cross-sectional,,,
PDE,22.0,Caudate,2.268,0.03,0.1407124727947029,22.0,Control,70.0,2.37,0.03,0.25099800796022265,70.0,Control vs. PDE,0.058,Control,PDE,-2.404163056034269,False,0.094429123790175,80.2582783197474,849.931409912097,198,hc & pd,0.0918567374961844,0.0970748305798347,T,92,0.05,0.094429123790175,0.004424548540197748,0.004304017420506421,0.0045485151475761175,0.030841384321811348,subcortical volume,cross-sectional,,,
PDL,27.0,Caudate,2.214,0.05,0.2598076211353316,27.0,Control,70.0,2.37,0.03,0.25099800796022265,70.0,Control vs. PDL,0.003,Control,PDL,-2.6753779282231402,True,0.094429123790175,80.2582783197474,849.931409912097,198,hc & pd,0.0918567374961844,0.0970748305798347,T,97,0.05,0.094429123790175,0.0022995025946608923,0.0022368608087364006,0.0023639298537875665,0.999999999996706,subcortical volume,cross-sectional,,,
PDL,27.0,Caudate,2.214,0.05,0.2598076211353316,27.0,PDE,22.0,2.268,0.03,0.1407124727947029,22.0,PDE vs. PDL,0.394,PDE,PDL,-0.9260923597695446,False,0.094429123790175,80.2582783197474,849.931409912097,198,hc & pd,0.0918567374961844,0.0970748305798347,T,49,0.05,0.094429123790175,0.04855707170616248,0.04723430664470962,0.049917539421445396,1.5722026700350644e-25,subcortical volume,cross-sectional,,,
PDL,27.0,Caudate,2.214,0.05,0.2598076211353316,27.0,PDM,27.0,2.257,0.043,0.22343455417638516,27.0,PDM vs. PDL,0.477,PDM,PDL,-0.6520392688280496,False,0.094429123790175,80.2582783197474,849.931409912097,198,hc & pd,0.0918567374961844,0.0970748305798347,T,54,0.05,0.094429123790175,0.06042881700986813,0.0587826483873184,0.062121906228924786,2.6570698289235287e-24,subcortical volume,cross-sectional,,,
PDM,27.0,Caudate,2.257,0.043,0.22343455417638516,27.0,Control,70.0,2.37,0.03,0.25099800796022265,70.0,Control vs. PDM,0.024,Control,PDM,-2.1552173450240395,True,0.094429123790175,80.2582783197474,849.931409912097,198,hc & pd,0.0918567374961844,0.0970748305798347,T,97,0.05,0.094429123790175,0.00759940613180971,0.007392387286444025,0.0078123256167451655,0.9970534079901143,subcortical volume,cross-sectional,,,
PDM,27.0,Caudate,2.257,0.043,0.22343455417638516,27.0,PDE,22.0,2.268,0.03,0.1407124727947029,22.0,PDE vs. PDM,0.868,PDE,PDM,-0.209799918542157,False,0.094429123790175,80.2582783197474,849.931409912097,198,hc & pd,0.0918567374961844,0.0970748305798347,T,49,0.05,0.094429123790175,0.07327897256502364,0.07128274706702117,0.0753320962992369,9.29394500028671e-22,subcortical volume,cross-sectional,,,
PD,76.0,CortexVol,294.5,2.2,19.179155351578967,76.0,Control,70.0,305.3,2.1,17.569860557215588,70.0,Control vs. PD,0.001,Control,PD,-3.5510181257957214,True,0.0274752674431256,2460.196809333233,89542.23337137268,198,hc & pd,0.026726801307281,0.0282450670420662,T,146,0.05,0.0274752674431256,4.977944313216809e-05,4.8423378900118116e-05,5.117415914131898e-05,1.0,cortical volume,cross-sectional,,,
PDE,22.0,CortexVol,292.6,3.6,16.88549673536435,22.0,Control,70.0,305.3,2.1,17.569860557215588,70.0,Control vs. PDE,0.001,Control,PDE,-3.0472200115028043,True,0.0274752674431256,2460.196809333233,89542.23337137268,198,hc & pd,0.026726801307281,0.0282450670420662,T,92,0.05,0.0274752674431256,0.0002508388319278681,0.00024400561832434417,0.0002578668120054602,1.0,cortical volume,cross-sectional,,,
PDL,27.0,CortexVol,292.6,3.5,18.186533479473212,27.0,Control,70.0,305.3,2.1,17.569860557215588,70.0,Control vs. PDL,0.001,Control,PDL,-3.1114743304426575,True,0.0274752674431256,2460.196809333233,89542.23337137268,198,hc & pd,0.026726801307281,0.0282450670420662,T,97,0.05,0.0274752674431256,0.00020737696129749874,0.0002017277120879385,0.00021318723055026545,1.0,cortical volume,cross-sectional,,,
PDL,27.0,CortexVol,292.6,3.5,18.186533479473212,27.0,PDE,22.0,292.6,3.6,16.88549673536435,22.0,PDE vs. PDL,0.999,PDE,PDL,0.0,False,0.0274752674431256,2460.196809333233,89542.23337137268,198,hc & pd,0.026726801307281,0.0282450670420662,T,49,0.05,0.0274752674431256,0.0218058031480362,0.021211781442697634,0.022416756200729263,3.8118913152208806e-05,cortical volume,cross-sectional,,,
PDL,27.0,CortexVol,292.6,3.5,18.186533479473212,27.0,PDM,27.0,296.8,3.0,15.588457268119896,27.0,PDM vs. PDL,0.332,PDM,PDL,-0.9111079228383535,False,0.0274752674431256,2460.196809333233,89542.23337137268,198,hc & pd,0.026726801307281,0.0282450670420662,T,54,0.05,0.0274752674431256,0.014339069132776487,0.013948452091918417,0.014740819896092702,1.8086067984827436e-186,cortical volume,cross-sectional,,,
PDM,27.0,CortexVol,296.8,3.0,15.588457268119896,27.0,Control,70.0,305.3,2.1,17.569860557215588,70.0,Control vs. PDM,0.018,Control,PDM,-2.3211571081372813,True,0.0274752674431256,2460.196809333233,89542.23337137268,198,hc & pd,0.026726801307281,0.0282450670420662,T,97,0.05,0.0274752674431256,0.0015480799398066385,0.0015059079968792724,0.0015914539058383798,1.0,cortical volume,cross-sectional,,,
PDM,27.0,CortexVol,296.8,3.0,15.588457268119896,27.0,PDE,22.0,292.6,3.6,16.88549673536435,22.0,PDE vs. PDM,0.349,PDE,PDM,0.8962581595302693,False,0.0274752674431256,2460.196809333233,89542.23337137268,198,hc & pd,0.026726801307281,0.0282450670420662,T,49,0.05,0.0274752674431256,0.0145189846597498,0.014123466458983791,0.014925776280294938,1.6939947307272875e-204,cortical volume,cross-sectional,,,
PD,76.0,Pallidum,0.908,0.02,0.17435595774162696,76.0,Control,70.0,0.89,0.019,0.15896540504147436,70.0,Control vs. PD,0.45,Control,PD,0.652499490234973,False,0.1598145928494424,75.83969666992868,474.5480078992254,198,hc & pd,0.1554610115418462,0.1642922638943204,T,146,0.05,0.1598145928494424,0.102765228506584,0.09996575462926041,0.10564449553658353,2.018123697373291e-08,subcortical volume,cross-sectional,,,
PDE,22.0,Pallidum,0.93,0.033,0.15478372007417318,22.0,Control,70.0,0.89,0.019,0.15896540504147436,70.0,Control vs. PDE,0.245,Control,PDE,1.0504514628777812,False,0.1598145928494424,75.83969666992868,474.5480078992254,198,hc & pd,0.1554610115418462,0.1642922638943204,T,92,0.05,0.1598145928494424,0.07303822750341993,0.07104856025007712,0.07508460606391454,0.00010120249361752843,subcortical volume,cross-sectional,,,
