region,AR_mean,AR_sd,TD_mean,TD_sd,HCs_mean,HCs_sd,p_value,significant,NPVR,NPVR_CI_low,NPVR_CI_high,PD_mean,PD_sd,t,F,alpha,metric,test,sample_size,std_p,std_p_low,std_p_high,proba_significant,study
Left-Hippocampus,3781,392,3651,454,4017,391,0.0005,True,0.160584483739935,0.1562099294878162,0.1650837255192911,3716.0,424.1344126571198,-4.377147915892529,19.159423877602308,0.05,subcortical volume,F,146,1.4823064092820881e-05,1.441926232725495e-05,1.5238375383870025e-05,1.0,cross-sectional
Right-Hippocampus,3994,407,3890,408,4198,411,0.006,True,0.1252826203758287,0.1218697400842979,0.1287927776880071,3942.0,407.5003067483508,-3.671588384110255,13.480561262333353,0.05,subcortical volume,F,146,0.00015135686303141595,0.00014723368255132831,0.000155597566154677,1.0,cross-sectional
Left-Amygdala,1503,205,1443,253,1571,195,0.085,False,0.2324591275684218,0.2261266037699512,0.2389721467243841,1473.0,230.25420734483876,-2.752010406961088,7.573561280022132,0.05,subcortical volume,F,146,0.004500061434609452,0.0043774732341488945,0.004626143755545599,5.880689671873761e-20,cross-sectional
Right-Amygdala,1718,201,1654,193,1742,215,0.428,False,0.200753778503017,0.1952849543991793,0.2063784800094661,1686.0,197.0406049523803,-1.5796062338758379,2.495155854099408,0.05,subcortical volume,F,146,0.04601950912315178,0.04476587094699317,0.04730887963573294,2.467233050313748e-33,cross-sectional
Left-Thalamus,6994,649,6887,805,7275,932,0.154,False,0.1609975503433589,0.1566117435578426,0.1655083653860621,6940.5,731.1723463042075,-2.283859811164686,5.216015637053196,0.05,subcortical volume,F,146,0.009716569509290491,0.009451876062744865,0.009988807489387104,3.661805105101485e-47,cross-sectional
Right-Thalamus,6767,643,6738,820,6946,826,0.342,False,0.1501798666558923,0.1460887492642138,0.1543875927994131,6752.5,736.8341061595887,-1.4336875925545052,2.0554601130447328,0.05,subcortical volume,F,146,0.04281022862630442,0.041644015905686484,0.044009681803431976,5.835971527531376e-24,cross-sectional
Left-Caudate,3225,448,3109,440,3286,418,0.342,False,0.0920334246195093,0.0895263006456991,0.0946120089229338,3167.0,444.01801765243715,-1.6329510028974799,2.6665289778638854,0.05,subcortical volume,F,146,0.01938235596613128,0.018854352477045536,0.01992540909127879,2.4954510811667762e-110,cross-sectional
Right-Caudate,3305,495,3236,444,3295,415,0.926,False,0.1434684675759418,0.1395601784295526,0.1474881543371065,3270.5,470.1919820669,-0.3294041483593793,0.10850709295636797,0.05,subcortical volume,F,146,0.10820274625811684,0.10525514651055379,0.11123436117674129,2.1948761133186664e-07,cross-sectional
Left-Putamen,4556,600,4590,546,4657,572,0.471,False,0.1449720843561877,0.1410228345078279,0.1490338993185351,4573.0,573.6357729430758,-0.8618775479813714,0.7428329077143812,0.05,subcortical volume,F,146,0.0795213272788369,0.07735505098439034,0.0817493487520835,2.6586634314602532e-14,cross-sectional
Right-Putamen,4555,655,4653,530,4716,573,0.213,False,0.1687009195816769,0.1641052618449833,0.1734275669383848,4604.0,595.7872942586138,-1.1309643738575155,1.279080414934922,0.05,subcortical volume,F,146,0.07077511273943744,0.0688470960147338,0.07275808355180816,0.0009061203432494514,cross-sectional
Left-Pallidum,2107,232,2102,234,1988,226,0.013,False,0.2206523984858535,0.2146415071123151,0.2268346177567419,2104.5,233.00214591286493,2.9927988176050158,8.95684476265798,0.05,subcortical volume,F,146,0.002209778588190872,0.0021495810143401716,0.0022716919680863825,1.0,cross-sectional
Right-Pallidum,2103,224,2079,209,2004,244,0.072,False,0.2169901555772219,0.2110790290123071,0.2230697664521001,2091.0,216.6298686700428,2.1855636097370263,4.776688292206741,0.05,subcortical volume,F,146,0.016218386153563677,0.015776573791259255,0.016672791453978746,0.07519799260806655,cross-sectional
Left-Accumbens-area,347,72,337,85,362,82,0.715,False,0.2830703851954289,0.275359137331588,0.2910014260650579,342.0,78.76864858558892,-1.4547462283414037,2.1162865888735394,0.05,subcortical volume,F,146,0.07829225824802617,0.07615946357664591,0.08048584377450912,6.950958354107058e-24,cross-sectional
Right-Accumbens-area,430,65,429,78,454,69,0.244,False,0.2333571902736778,0.2270002019445473,0.2398953712706216,429.5,71.79484661171719,-2.0538975344127155,4.218495081866632,0.05,subcortical volume,F,146,0.02290773224955386,0.0222836923972293,0.023549559053782417,1.205915368490933e-34,cross-sectional
