region,HC_mean,HC_sd,ICD_mean,ICD_sd,p_value,Percent_change,significant,NPVR,num,anat,n,timepoint,hemisphere,NPVR_CI_low,NPVR_CI_high,metric,sample_size,t,alpha,test,F,std_F,std_p,std_p_low,std_p_high,proba_significant,comparison,PD_without_ICD_mean,PD_without_ICD_sd,PD_with_ICD_mean,PD_with_ICD_sd,study
medialorbitofrontal,2.21,0.04,2.24,0.04,0.1,1.4,False,0.2633742795199565,0.0291859386213466,0.1108154474102136,198,hc & pd,,0.2561995821423529,0.2707534766529937,cortical thickness,42,-2.4053511772118394,0.05,F,5.7857142857143815,1.2670152665812948,0.013028054256757344,0.012673151162645026,0.013393073121909026,1.799425268038807e-06,PD-vs-HC,,,,,cross-sectional
lateralorbitofrontal,2.53,0.04,2.52,0.05,0.1,-0.4,False,0.2581628377043273,0.0278092771130587,0.1077199079478224,198,hc & pd,,0.251130107560564,0.2653960211241995,cortical thickness,42,0.7202953816721315,0.05,F,0.5188254368582016,0.3719069994355979,0.15725759306929618,0.15297366814443636,0.16166362232181233,0.5960829286701133,PD-vs-HC,,,,,cross-sectional
frontalpole,2.56,0.05,2.7,0.06,0.1,5.5,False,0.3076210085301784,0.0692681573759734,0.225173689231885,198,hc & pd,,0.2992409660779691,0.3162399065803045,cortical thickness,42,-8.242328132347115,0.05,F,67.93597304128069,5.071026585418562,2.5276953153828227e-10,2.458837228770443e-10,2.5985160578579863e-10,0.0,PD-vs-HC,,,,,cross-sectional
superiorfrontal,2.63,0.04,2.54,0.05,0.1,-3.4,False,0.1288675381988084,0.0147685271418443,0.1146023843418228,198,hc & pd,,0.125356999546141,0.1324781374196262,cortical thickness,42,6.482658435049311,0.05,F,42.024860385515986,1.670808467017089,3.4244498087577574e-08,3.3311628290746555e-08,3.5203957388503736e-08,0.0,PD-vs-HC,,,,,cross-sectional
rostralmiddlefrontal,2.26,0.03,2.29,0.04,0.1,1.3,False,0.1719186445293787,0.0172369227932803,0.1002620910632806,198,hc & pd,,0.1672353312980552,0.176735445817413,cortical thickness,42,-2.780358015598031,0.05,F,7.730390694900221,0.9559907626960132,0.003607179141391377,0.0035089143496529487,0.0037082447656695823,2.647397656159694e-64,PD-vs-HC,,,,,cross-sectional
parahippocampal,2.64,0.06,2.7,0.07,0.1,2.3,False,0.1497374998016791,0.0308326742826308,0.2059115072942139,198,hc & pd,,0.1456584331247274,0.1539328317500329,cortical thickness,42,-2.9861640175469453,0.05,F,8.917175539692114,0.8942814679704341,0.0018921823671839665,0.0018406365750415952,0.001945197364413602,5.089969059231792e-228,PD-vs-HC,,,,,cross-sectional
fusiform,2.6,0.04,2.43,0.05,0.04,-6.5,True,0.2129418815923792,0.023744834877762,0.1115085238291225,198,hc & pd,,0.2071410358825115,0.2189080682868965,cortical thickness,42,12.245021488426492,0.05,F,149.94055125202652,5.214955831769306,1.094942185249605e-15,1.0651143719967066e-15,1.1256201779866415e-15,1.0,PD-vs-HC,,,,,cross-sectional
caudalanteriorcingulate,2.57,0.04,2.6,0.05,0.1,1.2,False,0.2210760051815432,0.038229782759274,0.1729259705406769,198,hc & pd,,0.2150535741472063,0.227270093027146,cortical thickness,42,-2.1608861450164585,0.05,F,4.669428931724091,0.9554401531847669,0.018178502628760845,0.017683293850678745,0.01868782629820024,0.0005032893384529848,PD-vs-HC,,,,,cross-sectional
rostralanteriorcingulate,2.76,0.04,2.82,0.05,0.1,2.2,False,0.2716433354429095,0.045759900827018,0.1684558200274169,198,hc & pd,,0.2642433769883556,0.2792542142491564,cortical thickness,42,-4.321772290032885,0.05,F,18.677715726896086,2.347961279778548,7.90834711852604e-05,7.692912272587834e-05,8.129922484543011e-05,0.0,PD-vs-HC,,,,,cross-sectional
Putamen,3.16,0.08,2.98,0.09,0.1,-5.7,False,0.1261276039195501,136.13779021331558,1079.3655471339202,198,hc & pd,,0.1226917050507068,0.1296614359054843,subcortical volume,42,6.840274091474157,0.05,F,46.7893496464926,1.7254947626212258,1.023920639433945e-08,9.960275561001777e-09,1.0526087568186042e-08,0.0,PD-vs-HC,,,,,cross-sectional
Pallidum,0.94,0.02,0.95,0.02,0.1,1.1,False,0.1598145928494424,75.83969666992868,474.5480078992254,198,hc & pd,,0.1554610115418462,0.1642922638943204,subcortical volume,42,-1.6035674514745477,0.05,F,2.571428571428576,0.5125469587280457,0.03532770982616914,0.03436533177046626,0.03631751845722145,0.05503468764696977,PD-vs-HC,,,,,cross-sectional
Hippocampus,2.77,0.06,2.55,0.07,0.04,-7.9,True,0.11011794306654,93.78883201119052,851.712531122358,198,hc & pd,,0.1071181705800746,0.1132032177989612,subcortical volume,42,10.9492680643388,0.05,F,119.88647114474952,2.411421754658289,2.203160281378777e-14,2.143142999804966e-14,2.2648882301428084e-14,1.0,PD-vs-HC,,,,,cross-sectional
Amygdala,1.03,0.03,0.9,0.03,0.03,-12.6,True,0.1672206388805727,71.46079917823423,427.3443736168882,198,hc & pd,,0.1626653061372069,0.1719058118642873,subcortical volume,42,13.89758457944607,0.05,F,193.1428571428572,4.647925944543534,1.0936323233608357e-17,1.0638401926456383e-17,1.1242736165040022e-17,1.0,PD-vs-HC,,,,,cross-sectional
medialorbitofrontal,,,,,0.1,3.2,False,0.2633742795199565,0.0291859386213466,0.1108154474102136,198,hc & pd,,0.2561995821423529,0.2707534766529937,cortical thickness,36,-5.250000000000021,0.05,F,27.562500000000224,2.765429934959555,4.061831632029296e-06,3.951181447008552e-06,4.175635669342966e-06,0.0,PD-non-ICD_vs_PD-ICD,2.17,0.04,2.24,0.04,cross-sectional
lateralorbitofrontal,,,,,0.1,3.7,False,0.2581628377043273,0.0278092771130587,0.1077199079478224,198,hc & pd,,0.251130107560564,0.2653960211241995,cortical thickness,36,-5.3999999999999915,0.05,F,29.159999999999908,2.7881586472067306,2.443633057898617e-06,2.3770649491057375e-06,2.512098551522015e-06,0.0,PD-non-ICD_vs_PD-ICD,2.43,0.05,2.52,0.05,cross-sectional
frontalpole,,,,,0.001,6.7,True,0.3076210085301784,0.0692681573759734,0.225173689231885,198,hc & pd,,0.2992409660779691,0.3162399065803045,cortical thickness,36,-8.50000000000002,0.05,F,72.25000000000033,5.229557145013044,1.104898710243246e-10,1.0747996668083717e-10,1.1358556640117925e-10,1.0,PD-non-ICD_vs_PD-ICD,2.53,0.06,2.7,0.06,cross-sectional
superiorfrontal,,,,,0.1,1.2,False,0.1288675381988084,0.0147685271418443,0.1146023843418228,198,hc & pd,,0.125356999546141,0.1324781374196262,cortical thickness,36,-1.800000000000015,0.05,F,3.2400000000000535,0.46392313751571407,0.020683435464399477,0.020119988682668396,0.021262942119181578,0.002030442046702639,PD-non-ICD_vs_PD-ICD,2.51,0.05,2.54,0.05,cross-sectional
rostralmiddlefrontal,,,,,0.1,3.0,False,0.1719186445293787,0.0172369227932803,0.1002620910632806,198,hc & pd,,0.1672353312980552,0.176735445817413,cortical thickness,36,-5.2499999999999885,0.05,F,27.56249999999988,1.8051457675584723,2.65137730896837e-06,2.5791499454598095e-06,2.7256633625366977e-06,0.0,PD-non-ICD_vs_PD-ICD,2.22,0.04,2.29,0.04,cross-sectional
parahippocampal,,,,,0.1,6.7,False,0.1497374998016791,0.0308326742826308,0.2059115072942139,198,hc & pd,,0.1456584331247274,0.1539328317500329,cortical thickness,36,-7.285714285714302,0.05,F,53.081632653061455,2.181889282824472,2.7891250500638967e-09,2.713145238295734e-09,2.8672705075877955e-09,0.0,PD-non-ICD_vs_PD-ICD,2.53,0.07,2.7,0.07,cross-sectional
fusiform,,,,,0.1,-4.7,False,0.2129418815923792,0.023744834877762,0.1115085238291225,198,hc & pd,,0.2071410358825115,0.2189080682868965,cortical thickness,36,7.951069877388928,0.05,F,63.21951219512158,3.386231560727372,4.49165036724454e-10,4.369291296458586e-10,4.6174970276435297e-10,0.0,PD-non-ICD_vs_PD-ICD,2.55,0.04,2.43,0.05,cross-sectional
caudalanteriorcingulate,,,,,0.1,6.6,False,0.2210760051815432,0.038229782759274,0.1729259705406769,198,hc & pd,,0.2150535741472063,0.227270093027146,cortical thickness,36,-9.600000000000009,0.05,F,92.16000000000017,4.244659299485633,2.5110826357289196e-12,2.4426771026056854e-12,2.5814379256234526e-12,0.0,PD-non-ICD_vs_PD-ICD,2.44,0.05,2.6,0.05,cross-sectional
rostralanteriorcingulate,,,,,0.002,6.7,True,0.2716433354429095,0.045759900827018,0.1684558200274169,198,hc & pd,,0.2642433769883556,0.2792542142491564,cortical thickness,36,-11.926604816083406,0.05,F,142.2439024390239,6.479565425500729,3.367145289597917e-15,3.2754193681323856e-15,3.4614856667706935e-15,1.0,PD-non-ICD_vs_PD-ICD,2.64,0.04,2.82,0.05,cross-sectional
Putamen,,,,,0.1,-4.2,False,0.1261276039195501,136.13779021331558,1079.3655471339202,198,hc & pd,,0.1226917050507068,0.1296614359054843,subcortical volume,36,4.5803177122146845,0.05,F,20.97931034482756,1.1554089964638272,1.649188302639237e-05,1.6042620212586594e-05,1.695395113785926e-05,0.0,PD-non-ICD_vs_PD-ICD,3.11,0.08,2.98,0.09,cross-sectional
Pallidum,,,,,0.1,2.2,False,0.1598145928494424,75.83969666992868,474.5480078992254,198,hc & pd,,0.1554610115418462,0.1642922638943204,subcortical volume,36,-2.9999999999999862,0.05,F,8.999999999999918,0.9588875570966501,0.0019501706207253834,0.001897045144449185,0.002004810327683935,8.506866203071262e-215,PD-non-ICD_vs_PD-ICD,0.93,0.02,0.95,0.02,cross-sectional
Hippocampus,,,,,0.1,-1.5,False,0.11011794306654,93.78883201119052,851.712531122358,198,hc & pd,,0.1071181705800746,0.1132032177989612,subcortical volume,36,1.7142857142857157,0.05,F,2.9387755102040867,0.3775472333709946,0.020404056117830423,0.01984822003471744,0.02097573514693476,0.0017797526216291404,PD-non-ICD_vs_PD-ICD,2.59,0.07,2.55,0.07,cross-sectional
Amygdala,,,,,0.1,-9.1,False,0.1672206388805727,71.46079917823423,427.3443736168882,198,hc & pd,,0.1626653061372069,0.1719058118642873,subcortical volume,36,8.999999999999998,0.05,F,80.99999999999997,3.009971499850308,1.2289803677210043e-11,1.1955011599658445e-11,1.2634138303300928e-11,0.0,PD-non-ICD_vs_PD-ICD,0.99,0.03,0.9,0.03,cross-sectional
