metric,region,pd_mean,pd_sd,control_mean,control_sd,univariate_F,univariate_p_value,adjusted_F,adjusted_p_value
cortical_thickness,lh-caudalmiddlefrontal,2.53,0.19,2.61,0.98,4.3,0.04,0.7,0.38
cortical_thickness,lh-fusiform,2.68,0.14,2.77,0.95,5.7,0.02,4.5,0.03
cortical_thickness,lh-parahippocampal,2.61,0.37,3.00,0.23,16.3,0.001,14.4,0.001
cortical_thickness,lh-posteriorcingulate,2.37,0.16,2.48,0.17,5.0,0.02,6.1,0.01
cortical_thickness,lh-precentral,2.27,0.19,2.41,0.18,7.6,0.008,4.9,0.03
cortical_thickness,rh-caudalanteriorcingulate,2.39,0.30,2.56,0.24,4.2,0.04,4.0,0.05
cortical_thickness,rh-isthmuscingulate,2.20,0.16,2.30,0.12,5.1,0.01,2.6,0.11
cortical_thickness,rh-parahippocampal,2.67,0.29,2.91,0.21,2.0,0.001,8.3,0.006
cortical_thickness,rh-precentral,2.28,0.22,2.41,0.10,5.5,0.02,4.1,0.05
cortical_thickness,rh-superiortemporal,2.85,0.13,2.92,0.09,4.6,0.02,3.01,0.07
cortical_thickness,rh-transversetemporal,2.25,0.25,2.39,0.17,4.3,0.04,3.1,0.08
subcortical_volume,Left-Lateral-Ventricle,75.47,31.86,153.88,145.9,5.0,0.02,4.01,0.05
subcortical_volume,Right-Lateral-Ventricle,71.53,27.21,132.92,115.21,4.39,0.03,4.4,0.04
subcortical_volume,Right-Hippocampus,42.63,28.8,40.41,49.18,5.9,0.03,6.1,0.01
subcortical_volume,Left-Hippocampus,41.54,38.6,39.16,44,3.8,0.05,6.5,0.01
subcortical_volume,Left-Amygdala,15.89,22.0,14.57,20.03,4.9,0.03,9.8,0.003
subcortical_volume,Brain-Stem,25.84,4.66,32.08,9.43,7,0.01,5.4,0.02
cortical_volume,lh-inferiorparietal,9.96,0.13,10.03,0.11,3.7,0.05,3.1,0.08
cortical_volume,lh-rostralmiddlefrontal,9.98,0.07,10.04,0.15,4.9,0.03,4.0,0.04
cortical_volume,lh-superiorparietal,10.05,0.05,10.01,0.17,1.93,0.05,1.2,0.2
cortical_volume,lh-frontalpole,9.44,0.25,9.64,0.19,8.8,0.004,5.9,0.01
cortical_volume,lh-insula,9.69,0.07,9.70,0.21,5.7,0.02,3.3,0.07
cortical_volume,rh-entorhinal,8.67,0.21,8.87,0.18,11.5,0.001,10.6,0.002
cortical_volume,rh-insula,9.42,0.10,9.52,0.21,3.7,0.05,2.8,0.09
cortical_area,lh-frontalpole,23.20,2.96,25.15,3.51,4.69,0.03,7.6,0.008
cortical_area,rh-frontalpole,28.01,3.43,30.05,3.10,4.62,0.03,3.47,0.06
