Section,Subcortical segmentation,FreeSurfer5_F,FreeSurfer5_p,FreeSurfer6_F,FreeSurfer6_p,FreeSurfer7_F,FreeSurfer7_p
Baseline,Left-Thalamus,15.696,0.001,15.582,0.001,15.627,0.001
Baseline,Left-Caudate,0.026,12.193,0,13.881,0.001,13.72
Baseline,Left-Putamen,1.463,3.189,2.527,1.586,1.707,2.698
Baseline,Left-Pallidum,3.095,1.118,4.103,0.616,8.764,0.048
Baseline,Left-Hippocampus,12.511,0.007,10.627,0.018,8.892,0.044
Baseline,Left-Amygdala,2.215,1.933,3.076,1.131,3.863,0.708
Baseline,Left-Accumbens-area,9.325,0.035,4.565,0.472,5.951,0.217
Baseline,Right-Thalamus,13.594,0.004,13.801,0.004,15.178,0.002
Baseline,Right-Caudate,0.063,11.224,0.449,7.048,0.57,6.314
Baseline,Right-Putamen,1.161,3.953,0.821,5.123,1.503,3.1
Baseline,Right-Pallidum,5.205,0.328,10.142,0.023,21.056,0
Baseline,Right-Hippocampus,15.21,0.002,17.531,0.001,17.345,0.001
Baseline,Right-Amygdala,3.281,1,9.173,0.038,11.376,0.012
Baseline,Right-Accumbens-area,3.688,0.785,7.267,0.106,10.78,0.017
Longitudinal,Left-Thalamus,0.792,5.241,0.257,8.581,0.276,8.401
Longitudinal,Left-Caudate,5.461,0.284,3.084,1.126,1.879,2.405
Longitudinal,Left-Putamen,0.529,6.548,2.095,2.089,0.546,6.45
Longitudinal,Left-Pallidum,0.085,10.787,6.372,0.172,2.997,1.187
Longitudinal,Left-Hippocampus,0.222,8.937,0.221,8.941,0.903,10.65
Longitudinal,Left-Amygdala,0.07,11.089,1.621,2.86,0.107,10.409
Longitudinal,Left-Accumbens-area,0.363,7.667,1.811,2.517,0.504,6.697
Longitudinal,Right-Thalamus,0.616,6.067,0.207,9.09,0.017,12.37
Longitudinal,Right-Caudate,12.644,0.006,4.884,0.394,1.236,3.745
Longitudinal,Right-Putamen,2.143,2.025,0.152,9.76,1.272,3.649
Longitudinal,Right-Pallidum,0.178,9.322,1.569,2.964,0.132,10.137
Longitudinal,Right-Hippocampus,3.33,0.971,1.575,2.951,0.018,12.512
Longitudinal,Right-Amygdala,0.289,8.283,1.014,4.412,0.502,6.711
Longitudinal,Right-Accumbens-area,1.379,3.381,2.096,2.086,4.185,0.587
