Section,Subcortical segmentation,FS5_r,FS5_p,FS6_r,FS6_p,FS7_r,FS7_p
Baseline,Left-Thalamus,-0.013,12.36,-0.026,10.838,-0.016,12.017
Baseline,Left-Caudate,-0.206,0.312,-0.178,0.685,-0.182,0.611
Baseline,Left-Putamen,-0.188,0.52,-0.202,0.352,-0.221,0.194
Baseline,Left-Pallidum,-0.182,0.622,-0.085,4.928,-0.15,1.357
Baseline,Left-Hippocampus,-0.124,2.426,-0.11,3.144,-0.12,2.589
Baseline,Left-Amygdala,-0.099,3.846,-0.155,1.206,-0.176,0.722
Baseline,Left-Accumbens-area,0.127,2.27,0.085,4.921,0.086,4.853
Baseline,Right-Thalamus,-0.013,12.416,-0.033,10.04,-0.058,7.311
Baseline,Right-Caudate,-0.11,3.15,-0.107,3.322,-0.118,2.687
Baseline,Right-Putamen,-0.222,0.192,-0.269,0.037,-0.263,0.043
Baseline,Right-Pallidum,-0.015,12.149,0.041,9.142,-0.007,13.181
Baseline,Right-Hippocampus,-0.223,0.183,-0.163,1.014,-0.189,0.515
Baseline,Right-Amygdala,-0.159,1.111,-0.156,1.201,-0.237,0.115
Baseline,Right-Accumbens-area,0.001,13.847,0.025,11.028,-0.034,9.929
Longitudinal,Left-Thalamus,0.14,1.737,0.037,9.654,-0.012,12.556
Longitudinal,Left-Caudate,0.096,4.124,-0.016,11.999,-0.002,13.744
Longitudinal,Left-Putamen,-0.007,13.159,1,3.812,-0.011,12.011
Longitudinal,Left-Pallidum,0.022,11.384,0.145,1.551,0.039,9.401
Longitudinal,Left-Hippocampus,0.067,6.522,0.066,6.567,0.063,6.829
Longitudinal,Left-Amygdala,0.103,3.65,-0.076,5.715,0.011,12.64
Longitudinal,Left-Accumbens-area,-0.101,3.734,0.076,5.662,0.091,4.485
Longitudinal,Right-Thalamus,-0.009,12.956,-0.016,12.042,-0.016,12.201
Longitudinal,Right-Caudate,-0.122,2.523,-0.221,0.204,-0.229,0.155
Longitudinal,Right-Putamen,0.062,6.985,0.208,0.305,0.141,1.714
Longitudinal,Right-Pallidum,-0.039,9.358,-0.089,4.609,0.057,7.462
Longitudinal,Right-Hippocampus,0.12,2.637,0.005,13.396,-0.001,12.759
Longitudinal,Right-Amygdala,-0.002,13.745,-0.031,10.341,-0.141,1.71
Longitudinal,Right-Accumbens-area,-0.132,2.077,-0.025,10.977,-0.018,11.829
