region,version,F,p_value,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high,alpha,test,sample_size,std_F,std_p,std_p_low,std_p_high,proba_significant,significant,study,analysis,r,std_r,metric
Left-Accumbens-area,FreeSurfer5,9.325,0.0025,0.2830703851954289,25.323827070222176,89.46123789226084,198,hc & pd,0.275359137331588,0.2910014260650579,0.0035714285714285718,F,315,1.728816312670574,0.002247977563916779,0.0021867393945627232,0.002310961199315884,0.762855235431474,True,cross-sectional,ANCOVA,,,subcortical volume
Left-Accumbens-area,FreeSurfer6,4.565,0.03371428571428571,0.2830703851954289,25.323827070222176,89.46123789226084,198,hc & pd,0.275359137331588,0.2910014260650579,0.0035714285714285718,F,315,1.2096084791029749,0.023239432167104394,0.022606356327921368,0.023890552510113884,0.01866421450503663,False,cross-sectional,ANCOVA,,,subcortical volume
Left-Accumbens-area,FreeSurfer7,5.951,0.0155,0.2830703851954289,25.323827070222176,89.46123789226084,198,hc & pd,0.275359137331588,0.2910014260650579,0.0035714285714285718,F,315,1.3810818144373216,0.011729665219597826,0.011410132126067939,0.012058305936214899,0.10138992909928518,False,cross-sectional,ANCOVA,,,subcortical volume
Left-Amygdala,FreeSurfer5,2.215,0.13807142857142857,0.2324591275684218,52.01604232997413,223.7642499740681,198,hc & pd,0.2261266037699512,0.2389721467243841,0.0035714285714285718,F,315,0.6919320772086406,0.061252139735411305,0.05958354260765356,0.06296829673734701,1.5501228778811776e-06,False,cross-sectional,ANCOVA,,,subcortical volume
Left-Amygdala,FreeSurfer6,3.076,0.08078571428571428,0.2324591275684218,52.01604232997413,223.7642499740681,198,hc & pd,0.2261266037699512,0.2389721467243841,0.0035714285714285718,F,315,0.8153982307188203,0.0399146238307981,0.0388272915846546,0.04103294821036672,6.061386970295168e-05,False,cross-sectional,ANCOVA,,,subcortical volume
Left-Amygdala,FreeSurfer7,3.863,0.050571428571428566,0.2324591275684218,52.01604232997413,223.7642499740681,198,hc & pd,0.2261266037699512,0.2389721467243841,0.0035714285714285718,F,315,0.9137743293808921,0.027012862950108824,0.02627699338333503,0.027769706941100997,0.0007306307373370074,False,cross-sectional,ANCOVA,,,subcortical volume
Left-Caudate,FreeSurfer5,0.026,0.8709285714285714,0.0920334246195093,40.08039109817606,435.4982036567588,198,hc & pd,0.0895263006456991,0.0946120089229338,0.0035714285714285718,F,315,0.029679887629643572,0.07242277030379882,0.07044986899724552,0.07445190503922738,2.4047316647935225e-42,False,cross-sectional,ANCOVA,,,subcortical volume
Left-Caudate,FreeSurfer6,0.0,0.9915,0.0920334246195093,40.08039109817606,435.4982036567588,198,hc & pd,0.0895263006456991,0.0946120089229338,0.0035714285714285718,F,315,0.0,0.0,0.0,0.0,0.0,False,cross-sectional,ANCOVA,,,subcortical volume
Left-Caudate,FreeSurfer7,0.001,0.9800000000000001,0.0920334246195093,40.08039109817606,435.4982036567588,198,hc & pd,0.0895263006456991,0.0946120089229338,0.0035714285714285718,F,315,0.005820704853261295,0.07333662566994356,0.07133882961774184,0.0753913647237215,9.976721813016704e-09,False,cross-sectional,ANCOVA,,,subcortical volume
Left-Hippocampus,FreeSurfer5,12.511,0.0005,0.160584483739935,70.34512782932454,438.0568171408625,198,hc & pd,0.1562099294878162,0.1650837255192911,0.0035714285714285718,F,315,1.1360032858506464,0.0002722373320711861,0.0002648211922869329,0.0002798648534221204,0.9999999756351134,True,cross-sectional,ANCOVA,,,subcortical volume
Left-Hippocampus,FreeSurfer6,10.627,0.0012857142857142856,0.160584483739935,70.34512782932454,438.0568171408625,198,hc & pd,0.1562099294878162,0.1650837255192911,0.0035714285714285718,F,315,1.0469812781407584,0.0006772241220726202,0.0006587755547275457,0.000696198527276995,0.9936975612035197,True,cross-sectional,ANCOVA,,,subcortical volume
Left-Hippocampus,FreeSurfer7,8.892,0.0031428571428571426,0.160584483739935,70.34512782932454,438.0568171408625,198,hc & pd,0.1562099294878162,0.1650837255192911,0.0035714285714285718,F,315,0.9577084130549272,0.0015749217547226502,0.0015320186018250516,0.0016190477723367841,0.6650362069150404,True,cross-sectional,ANCOVA,,,subcortical volume
Left-Pallidum,FreeSurfer5,3.095,0.07985714285714286,0.2206523984858535,55.911586860856886,253.3921554650197,198,hc & pd,0.2146415071123151,0.2268346177567419,0.0035714285714285718,F,315,0.7763704104707954,0.03753146472169442,0.03650905318626597,0.03858301796135705,2.5050882399612376e-05,False,cross-sectional,ANCOVA,,,subcortical volume
Left-Pallidum,FreeSurfer6,4.103,0.044,0.2206523984858535,55.911586860856886,253.3921554650197,198,hc & pd,0.2146415071123151,0.2268346177567419,0.0035714285714285718,F,315,0.8939009662571535,0.02276710237993831,0.022146893489234543,0.02340498902899084,0.000736860667112275,False,cross-sectional,ANCOVA,,,subcortical volume
Left-Pallidum,FreeSurfer7,8.764,0.003428571428571429,0.2206523984858535,55.911586860856886,253.3921554650197,198,hc & pd,0.2146415071123151,0.2268346177567419,0.0035714285714285718,F,315,1.3064410941363638,0.0023034714433357176,0.0022407215402168246,0.0023680099013114837,0.6124280787541848,True,cross-sectional,ANCOVA,,,subcortical volume
Left-Putamen,FreeSurfer5,1.463,0.22778571428571429,0.1449720843561877,82.85201358453308,571.5032238963374,198,hc & pd,0.1410228345078279,0.1490338993185351,0.0035714285714285718,F,315,0.35070062657423945,0.055580018904505736,0.05406593857514276,0.05713725492960975,6.046742316516957e-20,False,cross-sectional,ANCOVA,,,subcortical volume
Left-Putamen,FreeSurfer6,2.527,0.1132857142857143,0.1449720843561877,82.85201358453308,571.5032238963374,198,hc & pd,0.1410228345078279,0.1490338993185351,0.0035714285714285718,F,315,0.4609109221877633,0.03270420723766376,0.031813297197653995,0.03362051080658588,2.7763439534619036e-13,False,cross-sectional,ANCOVA,,,subcortical volume
Left-Putamen,FreeSurfer7,1.707,0.1927142857142857,0.1449720843561877,82.85201358453308,571.5032238963374,198,hc & pd,0.1410228345078279,0.1490338993185351,0.0035714285714285718,F,315,0.3788184644342457,0.04920772526049832,0.04786723545250406,0.05058642292918257,3.725287539078856e-18,False,cross-sectional,ANCOVA,,,subcortical volume
Left-Thalamus,FreeSurfer5,15.696,7.142857142857143e-05,0.1609975503433589,143.6251333814874,892.0951472564552,198,hc & pd,0.1566117435578426,0.1655083653860621,0.0035714285714285718,F,315,1.275685910018862,5.917655145935628e-05,5.756449636671428e-05,6.083455481362393e-05,1.0,True,cross-sectional,ANCOVA,,,subcortical volume
Left-Thalamus,FreeSurfer6,15.582,7.142857142857143e-05,0.1609975503433589,143.6251333814874,892.0951472564552,198,hc & pd,0.1566117435578426,0.1655083653860621,0.0035714285714285718,F,315,1.2710448161673529,6.248873794673133e-05,6.078645409010972e-05,6.423954184734037e-05,1.0,True,cross-sectional,ANCOVA,,,subcortical volume
Left-Thalamus,FreeSurfer7,15.627,7.142857142857143e-05,0.1609975503433589,143.6251333814874,892.0951472564552,198,hc & pd,0.1566117435578426,0.1655083653860621,0.0035714285714285718,F,315,1.272878848408159,6.115956923137642e-05,5.9493493858414776e-05,6.287313260116543e-05,1.0,True,cross-sectional,ANCOVA,,,subcortical volume
Right-Accumbens-area,FreeSurfer5,3.688,0.05607142857142857,0.2333571902736778,21.98030570066392,94.19167960878232,198,hc & pd,0.2270002019445473,0.2398953712706216,0.0035714285714285718,F,315,0.896286053879999,0.029574200612814613,0.028768556493091797,0.030402807934576316,0.00046481627950829927,False,cross-sectional,ANCOVA,,,subcortical volume
Right-Accumbens-area,FreeSurfer6,7.267,0.007571428571428571,0.2333571902736778,21.98030570066392,94.19167960878232,198,hc & pd,0.2270002019445473,0.2398953712706216,0.0035714285714285718,F,315,1.2581393995267391,0.0050659543065522256,0.004927950363477267,0.005207891763630966,0.22363477994433234,False,cross-sectional,ANCOVA,,,subcortical volume
Right-Accumbens-area,FreeSurfer7,10.78,0.0012142857142857144,0.2333571902736778,21.98030570066392,94.19167960878232,198,hc & pd,0.2270002019445473,0.2398953712706216,0.0035714285714285718,F,315,1.5323591400988823,0.0009137395493847866,0.0008888479587528811,0.0009393406227904836,0.9757528934400546,True,cross-sectional,ANCOVA,,,subcortical volume
Right-Amygdala,FreeSurfer5,3.281,0.07142857142857142,0.200753778503017,45.85842167264524,228.4311758144869,198,hc & pd,0.1952849543991793,0.2063784800094661,0.0035714285714285718,F,315,0.727271952195615,0.031134413798523483,0.03028626720865662,0.03200673503452121,8.057310881798795e-06,False,cross-sectional,ANCOVA,,,subcortical volume
Right-Amygdala,FreeSurfer6,9.173,0.0027142857142857142,0.200753778503017,45.85842167264524,228.4311758144869,198,hc & pd,0.1952849543991793,0.2063784800094661,0.0035714285714285718,F,315,1.2160443676396777,0.0017168120045755026,0.0016700435554713711,0.0017649134905870377,0.7458970194096635,True,cross-sectional,ANCOVA,,,subcortical volume
Right-Amygdala,FreeSurfer7,11.376,0.0008571428571428572,0.200753778503017,45.85842167264524,228.4311758144869,198,hc & pd,0.1952849543991793,0.2063784800094661,0.0035714285714285718,F,315,1.3542177924380112,0.0005889382989802735,0.0005728947655078109,0.000605439119847414,0.9982151509103389,True,cross-sectional,ANCOVA,,,subcortical volume
Right-Caudate,FreeSurfer5,0.063,0.8017142857142857,0.1434684675759418,63.97455352951436,445.9136882859004,198,hc & pd,0.1395601784295526,0.1474881543371065,0.0035714285714285718,F,315,0.07202059913333438,0.110822269283136,0.10780330992896128,0.11392727776483495,7.795370147237037e-23,False,cross-sectional,ANCOVA,,,subcortical volume
