Paper,Region,Method,Mean_pval,Std_pval,P_cross
Hanganu_2014_replication,Thalamus,PD-MCI_vs_PD-non-MCI p-val (empirical),0.01,0.08109968637193582,0.021725322526790714
Hanganu_2014_replication,Caudate,PD-MCI_vs_PD-non-MCI p-val (empirical),0.63,0.06916214106304537,6.633467693190855e-28
Hanganu_2014_replication,Putamen,PD-MCI_vs_PD-non-MCI p-val (empirical),0.21,0.04178181017733855,4.499960513877908e-08
Hanganu_2014_replication,Pallidum,PD-MCI_vs_PD-non-MCI p-val (empirical),0.55,0.10646956541714137,1.0966433308192806e-10
Hanganu_2014_replication,Hippocampus,PD-MCI_vs_PD-non-MCI p-val (empirical),0.43,0.06049899600072416,4.334563052671664e-20
Hanganu_2014_replication,Amygdala,PD-MCI_vs_PD-non-MCI p-val (empirical),0.57,0.10952223157498359,1.2457163179970928e-10
Hanganu_2014_replication,Thalamus,PD-MCI_vs_PD-non-MCI p-val (exact),0.01,0.08126266084842686,0.021611832312586565
Hanganu_2014_replication,Caudate,PD-MCI_vs_PD-non-MCI p-val (exact),0.63,0.06918831498240927,6.948235727691519e-28
Hanganu_2014_replication,Putamen,PD-MCI_vs_PD-non-MCI p-val (exact),0.21,0.042420841052966875,7.107235658078444e-08
Hanganu_2014_replication,Pallidum,PD-MCI_vs_PD-non-MCI p-val (exact),0.55,0.10627986507066921,1.0139002923065335e-10
Hanganu_2014_replication,Hippocampus,PD-MCI_vs_PD-non-MCI p-val (exact),0.43,0.060799463707116676,6.62078338576333e-20
Hanganu_2014_replication,Amygdala,PD-MCI_vs_PD-non-MCI p-val (exact),0.57,0.10915109923908799,1.0732087907705975e-10
Hanganu_2014_replication,Thalamus,PD-MCI_vs_HC p-val (empirical),0.28,0.05562201150975935,1.259324071020907e-09
Hanganu_2014_replication,Caudate,PD-MCI_vs_HC p-val (empirical),0.56,0.06506042156995105,3.210492677568432e-27
Hanganu_2014_replication,Putamen,PD-MCI_vs_HC p-val (empirical),0.26,0.04879328067419292,3.251027669699621e-10
Hanganu_2014_replication,Pallidum,PD-MCI_vs_HC p-val (empirical),0.85,0.12605682547955072,1.93896070177813e-08
Hanganu_2014_replication,Hippocampus,PD-MCI_vs_HC p-val (empirical),0.22,0.03854916499378373,2.4654443821530865e-10
Hanganu_2014_replication,Amygdala,PD-MCI_vs_HC p-val (empirical),0.2,0.054650985127500815,9.058007371670428e-05
Hanganu_2014_replication,Thalamus,PD-MCI_vs_HC p-val (exact),0.28,0.05630664776945421,1.989649587927839e-09
Hanganu_2014_replication,Caudate,PD-MCI_vs_HC p-val (exact),0.56,0.06517463307442692,3.954784918494781e-27
Hanganu_2014_replication,Putamen,PD-MCI_vs_HC p-val (exact),0.26,0.049414097056128606,5.383279792777422e-10
Hanganu_2014_replication,Pallidum,PD-MCI_vs_HC p-val (exact),0.85,0.1089936470699501,5.242276705886993e-11
Hanganu_2014_replication,Hippocampus,PD-MCI_vs_HC p-val (exact),0.22,0.03902101587371427,4.0234523698571983e-10
Hanganu_2014_replication,Amygdala,PD-MCI_vs_HC p-val (exact),0.2,0.05600088501041848,0.00013240847954414534
Hanganu_2014_replication,Thalamus,PD-non-MCI_vs_HC p-val (empirical),0.09,0.0228319309939417,0.023316320102667303
Hanganu_2014_replication,Caudate,PD-non-MCI_vs_HC p-val (empirical),0.95,0.07789658754216305,4.1094449898277063e-10
Hanganu_2014_replication,Putamen,PD-non-MCI_vs_HC p-val (empirical),0.13,0.004870338193804188,4.6157637365354415e-101
Hanganu_2014_replication,Pallidum,PD-non-MCI_vs_HC p-val (empirical),0.13,0.039902054372969085,0.006509439270819408
Hanganu_2014_replication,Hippocampus,PD-non-MCI_vs_HC p-val (empirical),0.74,0.08027340351429978,7.921524489590929e-23
Hanganu_2014_replication,Amygdala,PD-non-MCI_vs_HC p-val (empirical),0.5,0.1020140827398258,4.5124254151120917e-10
Hanganu_2014_replication,Thalamus,PD-non-MCI_vs_HC p-val (exact),0.09,0.023365408615124133,0.026186859206091973
Hanganu_2014_replication,Caudate,PD-non-MCI_vs_HC p-val (exact),0.95,0.05449632599026162,1.238301751145217e-19
Hanganu_2014_replication,Putamen,PD-non-MCI_vs_HC p-val (exact),0.13,0.004855222358744361,1.1145925469230002e-101
Hanganu_2014_replication,Pallidum,PD-non-MCI_vs_HC p-val (exact),0.13,0.04120662510718029,0.008267664475325778
Hanganu_2014_replication,Hippocampus,PD-non-MCI_vs_HC p-val (exact),0.74,0.07995179339174462,5.294650122447413e-23
Hanganu_2014_replication,Amygdala,PD-non-MCI_vs_HC p-val (exact),0.5,0.10207187287892043,4.618103569193114e-10
Hanganu_2014_replication,Right-Thalamus,PD-all p-val,0.89,0.12736150729772047,4.671535563378821e-07
Hanganu_2014_replication,Right-Caudate,PD-all p-val,0.68,0.10486082549953575,1.5219617743328262e-13
Hanganu_2014_replication,Right-Putamen,PD-all p-val,0.92,0.13439547075941607,2.5705360133465237e-05
Hanganu_2014_replication,Right-Pallidum,PD-all p-val,1.0,0.17411180760269157,
Hanganu_2014_replication,Right-Hippocampus,PD-all p-val,0.64,0.0926965497374059,2.64775553139857e-16
Hanganu_2014_replication,Right-Amygdala,PD-all p-val,0.26,0.08836741551403204,0.0005118702763122768
Hanganu_2014_replication,Left-Thalamus,PD-all p-val,0.37,0.08945526241565703,1.4414200716070843e-07
Hanganu_2014_replication,Left-Caudate,PD-all p-val,1.0,0.08028933300253162,
Hanganu_2014_replication,Left-Putamen,PD-all p-val,0.9,0.10859249236897733,6.882116613816715e-09
Hanganu_2014_replication,Left-Pallidum,PD-all p-val,0.81,0.16330069097362115,7.717214883761373e-06
Hanganu_2014_replication,Left-Hippocampus,PD-all p-val,0.96,0.1221809022733756,0.00048405409697652906
Hanganu_2014_replication,Left-Amygdala,PD-all p-val,0.26,0.100947801057435,0.002363828832145504
Hanganu_2014_replication,Right-Thalamus,PD-all p-val (exact),0.89,0.09157866380341291,7.015722484666528e-13
Hanganu_2014_replication,Right-Caudate,PD-all p-val (exact),0.68,0.10325407680527621,6.181276695082056e-14
Hanganu_2014_replication,Right-Putamen,PD-all p-val (exact),0.92,0.08736659436636793,1.819664218941236e-11
Hanganu_2014_replication,Right-Pallidum,PD-all p-val (exact),1.0,0.09967282519073983,
Hanganu_2014_replication,Right-Hippocampus,PD-all p-val (exact),0.64,0.0920410200654193,1.6081017379830616e-16
Hanganu_2014_replication,Right-Amygdala,PD-all p-val (exact),0.26,0.0895381734137682,0.0006058580375499554
Hanganu_2014_replication,Left-Thalamus,PD-all p-val (exact),0.37,0.08954089083896655,1.4820161565606868e-07
Hanganu_2014_replication,Left-Caudate,PD-all p-val (exact),1.0,0.047427546658353005,
Hanganu_2014_replication,Left-Putamen,PD-all p-val (exact),0.9,0.08313300102753857,1.4780355642684178e-14
Hanganu_2014_replication,Left-Pallidum,PD-all p-val (exact),0.81,0.1269302461987093,3.78522355803048e-09
Hanganu_2014_replication,Left-Hippocampus,PD-all p-val (exact),0.96,0.07487468024941973,3.4479685595545527e-09
Hanganu_2014_replication,Left-Amygdala,PD-all p-val (exact),0.26,0.1026399463552766,0.002791200152851961
Hanganu_2014_replication,Right-Thalamus,PD-MCI p-val,0.81,0.11890443058080077,2.6372720903894637e-10
Hanganu_2014_replication,Right-Caudate,PD-MCI p-val,0.61,0.08284741876436602,3.4816084264967756e-19
Hanganu_2014_replication,Right-Putamen,PD-MCI p-val,0.7,0.11178065666001595,3.392382158790752e-12
