region,groups,p_value,std_p,sample_size,proba_significant,std_p_low,std_p_high,alpha,significant,metric,test,study
superiorfrontal,HC_vs_MildPD,0.247,0.035814165272479534,57,1.337675592016746e-15,0.03483853546485417,0.036817603368950055,0.05,False,cortical thickness,T,cross-sectional
caudalmiddlefrontal,HC_vs_MildPD,0.137,0.06458688994250489,57,0.05702971129247322,0.06282744938231552,0.0663964796790737,0.05,False,cortical thickness,T,cross-sectional
lateralorbitofrontal,HC_vs_MildPD,0.005,0.0030616823144829224,57,0.9999999997135319,0.002978277647509314,0.0031474642571938144,0.05,True,cortical thickness,T,cross-sectional
precentral,HC_vs_MildPD,0.256,0.12613627892270524,57,0.01733442049123061,0.12270014373419369,0.12967035396410612,0.05,False,cortical thickness,T,cross-sectional
paracentral,HC_vs_MildPD,0.713,0.15519455023238413,57,8.386861338776403e-07,0.15096682558668162,0.15954277733423006,0.05,False,cortical thickness,T,cross-sectional
fusiform,HC_vs_MildPD,0.924,0.16261845015462206,57,0.0009320096409925453,0.1581884877072604,0.1671746794240372,0.05,False,cortical thickness,T,cross-sectional
transversetemporal,HC_vs_MildPD,0.218,0.08979710662263136,57,0.0067337837998734055,0.08735090319465781,0.09231303396736874,0.05,False,cortical thickness,T,cross-sectional
middletemporal,HC_vs_MildPD,0.386,0.09511257308378412,57,2.236155212503541e-07,0.0925215686397467,0.09777742869495043,0.05,False,cortical thickness,T,cross-sectional
inferiortemporal,HC_vs_MildPD,0.897,0.13392030435384106,57,3.217149790205563e-06,0.13027212102247449,0.13767247152728168,0.05,False,cortical thickness,T,cross-sectional
lingual,HC_vs_MildPD,0.342,0.10910399899380585,57,8.569582314026752e-05,0.10613184781452706,0.11216086513140064,0.05,False,cortical thickness,T,cross-sectional
pericalcarine,HC_vs_MildPD,0.172,0.11453604695946906,57,0.12162377037248169,0.11141591891485143,0.11774510773371485,0.05,False,cortical thickness,T,cross-sectional
cuneus,HC_vs_MildPD,0.147,0.0444206220287334,57,0.002651900548959546,0.04321053985608554,0.045665195064944875,0.05,False,cortical thickness,T,cross-sectional
lateraloccipital,HC_vs_MildPD,0.573,0.10640176933242411,57,2.8715461057763133e-11,0.10350323080849093,0.10938292463976465,0.05,False,cortical thickness,T,cross-sectional
superiorparietal,HC_vs_MildPD,0.91,0.07597573927447032,57,4.1976353386515717e-16,0.07390604993985657,0.0781044207784365,0.05,False,cortical thickness,T,cross-sectional
inferiorparietal,HC_vs_MildPD,0.234,0.057961935970419175,57,4.251233054727982e-06,0.05638296876539915,0.05958590833597358,0.05,False,cortical thickness,T,cross-sectional
precuneus,HC_vs_MildPD,0.358,0.07369250316094898,57,6.999520898494871e-10,0.07168501248972024,0.07575721315861,0.05,False,cortical thickness,T,cross-sectional
postcentral,HC_vs_MildPD,0.497,0.12708500765487898,57,7.756960893293373e-07,0.12362302771964731,0.1306456640934962,0.05,False,cortical thickness,T,cross-sectional
posteriorcingulate,HC_vs_MildPD,0.911,0.17067178943262176,57,0.0008581601043182615,0.16602244234259828,0.17545365644547903,0.05,False,cortical thickness,T,cross-sectional
