region,hemisphere,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
BrainSegVolNotVent,lh,0.2259511761218401,0.003516392266622408,0.015562619885307686,390,hc & pd,0.22155070553009681,0.23044070590102894
BrainSegVolNotVent,rh,0.2259511761218401,0.003516392266622408,0.015562619885307686,390,hc & pd,0.22155070553009681,0.23044070590102894
WhiteSurfArea,lh,0.30373486850150727,0.006687378222102868,0.022017156789062176,390,hc & pd,0.29781953590856175,0.3097699189071764
WhiteSurfArea,rh,0.2753033951230814,0.006122150506050523,0.022237831477935316,390,hc & pd,0.2699417744630812,0.2807735272637098
bankssts,lh,0.6955203002699123,0.04330774642734568,0.06226668928360414,390,hc & pd,0.6819748225263143,0.7093399189755408
bankssts,rh,0.758673214213216,0.034581678606319104,0.0455817840388396,390,hc & pd,0.7438978135041338,0.7737476477538783
caudalanteriorcingulate,lh,0.7356941591805468,0.054696822546447456,0.07434722957073837,390,hc & pd,0.7213662828332886,0.7503120111108034
caudalanteriorcingulate,rh,0.6306699659754583,0.04075786611265487,0.0646262995093077,390,hc & pd,0.6183874689953398,0.6432010430058344
caudalmiddlefrontal,lh,0.6390621296022266,0.026273508634708183,0.04111260457736978,390,hc & pd,0.6266161925822086,0.6517599544635319
caudalmiddlefrontal,rh,0.5965261456119033,0.03015711915072106,0.050554563907314665,390,hc & pd,0.5849086103282823,0.6083788030786883
cuneus,lh,0.6381353063689204,0.026781946432503312,0.041969071708155996,390,hc & pd,0.6257074195243956,0.6508147157451752
cuneus,rh,0.6874664272966741,0.02649108872161317,0.03853437443597667,390,hc & pd,0.674077801275544,0.7011260198268616
eTIV,lh,0.00437936508195586,9.560383873559793e-05,0.021830524961143564,390,hc & pd,0.004294075562403803,0.0044663807385540745
eTIV,rh,0.00437936508195586,9.560383873559793e-05,0.021830524961143564,390,hc & pd,0.004294075562403803,0.0044663807385540745
entorhinal,lh,0.7701913518379035,0.09417773112850925,0.1222783544683713,390,hc & pd,0.7551916317570038,0.7854946446514157
entorhinal,rh,0.7440525165807369,0.08869460840479279,0.11920476905633659,390,hc & pd,0.72956185858053,0.7588364446301681
frontalpole,lh,0.7915072343379755,0.06605616524011747,0.08345617370808682,390,hc & pd,0.776092380706153,0.8072340624076272
frontalpole,rh,0.7754735918295115,0.07124663565668683,0.09187499923575794,390,hc & pd,0.7603709984547411,0.7908818399442095
fusiform,lh,0.6207349628618035,0.02386901383487858,0.03845282650881166,390,hc & pd,0.608645953208376,0.6330686366606467
fusiform,rh,0.5824541473627107,0.02309438653844015,0.03965013665540718,390,hc & pd,0.5711106686939986,0.5940272017033833
inferiorparietal,lh,0.5441458354057082,0.01966899944711761,0.03614655882177736,390,hc & pd,0.5335484232239225,0.5549577239482055
inferiorparietal,rh,0.4454932527539186,0.016306159646797908,0.03660248397926937,390,hc & pd,0.4368171308092974,0.4543449669117946
inferiortemporal,lh,0.49692512149183715,0.0301485760335058,0.06067025942056552,390,hc & pd,0.4872473476428347,0.5067987595461115
inferiortemporal,rh,0.5016312366072558,0.0258207103566837,0.051473489831534575,390,hc & pd,0.4918618096784943,0.5115983826676296
insula,lh,0.8120331808027869,0.04368083285287875,0.053791931026384035,390,hc & pd,0.7962185778740747,0.8281678485193988
insula,rh,0.894053542292942,0.05844614588865766,0.0653720869320234,390,hc & pd,0.8766415668926346,0.9118179109995206
isthmuscingulate,lh,0.6918526473669648,0.03318576109695158,0.04796651602512342,390,hc & pd,0.6783785983232176,0.7055993917587255
isthmuscingulate,rh,0.6822777263109878,0.03536830266856939,0.051838571456527704,390,hc & pd,0.6689901518820147,0.6958342221103224
lateraloccipital,lh,0.5245849830665008,0.016396340411383978,0.0312558325927249,390,hc & pd,0.5143685246683843,0.5350082078693775
