region,hemisphere,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
BrainSegVolNotVent,lh,0.02543405036807457,2748.4335500323227,108061.18216555167,198,hc & pd,0.024741189945977963,0.026146659328598876
BrainSegVolNotVent,rh,0.02543405036807457,2748.4335500323227,108061.18216555167,198,hc & pd,0.024741189945977963,0.026146659328598876
WhiteSurfArea,lh,0.04624440834505628,384.4918641193472,8314.342812009421,198,hc & pd,0.044984643587895064,0.047540080064028614
WhiteSurfArea,rh,0.046405131487687,387.437263774902,8349.017691668507,198,hc & pd,0.045140988399004364,0.04770530633337115
bankssts,lh,0.1625170271542639,29.33760021414135,180.52016288910826,198,hc & pd,0.15808982761653986,0.16707041476307624
bankssts,rh,0.17616855248516716,22.129180670341977,125.61368279509014,198,hc & pd,0.17136946559697597,0.18110442731622067
caudalanteriorcingulate,lh,0.16078114688896147,22.427887894319326,139.49326975387515,198,hc & pd,0.15640123524742078,0.16528589875892963
caudalanteriorcingulate,rh,0.13532538062649332,22.158536637619957,163.7426514895896,198,hc & pd,0.1316389209795097,0.13911691510193996
caudalmiddlefrontal,lh,0.11995349457675379,43.10170810591202,359.32015368116544,198,hc & pd,0.11668578740146504,0.12331434091638732
caudalmiddlefrontal,rh,0.14011229409937498,51.32327074201448,366.3009807377312,198,hc & pd,0.1362954319863522,0.14403794789064683
cuneus,lh,0.1279474329970771,29.708415792835016,232.19235507064602,198,hc & pd,0.12446195934464588,0.13153225279220682
cuneus,rh,0.12718358626105503,31.520840653342287,247.83733168714954,198,hc & pd,0.12371892090161209,0.13074700466628897
eTIV,lh,0.0006775018545617861,114.82821427547877,169487.675203119,198,hc & pd,0.0006590457213808856,0.0006964840412503277
eTIV,rh,0.0006775018545617861,114.82821427547877,169487.675203119,198,hc & pd,0.0006590457213808856,0.0006964840412503277
entorhinal,lh,0.32137996242585765,28.616420159053835,89.0423284110491,198,hc & pd,0.3126251061132636,0.33038435762219254
entorhinal,rh,0.3186988986766939,23.43320517759158,73.52772562092706,198,hc & pd,0.31001707842929715,0.32762817606742006
frontalpole,lh,0.3773811419886781,13.101480073212343,34.71683827170517,198,hc & pd,0.36710073231952917,0.3879545732519734
frontalpole,rh,0.3955354638838704,16.524254030090777,41.77692151251023,198,hc & pd,0.3847605041548942,0.40661754132296296
fusiform,lh,0.1458844731994507,53.13683147650845,364.2391154530935,198,hc & pd,0.14191036855565445,0.14997185139123834
fusiform,rh,0.1441965272391274,53.58353346201665,371.60072082149895,198,hc & pd,0.14026840469152194,0.14823661271116337
inferiorparietal,lh,0.09004987822348304,57.65579279561111,640.2650834521145,198,hc & pd,0.08759678893047816,0.09257288770044486
inferiorparietal,rh,0.09139529202978262,68.60637241294963,750.6554319077304,198,hc & pd,0.08890555171327826,0.09395599719107736
inferiortemporal,lh,0.15422950875324368,69.64737584379588,451.5826861332144,198,hc & pd,0.15002807323715076,0.15855069740877842
inferiortemporal,rh,0.13430413106731318,60.68253378658399,451.82924236462935,198,hc & pd,0.130645491739563,0.1380670522634641
insula,lh,0.29588321137392926,77.8642539520674,263.158742905709,198,hc & pd,0.2878229235410024,0.3041732408675577
insula,rh,0.38443940393084675,102.64590120122202,267.0015096051029,198,hc & pd,0.3739667169689447,0.3952105929493139
isthmuscingulate,lh,0.12107979394587329,24.29361864276104,200.64139400188523,198,hc & pd,0.11778140474216192,0.12447219684103189
isthmuscingulate,rh,0.15522936891425335,24.02260978507083,154.7555720486154,198,hc & pd,0.15100069575715674,0.15957857156282873
lateraloccipital,lh,0.08666741907078702,56.750415967724095,654.8068071736654,198,hc & pd,0.08430647287108997,0.08909565910812219
lateraloccipital,rh,0.0886034393442928,58.94144006251761,665.2274505223729,198,hc & pd,0.08618975314430179,0.09108592262541695
lateralorbitofrontal,lh,0.16377928776878697,48.976321761031556,299.03855626831864,198,hc & pd,0.15931770242111457,0.1683680412832026
lateralorbitofrontal,rh,0.3435772758377147,122.86659017865264,357.60976880405633,198,hc & pd,0.3342177325123413,0.35320359338648427
lingual,lh,0.11452075351698329,45.1041852729603,393.8516285283733,198,hc & pd,0.11140104208792216,0.11772938580091691
lingual,rh,0.11931388006722711,48.75738965370322,408.6480938029255,198,hc & pd,0.11606359691888792,0.12265680574443473
medialorbitofrontal,lh,0.2843598979190329,70.52712863945244,248.0206567648085,198,hc & pd,0.27661352185826843,0.29232706824143007
medialorbitofrontal,rh,0.23458105817186337,59.95775060016726,255.59502147117027,198,hc & pd,0.2281907299060658,0.2411535293906973
middletemporal,lh,0.13350963209931205,60.85571788565475,455.8151867303987,198,hc & pd,0.12987263607580787,0.1372502930940585
middletemporal,rh,0.10727431282651685,47.9306146720843,446.8042107116296,198,hc & pd,0.10435200495225079,0.11027991497984979
paracentral,lh,0.15140705322735754,24.720861996925144,163.27417692888804,198,hc & pd,0.14728250549353736,0.155649162575062
paracentral,rh,0.1358936543950591,28.381437979003486,208.85035512030055,198,hc & pd,0.13219171414638375,0.1397011107143981
parahippocampal,lh,0.23792837460620275,20.273261793434813,85.20741516008445,198,hc & pd,0.2314468605857171,0.24459463063910683
parahippocampal,rh,0.28488422991952733,21.960830249971547,77.08685825177102,198,hc & pd,0.2771235702945675,0.29286609092926824
parsopercularis,lh,0.11970123024048641,31.929169619203574,266.740530193851,198,hc & pd,0.11644039511160698,0.1230550086603886
parsopercularis,rh,0.18139783227989978,37.33780806932715,205.83381620412263,198,hc & pd,0.17645629222544498,0.1864802206070299
parsorbitalis,lh,0.18122124690462268,17.839265292309157,98.43914881403514,198,hc & pd,0.1762845172919135,0.18629868767841784
parsorbitalis,rh,0.186131721787977,23.060387600850866,123.89283986272366,198,hc & pd,0.18106122371719138,0.19134674381020358
parstriangularis,lh,0.1260441207856303,27.803858742889652,220.58830328292026,198,hc & pd,0.1226104961184421,0.12957561374854398
parstriangularis,rh,0.16903259857847758,42.94998075588448,254.09288573377688,198,hc & pd,0.16442790542483904,0.17376853888780905
pericalcarine,lh,0.1440878822847119,38.97643282115894,270.5045851402206,198,hc & pd,0.1401627193832456,0.14812492375208042
pericalcarine,rh,0.16075829641487394,45.80598319377171,284.9369781548243,198,hc & pd,0.15637900725339016,0.16526240806229198
