region,npv,num,anat,n,timepoint,hemisphere,npv_CI_low,npv_CI_high
BrainSegVolNotVent,0.02543405036807457,2748.4335500323227,108061.18216555167,198,hc & pd,,0.024741189945977963,0.026146659328598876
WhiteSurfArea,0.04632517406618043,385.96737357926617,8331.698290606977,198,hc & pd,,0.04506320913363153,0.04762310867194206
bankssts,0.167093257999427,25.9845667990196,155.5093671050971,198,hc & pd,,0.16254139529602132,0.17177486203694411
caudalanteriorcingulate,0.1465702037127784,22.293619057040754,152.10198589017267,198,hc & pd,,0.14257741877520147,0.15067679464108386
caudalmiddlefrontal,0.13061615417239206,47.39111394188451,362.8273565560349,198,hc & pd,,0.12705798068437713,0.13427574595999442
cuneus,0.12754121040567623,30.628037518043534,240.14228358523113,198,hc & pd,,0.12406680284582838,0.13111464869237885
eTIV,0.0006775018545617861,114.82821427547876,169487.675203119,198,hc & pd,,0.0006590457213808856,0.0006964840412503277
entoinalarea,0.3202956890795297,26.153533294897343,81.65434061900034,198,hc & pd,,0.31157036994554205,0.32926970520170734
frontalpole,0.3882223014683648,14.91140086242321,38.40943914356322,198,hc & pd,,0.37764656289074827,0.3990994793735003
fusiform,0.14502606986317157,53.36064991001289,367.93832971104655,198,hc & pd,,0.14107534937130145,0.14908939738664945
inferiorparietal,0.09083112459876055,63.3680707397455,697.6471008111926,198,hc & pd,,0.08835675302135729,0.09337602296716291
inferiortemporal,0.14460498421266116,65.31893626157299,451.7059810712518,198,hc & pd,,0.14066573470466223,0.14865651379584405
insula,0.3436668874498444,91.10165497103517,265.08708955654265,198,hc & pd,,0.33430490297418214,0.35329571572879054
isthmuscingulate,0.13483299654968053,24.15849423749013,179.17345794943228,198,hc & pd,,0.13115995015911328,0.138610735451867
lateraloccipital,0.08765605546172127,57.85630073359802,660.0376942453613,198,hc & pd,,0.08526817737279659,0.09011199502550561
lateralorbitofrontal,0.28373754766492104,93.52774742120404,329.62767244205315,198,hc & pd,,0.27600812532774827,0.2916872810332647
lingual,0.11703017010956487,46.96632077872704,401.3180595632449,198,hc & pd,,0.11384209853281234,0.12030911100434431
medialorbitofrontal,0.2599153388401163,65.45612168146586,251.83631706218918,198,hc & pd,,0.25283486802355326,0.2671976236809008
middletemporal,0.12136456515858153,54.775734692572684,451.3321876200004,198,hc & pd,,0.11805841837399797,0.1247649467482437
paracentral,0.14197810653686543,26.614160137293826,187.4525642471736,198,hc & pd,,0.13811041698683263,0.1459560364950227
parahippocampal,0.26011381360183355,21.13389704968311,81.24865326081297,198,hc & pd,,0.2530279360448895,0.2674016592908349
parsopercularis,0.14581382065457943,34.73891034556053,238.2415479521249,198,hc & pd,,0.14184164068858138,0.14989921930965033
parsorbitalis,0.18424691138366692,20.615781121156463,111.89213955520346,198,hc & pd,,0.17922775828206253,0.18940912495566387
parstriangularis,0.15205418079378066,36.178414890134476,237.93107628655383,198,hc & pd,,0.14791200436644397,0.15631442130407078
pericalcarine,0.15308243308839206,42.52852226336116,277.81451735095277,198,hc & pd,,0.14891224557715185,0.15737148307999624
postcentral,0.15000154565312485,75.17698203967507,501.1747159827281,198,hc & pd,,0.14591528598420386,0.15420427561465258
posteriorcingulate,0.15012401607281878,27.317351558902924,181.96523296880386,198,hc & pd,,0.14603442013203172,0.15433017739967017
precentral,0.13616626347298655,75.95764922326438,557.8301650197907,198,hc & pd,,0.13245689695763063,0.13998135772921882
precuneus,0.10193534897240629,50.85765442866995,498.92068788067843,198,hc & pd,,0.09915848221726928,0.10479136451144479
rostralanteriorcingulate,0.19287839250930228,30.54225911871275,158.34982198557952,198,hc & pd,,0.18762410534255766,0.19828244215159516
rostralmiddlefrontal,0.1694708683087456,137.60927043352243,811.9936588914087,198,hc & pd,,0.16485423605197913,0.17421908802038993
superiorfrontal,0.128137965420571,119.35672572550311,931.4704298117555,198,hc & pd,,0.12464730138857165,0.13172812353619184
superiorparietal,0.14199835586036805,93.57354334833653,658.9762450513911,198,hc & pd,,0.138130114689393,0.14597685316226977
superiortemporal,0.11194948891791633,48.34194746805185,431.81927792003734,198,hc & pd,,0.10889982246594888,0.11508607973906058
supramarginal,0.11500764241883786,71.4542688229509,621.3001790152941,198,hc & pd,,0.11187466742989653,0.11822991631270856
temporalpole,0.37687652164227103,25.21576594850635,66.90723486468866,198,hc & pd,,0.36660985856326994,0.38743581449759323
transversetemporal,0.19786750688774726,12.008402264319969,60.68910683315218,198,hc & pd,,0.1924773090090196,0.20341134109284906
