region,hemisphere,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
BrainSegVolNotVent,lh,0.02543405036807457,2748.4335500323227,108061.18216555167,198,hc & pd,0.024741189945977963,0.026146659328598876
BrainSegVolNotVent,rh,0.02543405036807457,2748.4335500323227,108061.18216555167,198,hc & pd,0.024741189945977963,0.026146659328598876
MeanThickness,lh,0.10331137975613143,0.00858279795859018,0.0830769851186776,198,hc & pd,0.10049702792662238,0.10620594880325257
MeanThickness,rh,0.0932746888094485,0.007751874149158886,0.0831080140615129,198,hc & pd,0.09073375099875026,0.09588805074251922
bankssts,lh,0.17081869710064151,0.02290824558139962,0.134108537122858,198,hc & pd,0.16616534803266517,0.17560468015947037
bankssts,rh,0.15244787842933075,0.02161025631345399,0.14175504792919577,198,hc & pd,0.1482949771073745,0.1567191495249492
caudalanteriorcingulate,lh,0.21852084768749544,0.04046552102232704,0.18517922409030918,198,hc & pd,0.21256802284935195,0.22464334535774222
caudalanteriorcingulate,rh,0.22446418818764727,0.035854904657998864,0.15973552372650612,198,hc & pd,0.21834945813393625,0.23075320584329015
caudalmiddlefrontal,lh,0.17304238892590973,0.019427729523458837,0.11227150551982418,198,hc & pd,0.16832846326732467,0.1778906751844727
caudalmiddlefrontal,rh,0.16494048379367654,0.020274763173857825,0.12292169094895741,198,hc & pd,0.16044726578206353,0.1695617715950141
cuneus,lh,0.19701805198183017,0.025356830288284105,0.1287030809269326,198,hc & pd,0.1916509944868066,0.20253808623494798
cuneus,rh,0.2032276300375505,0.025097973370140216,0.12349685604020894,198,hc & pd,0.19769141462978926,0.20892164369621105
eTIV,lh,0.0006775018545617861,114.82821427547877,169487.675203119,198,hc & pd,0.0006590457213808856,0.0006964840412503277
eTIV,rh,0.0006775018545617861,114.82821427547877,169487.675203119,198,hc & pd,0.0006590457213808856,0.0006964840412503277
entorhinal,lh,0.32328111688352745,0.0904751915152451,0.2798653765720617,198,hc & pd,0.31447447036603293,0.33233877845632503
entorhinal,rh,0.2930034707560335,0.08699793685985327,0.2969177690468085,198,hc & pd,0.2850216312343732,0.30121281593321997
frontalpole,lh,0.3122952330720796,0.06998337337227,0.22409363307866248,198,hc & pd,0.303787857963761,0.3210450931295848
frontalpole,rh,0.3029653322417012,0.06854547909207948,0.22624858951648938,198,hc & pd,0.2947121171642823,0.3114537879677564
fusiform,lh,0.2094702334566952,0.023499111557210923,0.11218353638809024,198,hc & pd,0.2037639604773959,0.21533915182259286
fusiform,rh,0.21644113577658286,0.023988041244881228,0.11082940014527745,198,hc & pd,0.21054496530734962,0.22250536426352704
inferiorparietal,lh,0.14342782051247374,0.015396849292727652,0.10734911286885661,198,hc & pd,0.13952063865105038,0.14744636842782877
inferiorparietal,rh,0.14767114386815702,0.014622236156272072,0.0990189130608145,198,hc & pd,0.1436483677239213,0.15180858083979296
inferiortemporal,lh,0.17207009391995462,0.023139519570798486,0.13447728796825537,198,hc & pd,0.1673826549875685,0.17689113850353902
inferiortemporal,rh,0.16495500483705713,0.02198491854332519,0.13327827527901887,198,hc & pd,0.1604613912511608,0.1695766994876963
insula,lh,0.28787838254636633,0.04061327535668769,0.14107789198150864,198,hc & pd,0.2800361578610708,0.2959441334580374
insula,rh,0.316354333211001,0.044229782759851795,0.13981089593721974,198,hc & pd,0.3077363823274957,0.3252179207750889
isthmuscingulate,lh,0.22311529675440403,0.03052332657859338,0.1368051721356971,198,hc & pd,0.21703731245979443,0.22936652128987167
isthmuscingulate,rh,0.21963277684767296,0.03157583168901726,0.14376648213539084,198,hc & pd,0.2136496614464413,0.2257864284502091
lateraloccipital,lh,0.135391430450438,0.01580678230204891,0.11674876503971358,198,hc & pd,0.13170317151045008,0.13918481550397593
lateraloccipital,rh,0.14172153736403187,0.01618848310488001,0.11422740259511578,198,hc & pd,0.13786083713040026,0.14569227878992985
lateralorbitofrontal,lh,0.23529007749822803,0.024202028304424694,0.10286038647170304,198,hc & pd,0.22888043451760404,0.2418824139574716
lateralorbitofrontal,rh,0.27587185471648057,0.030999574401169013,0.11236947108297055,198,hc & pd,0.26835670526378624,0.2836012077995501
lingual,lh,0.2274190371013105,0.026347061129234704,0.115852487395317,198,hc & pd,0.2212238126774176,0.2337908434509443
lingual,rh,0.23595382923392355,0.028102800657895374,0.11910296497046625,198,hc & pd,0.22952610469330004,0.24256476263024854
medialorbitofrontal,lh,0.310921824997338,0.030551887157061326,0.09826227913502984,198,hc & pd,0.3024518635169947,0.31963320502958753
medialorbitofrontal,rh,0.22732465862966944,0.027752841612350573,0.12208460700940603,198,hc & pd,0.2211320052122325,0.233693820691681
middletemporal,lh,0.1619804787263669,0.019920596846233776,0.12298146667343525,198,hc & pd,0.15756789554603967,0.16651883336905937
middletemporal,rh,0.14455216815241378,0.017189151771304447,0.11891313697336207,198,hc & pd,0.1406143574305015,0.14860221793991935
paracentral,lh,0.19928069885846683,0.028561923485533557,0.14332508692083026,198,hc & pd,0.19385200358073404,0.2048641277504825
paracentral,rh,0.19151044631619282,0.027959843137664926,0.14599643870863263,198,hc & pd,0.18629342398784582,0.19687616896374371
parahippocampal,lh,0.14276675356312832,0.03198090776601661,0.22400808989380958,198,hc & pd,0.13887758012423024,0.14676677976350705
parahippocampal,rh,0.15930076396930687,0.02963999232960672,0.18606308966175192,198,hc & pd,0.15496118010567542,0.1637640386023314
parsopercularis,lh,0.15857201298507262,0.018439296446926975,0.11628342290554629,198,hc & pd,0.15425228135524713,0.1630148695378527
parsopercularis,rh,0.16890941499462542,0.02017918276961229,0.11946748362283048,198,hc & pd,0.16430807754047902,0.17364190395726328
parsorbitalis,lh,0.2346186166761667,0.03579802184895652,0.15257963053446388,198,hc & pd,0.22822726526223627,0.2411921402058329
parsorbitalis,rh,0.2544833944230488,0.03641257350058505,0.14308428093368408,198,hc & pd,0.2475508976510107,0.2616134875283977
parstriangularis,lh,0.17763359952892474,0.021651503211038058,0.12188855750520589,198,hc & pd,0.1727946026343272,0.18261052191771532
parstriangularis,rh,0.21400974262713304,0.02399949154473058,0.11214205133896472,198,hc & pd,0.20817980683383347,0.22000584855711985
pericalcarine,lh,0.24278221438639827,0.03835169490312654,0.15796748126733937,198,hc & pd,0.23616847473019095,0.24958446487045194
