region,hemisphere,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
BrainSegVolNotVent,lh,0.02543405036807457,2748.4335500323227,108061.18216555167,198,hc & pd,0.024741189945977963,0.026146659328598876
BrainSegVolNotVent,rh,0.02543405036807457,2748.4335500323227,108061.18216555167,198,hc & pd,0.024741189945977963,0.026146659328598876
bankssts,lh,0.17418075836464395,81.50348956448927,467.92476005795857,198,hc & pd,0.1694358218714333,0.17906093935686868
bankssts,rh,0.17874030885644498,62.112330128578776,347.50040730020334,198,hc & pd,0.17387116359457178,0.1837482389287179
caudalanteriorcingulate,lh,0.14791802375330743,59.082949209859926,399.4303581853989,198,hc & pd,0.14388852224292054,0.15206237778360235
caudalanteriorcingulate,rh,0.12314426917143392,58.06105941202434,471.48811554677616,198,hc & pd,0.11978964066822093,0.12659451434980046
caudalmiddlefrontal,lh,0.12516354011714387,126.47532084646706,1010.4805339326089,198,hc & pd,0.12175390374457758,0.12867036104922697
caudalmiddlefrontal,rh,0.13322420212858346,135.3976447317759,1016.3141724136182,198,hc & pd,0.12959498163147543,0.13695686597180273
cuneus,lh,0.11708193465417795,64.51694482371408,551.0409869317261,198,hc & pd,0.11389245293614979,0.12036232588336322
cuneus,rh,0.12240490137138638,76.52914269368031,625.2130579435271,198,hc & pd,0.11907041431944095,0.12583443100850752
eTIV,lh,0.0006775018545617861,114.82821427547877,169487.675203119,198,hc & pd,0.0006590457213808856,0.0006964840412503277
eTIV,rh,0.0006775018545617861,114.82821427547877,169487.675203119,198,hc & pd,0.0006590457213808856,0.0006964840412503277
entorhinal,lh,0.36378052121666576,135.59204688304243,372.7303661822083,198,hc & pd,0.35387061218396676,0.3739728914971223
entorhinal,rh,0.3389892195252126,123.55064292637803,364.4677641944565,198,hc & pd,0.32975466150840316,0.3484869893203856
frontalpole,lh,0.3591808000050567,56.61336750232563,157.6180227382104,198,hc & pd,0.3493961940496923,0.3692442957058112
frontalpole,rh,0.37789689503667884,69.8161404919627,184.74917737862418,198,hc & pd,0.3676024355064435,0.38848477662299014
fusiform,lh,0.15708145749346797,197.54387595998244,1257.588763894663,198,hc & pd,0.15280233075716618,0.16148255179508852
fusiform,rh,0.15677666985186206,200.1480391892401,1276.6442824583503,198,hc & pd,0.15250584597298789,0.1611692246404549
inferiorparietal,lh,0.0916726387815729,156.10730204368966,1702.8778064919054,198,hc & pd,0.08917534313728033,0.09424111461948571
inferiorparietal,rh,0.09310635250843761,185.31370296920437,1990.3443532750423,198,hc & pd,0.09057000042273734,0.0957149980100023
inferiortemporal,lh,0.13173393770643846,211.06583778240352,1602.2130777928437,198,hc & pd,0.12814531417369987,0.1354248474536564
inferiortemporal,rh,0.11430401160450292,176.71507059998075,1546.0093492730853,198,hc & pd,0.11119020453950469,0.11750657123281466
insula,lh,0.2065107121011975,154.73237218105652,749.2704402918926,198,hc & pd,0.20088506077617269,0.21229671086104462
insula,rh,0.27780510486484544,206.1979497364716,742.2395993651328,198,hc & pd,0.2702372908740839,0.2855886235785842
isthmuscingulate,lh,0.126383228385466,59.495449800875924,470.7543125850223,198,hc & pd,0.12294036593540965,0.1299242224349439
isthmuscingulate,rh,0.14117130676681441,55.793820761088185,395.2206864051202,198,hc & pd,0.13732559561271682,0.1451266318807897
lateraloccipital,lh,0.09504453820470586,164.37498065622475,1729.452146973409,198,hc & pd,0.09245538712945481,0.09770748762068185
lateraloccipital,rh,0.08889397959871037,161.50901278913574,1816.8723407167479,198,hc & pd,0.08647237866078346,0.09138460321083548
lateralorbitofrontal,lh,0.12614696082763796,103.84426437315275,823.2006834872645,198,hc & pd,0.12271053464854417,0.12968133515369967
lateralorbitofrontal,rh,0.2683952989180537,233.42805305238264,869.7173683494835,198,hc & pd,0.261083821689459,0.2759151745258995
lingual,lh,0.09728482798542108,92.7368801260261,953.2512113802932,198,hc & pd,0.09463464816718092,0.10001054564117035
lingual,rh,0.1044500550912397,101.69557157216472,973.6287020943277,198,hc & pd,0.10160468409404415,0.10737652744259997
medialorbitofrontal,lh,0.23051527149706214,158.35526100154894,686.9621260800811,198,hc & pd,0.22423570115738684,0.23697382786654592
medialorbitofrontal,rh,0.21031898917460845,141.25572144967737,671.6260952186575,198,hc & pd,0.20458959485850045,0.2162116879027028
middletemporal,lh,0.12518385647865404,199.75725003933883,1595.7109459509327,198,hc & pd,0.12177366665893295,0.12869124663274653
middletemporal,rh,0.09397156281820819,152.38945699918548,1621.6550244459495,198,hc & pd,0.09141164114875093,0.09660444970526036
paracentral,lh,0.15796967896698536,69.97383943394992,442.9574073425445,198,hc & pd,0.15366635578945023,0.1623956593788321
paracentral,rh,0.14466384238328214,83.14032632660195,574.7139365089195,198,hc & pd,0.14072298949334638,0.1487170210494533
parahippocampal,lh,0.20453868951925264,66.16677423323591,323.49270638603474,198,hc & pd,0.19896675894962215,0.21026943632583578
parahippocampal,rh,0.25693075224826545,69.13190538297307,269.06824028667745,198,hc & pd,0.24993158589937028,0.2641294152074371
parsopercularis,lh,0.12539791976517495,91.94295569420804,733.209576892376,198,hc & pd,0.12198189855104723,0.1289113075253855
parsopercularis,rh,0.17739609710519677,107.55438681321243,606.2951134118365,198,hc & pd,0.17256357012109996,0.18236636517220828
parsorbitalis,lh,0.1896818826185401,59.739809838707046,314.9473687945561,198,hc & pd,0.1845146730175036,0.1949963727310846
parsorbitalis,rh,0.19437792604597062,73.58622373265477,378.5729441070975,198,hc & pd,0.18908278941073284,0.19982398948549096
parstriangularis,lh,0.12406028475381102,77.30774584727953,623.146609736479,198,hc & pd,0.12068070265752621,0.12753619477527314
parstriangularis,rh,0.16493459150046724,119.27428241010065,723.1611108683818,198,hc & pd,0.16044153400346756,0.16955571421205784
pericalcarine,lh,0.13543134132681994,63.103631419818456,465.94555441593207,198,hc & pd,0.13174199515667182,0.13922584459974177
pericalcarine,rh,0.14047740201497427,72.6746880263017,517.340774984968,198,hc & pd,0.13665059383277053,0.14441328536734432
postcentral,lh,0.10397779431130133,129.98089062228314,1250.0831690382909,198,hc & pd,0.10114528838272806,0.10689103490214301
postcentral,rh,0.13647041369245966,165.73562189112022,1214.4436102070492,198,hc & pd,0.13275276168397956,0.14029402960248302
