region,npv,num,anat,n,timepoint,hemisphere,npv_CI_low,npv_CI_high
BrainSegVolNotVent,0.02543405036807457,2748.4335500323227,108061.18216555167,198,hc & pd,,0.024741189945977963,0.026146659328598876
bankssts,0.1758150850997655,72.45950719260505,412.13475596527,198,hc & pd,,0.17102562717582903,0.18074105651306033
caudalanteriorcingulate,0.1340533529498975,58.574232847650286,436.9471673680734,198,hc & pd,,0.13040154518179947,0.13780924786706464
caudalmiddlefrontal,0.12927990803642211,131.01245929706263,1013.4015508438666,198,hc & pd,,0.1257581358312699,0.13290206099866328
cuneus,0.12010677008066255,70.77833655440007,589.2951455348106,198,hc & pd,,0.11683488745833337,0.12347191087972875
eTIV,0.0006775018545617861,114.82821427547876,169487.675203119,198,hc & pd,,0.0006590457213808856,0.0006964840412503277
entoinalvolume,0.3518809870027521,129.71114937709584,368.622216511179,198,hc & pd,,0.3422952385413695,0.361739957192221
frontalpole,0.3701281472549493,63.558503967395474,171.72026618017654,198,hc & pd,,0.36004531968224,0.38049836475704285
fusiform,0.15692684600850765,198.85022066946584,1267.1523434472476,198,hc & pd,,0.15265193111330785,0.16132360841929727
inferiorparietal,0.09250312970513604,171.33396957334273,1852.1964621033767,198,hc & pd,,0.08998321028352448,0.0950948741638623
inferiortemporal,0.12363718497903338,194.6496905416806,1574.3620382063023,198,hc & pd,,0.12026912873428613,0.12710124062864597
insula,0.2444348836246064,182.2905667832286,745.7633054665936,198,hc & pd,,0.23777612286128483,0.2512834384483498
isthmuscingulate,0.13269711271759888,57.67433997077462,434.6314609988164,198,hc & pd,,0.1290822509005474,0.13641500861659261
lateraloccipital,0.09186909523228906,162.94829774786766,1773.7009092759251,198,hc & pd,,0.0893664478293345,0.09444307536956068
lateralorbitofrontal,0.2133435874117637,180.6547635616443,846.7785029459153,198,hc & pd,,0.20753179865273605,0.21932102906418946
lingual,0.10100673559789357,97.31936655388333,963.4938301670336,198,hc & pd,,0.09825516561795825,0.10383673333001717
medialorbitofrontal,0.22087592070466874,150.049271123084,679.3373883598365,198,hc & pd,,0.21485894026169108,0.22706440260119642
middletemporal,0.11043401172642248,177.65909144733564,1608.7352860769874,198,hc & pd,,0.10742562907123065,0.1135281420424368
paracentral,0.14976072521495806,76.83961239758457,513.0825340708877,198,hc & pd,,0.14568102584406367,0.15395670789087335
parahippocampal,0.2274263021126989,67.66558340217112,297.5275189086973,198,hc & pd,,0.22123087977935846,0.23379831201277546
parsopercularis,0.14872292322234854,100.05361868656531,672.7518295009568,198,hc & pd,,0.14467149508298222,0.1528898288543608
parsorbitalis,0.19247098563217704,67.02155326011628,348.21639760393947,198,hc & pd,,0.18722779681967663,0.19786362058483076
parstriangularis,0.14889558421923546,100.50582573272062,675.0087738312961,198,hc & pd,,0.14483945254388286,0.15306732745169807
pericalcarine,0.1382401803474026,68.05761742115492,492.31429856445243,198,hc & pd,,0.13447431732833587,0.14211338142212046
postcentral,0.12085040537460472,148.93510044747393,1232.392228936378,198,hc & pd,,0.11755826504828462,0.1242363812811806
posteriorcingulate,0.13856894530788738,65.3599918555192,471.6784970131319,198,hc & pd,,0.1347941262544496,0.1424513576900202
precentral,0.13341208184879655,203.1934841398513,1523.0515956578954,198,hc & pd,,0.12977774323560531,0.1371500096893024
precuneus,0.11085079546973682,133.55269050899403,1204.7968617911724,198,hc & pd,,0.10783105902086539,0.11395660319559302
rostralanteriorcingulate,0.15679426523133322,76.18363674294834,485.8828008189426,198,hc & pd,,0.15252296202880153,0.16118731300570274
rostralmiddlefrontal,0.16746310675567747,356.3046802485973,2127.660755562315,198,hc & pd,,0.16290116883571526,0.17215507318274434
superiorfrontal,0.12371051649643461,316.17142742968014,2555.7360552996506,198,hc & pd,,0.12034046259479181,0.12717662674197797
superiorparietal,0.14775681730576515,244.25843525551622,1653.1111031584583,198,hc & pd,,0.14373170729282647,0.15189665466815425
superiortemporal,0.11417196247485371,158.1614697970417,1385.2916808001494,198,hc & pd,,0.11106175261967391,0.11737082236239842
supramarginal,0.11816748992677166,195.39217444340454,1653.5188702450139,198,hc & pd,,0.11494843610860633,0.12147829614701025
temporalpole,0.38792659148695424,157.5422645405039,406.11359983503985,198,hc & pd,,0.3773589084781352,0.39879548421613786
transversetemporal,0.16468613372882396,28.8136021254488,174.9607053918331,198,hc & pd,,0.1601998445818921,0.1693002951726722
