region,npv,num,anat,n,timepoint,hemisphere,npv_CI_low,npv_CI_high
BrainSegVolNotVent,0.026074479757217925,2865.9142126726388,109912.61338126211,192,hc & pd,,0.025353285256516835,0.026816552916513657
WhiteSurfArea,0.049504837524587626,418.60158733070443,8455.77136017863,192,hc & pd,,0.04813558234046644,0.050913732793998454
bankssts,0.17199307822496968,26.275715959773922,152.7719384462953,192,hc & pd,,0.16723591860646708,0.17688795812760974
caudalanteriorcingulate,0.15054981446228696,23.5203777408126,156.22986866386674,192,hc & pd,,0.1463857544586846,0.15483442445219442
caudalmiddlefrontal,0.12487021150276484,45.09694840683761,361.1505727756302,192,hc & pd,,0.12141642409547258,0.12842398642807787
cuneus,0.13075832614072794,31.535212753832617,241.1717378508885,192,hc & pd,,0.1271416792656367,0.13447967533300131
eTIV,0.0005930866312332113,98.74687557490188,166496.54599291246,192,hc & pd,,0.0005766824375209159,0.0006099657281230911
entoinalarea,0.3490354426488294,27.53899915318228,78.90029432022394,192,hc & pd,,0.3393814651147839,0.3589689038739149
frontalpole,0.39755002733856293,15.384763811383367,38.69893787802797,192,hc & pd,,0.38655418404121883,0.4088642014855492
fusiform,0.1404301211857815,52.38768962302557,373.05165858056534,192,hc & pd,,0.13654596195902116,0.14442672724116284
inferiorparietal,0.08310655555286438,58.040779865572496,698.3899101515831,192,hc & pd,,0.08080790985043788,0.08547174729634407
inferiortemporal,0.14162917192413738,64.48034571847734,455.2758788494207,192,hc & pd,,0.13771184813161713,0.14565990266303502
insula,0.325016731360925,87.86980651301455,270.3547172635761,192,hc & pd,,0.3160270877908187,0.33426662608214985
isthmuscingulate,0.15043533168518433,26.330742884190208,175.0303109597451,192,hc & pd,,0.1462744381627559,0.15471668352394627
lateraloccipital,0.08839426471817502,58.76651309119366,664.8226927228515,192,hc & pd,,0.08594936617362718,0.09090994333933261
lateralorbitofrontal,0.27693211574167587,91.63738405394383,330.9019750508959,192,hc & pd,,0.26927244541267814,0.2848135343529902
lingual,0.12487255809957301,51.28938246075038,410.7338172719452,192,hc & pd,,0.12141870578771778,0.12842639980844311
medialorbitofrontal,0.2638849239526388,66.29116705963325,251.2124075399282,192,hc & pd,,0.2565861261340596,0.2713950227554286
middletemporal,0.12294236110821899,55.166834378860415,448.72112330997345,192,hc & pd,,0.11954189614937698,0.12644126989444696
paracentral,0.13556703650750052,25.7733252583324,190.1149860785401,192,hc & pd,,0.13181738542660068,0.13942524039168855
parahippocampal,0.25643166298547204,20.820373597290928,81.19267860642658,192,hc & pd,,0.2493390150449292,0.2637296438490178
parsopercularis,0.14216251285458836,33.760519312694534,237.47835230815488,192,hc & pd,,0.13823043737575946,0.14620842234270467
parsorbitalis,0.1918565082644018,21.456272243559543,111.83499813303268,192,hc & pd,,0.1865499456801302,0.1973166964079371
parstriangularis,0.12923217650205526,30.712593531681883,237.6543857960439,192,hc & pd,,0.1256577414270423,0.13291009185808444
pericalcarine,0.15511951898714418,43.32672440973265,279.31187959217067,192,hc & pd,,0.15082906544457797,0.15953418162260327
postcentral,0.13019968924791467,63.65950231958246,488.93743669670124,192,hc & pd,,0.12659849372060625,0.13390513977422006
posteriorcingulate,0.14693031028059741,27.13484120778662,184.6783087571677,192,hc & pd,,0.14286636220771828,0.15111191008858754
precentral,0.1041317189605401,58.02277894588094,557.2056192394962,192,hc & pd,,0.10125153788839028,0.10709528158543016
precuneus,0.0987303671754517,48.43841674070442,490.61315303958617,192,hc & pd,,0.09599958218867072,0.10154020868218526
rostralanteriorcingulate,0.19494905462733678,31.37498850750632,160.93942372525234,192,hc & pd,,0.18955695524805033,0.20049725586532993
rostralmiddlefrontal,0.13463780274272696,113.9358515711239,846.2396834330292,192,hc & pd,,0.13091385335510194,0.1384695608668473
superiorfrontal,0.12255194518645394,114.10402201738933,931.0665925684679,192,hc & pd,,0.11916227874855596,0.12603974283339164
superiorparietal,0.1128275771482043,74.24472211557689,658.0370153482334,192,hc & pd,,0.10970687717933193,0.11603862171782313
superiortemporal,0.11122010259729127,47.81751871598782,429.93593423597866,192,hc & pd,,0.10814386379569549,0.1143853988440446
supramarginal,0.09923130423347247,61.99568604460334,624.7593591911201,192,hc & pd,,0.09648666381966838,0.10205540228333614
temporalpole,0.3474487738775285,24.647794506577288,70.93936246056617,192,hc & pd,,0.3378386820433301,0.35733707890702204
transversetemporal,0.19600027502371417,11.720340704004673,59.79757274619448,192,hc & pd,,0.1905790999207335,0.2015783937307391
