region,hemisphere,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
BrainSegVolNotVent,lh,0.026074479757217925,2865.9142126726388,109912.61338126211,192,hc & pd,0.025353285256516835,0.026816552916513657
BrainSegVolNotVent,rh,0.026074479757217925,2865.9142126726388,109912.61338126211,192,hc & pd,0.025353285256516835,0.026816552916513657
MeanThickness,lh,0.10595077256735787,0.009020151877603393,0.08513531009761029,192,hc & pd,0.1030202782590502,0.1089661050020201
MeanThickness,rh,0.09146934926271288,0.007740309854380963,0.08462189702639843,192,hc & pd,0.08893939689989672,0.0940725440193529
bankssts,lh,0.1595368797090317,0.0230598293394957,0.14454231135492265,192,hc & pd,0.15512424630746535,0.1640772593235892
bankssts,rh,0.14308560842971277,0.020510401324693773,0.14334356578403898,192,hc & pd,0.13912800103390605,0.14715778898655768
caudalanteriorcingulate,lh,0.211935131710683,0.04073921764303613,0.19222493842431973,192,hc & pd,0.20607321412236393,0.21796675244554228
caudalanteriorcingulate,rh,0.22240536502793795,0.036716210154930554,0.16508689055373446,192,hc & pd,0.21625385106953707,0.22873496597903328
caudalmiddlefrontal,lh,0.16803019901031824,0.018661329866110687,0.11105938084953854,192,hc & pd,0.16338264873870043,0.17281229636365703
caudalmiddlefrontal,rh,0.14095757145138216,0.01742986541351749,0.1236532754789213,192,hc & pd,0.13705882346831735,0.1449691886091368
cuneus,lh,0.1996369575620737,0.025322479909796573,0.1268426458659238,192,hc & pd,0.19411519539189623,0.20531857534274164
cuneus,rh,0.1976451785510564,0.025344762519690086,0.12823364933813924,192,hc & pd,0.19217850703207245,0.20327011080023583
eTIV,lh,0.0005930866312332113,98.74687557490188,166496.54599291246,192,hc & pd,0.0005766824375209159,0.0006099657281230911
eTIV,rh,0.0005930866312332113,98.74687557490188,166496.54599291246,192,hc & pd,0.0005766824375209159,0.0006099657281230911
entorhinal,lh,0.3235115756687838,0.08833372608161358,0.2730465699689554,192,hc & pd,0.31456356322681417,0.3327186340362214
entorhinal,rh,0.2976902282246359,0.08709620261306106,0.2925732669576866,192,hc & pd,0.289456408892205,0.3061624175149696
frontalpole,lh,0.3314748381394099,0.07598774076648727,0.22924135416435065,192,hc & pd,0.3223065696787228,0.3409085289610671
frontalpole,rh,0.3120325100016117,0.0731636648273003,0.23447449378567123,192,hc & pd,0.303401997241685,0.3209128770369607
