region,npv,num,anat,n,timepoint,hemisphere,npv_CI_low,npv_CI_high
BrainSegVolNotVent,0.026074479757217925,2865.9142126726388,109912.61338126211,192,hc & pd,,0.025353285256516835,0.026816552916513657
MeanThickness,0.09901893996738144,0.008404627788809538,0.08487899175226647,192,hc & pd,,0.09628017334060114,0.10183699418345334
bankssts,0.15160304642929476,0.02182237718108028,0.14394418644652954,192,hc & pd,,0.1474098550639302,0.15591763113703
caudalanteriorcingulate,0.21644146493729188,0.038779917111229696,0.17917046127212796,192,hc & pd,,0.21045490659787758,0.2226013347864363
caudalmiddlefrontal,0.15363605395912375,0.018056099256278026,0.1175251432914439,192,hc & pd,,0.14938663160222845,0.1580084975516605
cuneus,0.1986327029191853,0.025333623664623446,0.12754004397216784,192,hc & pd,,0.1931387174460886,0.20428573986439558
eTIV,0.0005930866312332113,98.74687557490188,166496.54599291246,192,hc & pd,,0.0005766824375209159,0.0006099657281230911
entoinalthickness,0.3099782450237784,0.0877171467646917,0.2829783966225208,192,hc & pd,,0.30140455121551596,0.3188001481926831
frontalpole,0.32168113577654367,0.07458906956704987,0.23187268779995632,192,hc & pd,,0.31278375150420346,0.3308361002833795
fusiform,0.20295293178419366,0.022496724387632016,0.11084700373559275,192,hc & pd,,0.1973394530238588,0.20872892136019802
inferiorparietal,0.13814130453314066,0.01512850550073924,0.10951471431276262,192,hc & pd,,0.13432045172700185,0.14207277144019428
inferiortemporal,0.17978502454669115,0.02337514405892809,0.1300171920206704,192,hc & pd,,0.1748123473458894,0.18490166128888702
insula,0.295660035951456,0.041119650692545084,0.13907747308566404,192,hc & pd,,0.287482369743322,0.30407444647848686
isthmuscingulate,0.22457571592123346,0.03213319086440381,0.14308399611502984,192,hc & pd,,0.2183641721887619,0.23096708451483458
lateraloccipital,0.14459891820814733,0.016986821461514947,0.11747543945704177,192,hc & pd,,0.14059945415018565,0.1487141671820319
lateralorbitofrontal,0.25078315532702533,0.02845768767803824,0.11347527564572249,192,hc & pd,,0.24384673956056113,0.2579203810781992
lingual,0.24246752367212696,0.02785258081422295,0.11487138727859564,192,hc & pd,,0.23576111010993334,0.249368088630405
medialorbitofrontal,0.25386844445571,0.030502392849599224,0.12015039094360815,192,hc & pd,,0.24684669262220255,0.26109347676227374
middletemporal,0.15096615274662,0.019028324135115675,0.1260436448099238,192,hc & pd,,0.14679057723498495,0.15526261161975993
paracentral,0.1910208464435551,0.02709088928129311,0.1418216377200392,192,hc & pd,,0.1857373974444922,0.19645725186109653
parahippocampal,0.14062265138812738,0.029679556629619137,0.2110581498545472,192,hc & pd,,0.13673316696506616,0.14462473680481697
parsopercularis,0.16566985465170272,0.019970801302086907,0.12054577668383105,192,hc & pd,,0.16108758918680183,0.1703847771961275
parsorbitalis,0.23729742247889277,0.037916531135288915,0.15978484190514766,192,hc & pd,,0.23073400883782302,0.24405084765290416
parstriangularis,0.20549541440766755,0.024003172783736263,0.11680636695920668,192,hc & pd,,0.1998116130750992,0.21134376240195768
pericalcarine,0.2645259550418559,0.039471951762758556,0.14921768926800744,192,hc & pd,,0.25720942693294585,0.2720542974287943
postcentral,0.1800918880410917,0.020142368182356065,0.11184494982783548,192,hc & pd,,0.17511072329742472,0.18521725804143432
posteriorcingulate,0.2106427897025883,0.02575483104420187,0.12226780266519327,192,hc & pd,,0.20481661702492288,0.21663763070777445
precentral,0.16938401306593492,0.023083734144442102,0.13628047728126774,192,hc & pd,,0.16469901762720454,0.1742046396280136
precuneus,0.13093615008615328,0.014082681814318371,0.10755381004445494,192,hc & pd,,0.12731458477538363,0.13466256010334854
rostralanteriorcingulate,0.27492390911645154,0.047664387903325875,0.17337301821623785,192,hc & pd,,0.2673197838103217,0.282748174670494
rostralmiddlefrontal,0.16925222128213485,0.017649266459842255,0.10427790150193553,192,hc & pd,,0.1645708710747034,0.17406909708307527
superiorfrontal,0.1314025090154273,0.01526210217566744,0.11614772267305486,192,hc & pd,,0.1277680446747143,0.13514219149087425
superiorparietal,0.11155429679136884,0.012396861032597668,0.11112849427738794,192,hc & pd,,0.10846881450659798,0.11472910412113232
superiortemporal,0.10810217199407314,0.015370429016166913,0.1421842756037281,192,hc & pd,,0.10511217209064698,0.11117873271725175
supramarginal,0.13818122936297927,0.015411986729033258,0.11153458975638807,192,hc & pd,,0.13435927227525982,0.14211383252068444
temporalpole,0.33700114711729867,0.09391248048254618,0.2786711003385945,192,hc & pd,,0.32768002637801813,0.3465921153075036
transversetemporal,0.19295340279109977,0.03506418450864657,0.181723587153364,192,hc & pd,,0.18761650118154868,0.19844480827796923
