region,npv,num,anat,n,timepoint,hemisphere,npv_CI_low,npv_CI_high
BrainSegVolNotVent,0.026074479757217925,2865.9142126726388,109912.61338126211,192,hc & pd,,0.025353285256516835,0.026816552916513657
bankssts,0.1827513561462355,74.28174206038548,406.46342455016367,192,hc & pd,,0.17769663312681086,0.18795241394235415
caudalanteriorcingulate,0.1374697894634817,61.93255727516042,450.51758293128506,192,hc & pd,,0.13366751010463257,0.141382145219943
caudalmiddlefrontal,0.11896211937536962,121.57026580230706,1021.9241758690241,192,hc & pd,,0.11567174399361292,0.12234775147937964
cuneus,0.12799740462973175,74.6820016482707,583.4649684054864,192,hc & pd,,0.1244571221319603,0.13164017868772407
eTIV,0.0005930866312332113,98.74687557490188,166496.54599291246,192,hc & pd,,0.0005766824375209159,0.0006099657281230911
entoinalvolume,0.379657491615265,133.3330033249121,351.19286796539313,192,hc & pd,,0.36915653828264466,0.3904624486796622
frontalpole,0.36308672002626347,67.62077668218966,186.23863929063114,192,hc & pd,,0.35304409796059977,0.37342007708408276
fusiform,0.15229885763293693,192.61115752938014,1264.6920700718706,192,hc & pd,,0.1480864208130795,0.15663324495314873
inferiorparietal,0.08332529343356129,156.77909666866813,1881.5306878417969,192,hc & pd,,0.08102059765619093,0.08569671040230714
inferiortemporal,0.125699209180149,196.70076147107633,1564.8528161316403,192,hc & pd,,0.12222249251131098,0.12927657717160307
insula,0.2333294634053911,175.81421977701714,753.502010466437,192,hc & pd,,0.2268757996151127,0.2399699614585914
isthmuscingulate,0.1458060903289028,62.4595889868822,428.37434873940236,192,hc & pd,,0.14177323707572054,0.14995569511881146
lateraloccipital,0.09607893300529123,170.3307832693981,1772.8213453413111,192,hc & pd,,0.09342148408351693,0.098813315360025
lateralorbitofrontal,0.20827917737825846,175.2366794770279,841.354770471262,192,hc & pd,,0.20251837989603197,0.21420675056904534
lingual,0.10842881849653532,104.57098801510449,964.4206168164222,192,hc & pd,,0.1054297838716711,0.11151467549731225
medialorbitofrontal,0.22140585022488096,149.63314388329024,675.8319336698128,192,hc & pd,,0.2152819818642464,0.22770700523517234
middletemporal,0.11254766504299188,179.46592611919542,1594.5770714180658,192,hc & pd,,0.10943470716803044,0.11575074338424589
paracentral,0.13715312050116865,71.18125991312961,518.9911804633208,192,hc & pd,,0.13335959989479662,0.14105646393832377
parahippocampal,0.22058940017038137,66.65172441721566,302.1528884240786,192,hc & pd,,0.21448811401636741,0.22686731921673442
parsopercularis,0.15004901668249337,103.74453177202236,691.4042761876127,192,hc & pd,,0.14589880825361515,0.15431937409309415
parsorbitalis,0.2046619534498538,74.03558547527444,361.745718866182,192,hc & pd,,0.19900120482878425,0.2104865813541604
parstriangularis,0.1269041729576986,84.27324096430732,664.0698962074194,192,hc & pd,,0.12339412817424411,0.13051583391628255
pericalcarine,0.14678723048167167,71.04770207087124,484.01827487127696,192,hc & pd,,0.14272723985550317,0.15096475827444197
postcentral,0.09764873076002412,120.63467179240608,1235.3941608198768,192,hc & pd,,0.09494786277415083,0.1004277891654464
posteriorcingulate,0.14106690662889557,67.94591793789438,481.65738911848103,192,hc & pd,,0.13716513454220566,0.14508163543840144
precentral,0.10410874786199256,159.0720670010923,1527.9414099952444,192,hc & pd,,0.1012292021478672,0.1070716567351748
precuneus,0.10553462313745084,129.18287592669668,1224.0805158175037,192,hc & pd,,0.10261563911364792,0.10853811206363022
rostralanteriorcingulate,0.16346800504553047,79.84245602719851,488.4286439108382,192,hc & pd,,0.15894664057816157,0.16812026350197495
rostralmiddlefrontal,0.12865088032765465,278.4759993815814,2164.586815670009,192,hc & pd,,0.12509252333389814,0.13231225214024056
superiorfrontal,0.1138166818669141,292.5467315288365,2570.3326325301905,192,hc & pd,,0.11066862423298407,0.11705587610894526
superiorparietal,0.11757703245659884,198.98488692450735,1692.3788835881578,192,hc & pd,,0.11432496721863453,0.12092324533402096
superiortemporal,0.1124578335394182,157.47917970088244,1400.339796210671,192,hc & pd,,0.10934736031561645,0.11565835529859342
supramarginal,0.10541561551199913,176.07657542291153,1670.308279923379,192,hc & pd,,0.10249992312223136,0.10841571751098297
temporalpole,0.3686959165216596,157.7596855899374,427.8856329038555,192,hc & pd,,0.3584981495900773,0.37918890990600224
transversetemporal,0.15970647307217603,28.678917282114384,179.5726668458425,192,hc & pd,,0.15528914888475343,0.16425167927134637
