region,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
3rd-Ventricle,0.40026210204105916,0.025280264539851882,0.06315927591180895,390,hc & pd,0.39246687105686084,0.40821509727408717
4th-Ventricle,0.4418529063488977,0.030345234340494565,0.06867723150503222,390,hc & pd,0.4332476813014469,0.4506322887585065
5th-Ventricle,,1.71280579859589,,390,hc & pd,,
Accumbens-area,0.4951221874454985,0.05252901428052989,0.10609303241194805,390,hc & pd,0.48547952630706454,0.50496000215851
Amygdala,0.5238447731322471,0.02897874004714443,0.05531932651321617,390,hc & pd,0.5136427305566251,0.534253290357143
Brain-Stem,0.42764684469794384,0.01328770857307005,0.03107168622384071,390,hc & pd,0.4193182871925368,0.4361439602129004
BrainSegVol,0.23089371980793758,0.00340635468023566,0.014752911785860351,390,hc & pd,0.22639699161527194,0.23548145530326622
BrainSegVol-to-eTIV,0.1639922843869211,0.0034070737656566293,0.020775817462351017,390,hc & pd,0.16079848280065137,0.16725072391774823
BrainSegVolNotVent,0.2259511761218401,0.003516392266622408,0.015562619885307686,390,hc & pd,0.22155070553009681,0.23044070590102894
CC_Anterior,0.8272891248246738,0.055007764146289356,0.06649158377120826,390,hc & pd,0.811177407562813,0.8437269200406485
CC_Central,0.6789315102001462,0.08434300055652033,0.12422902647670067,390,hc & pd,0.6657091043878721,0.6924215184638323
CC_Mid_Anterior,0.664023666368263,0.07789519244173956,0.1173078557090756,390,hc & pd,0.6510915955278819,0.6772174636983506
CC_Mid_Posterior,0.7465825219814721,0.08386383683471535,0.11233029754317848,390,hc & pd,0.7320425913261989,0.7614167198935482
CC_Posterior,0.9292757386289316,0.11351491534270085,0.12215417945827638,390,hc & pd,0.9111777998191241,0.9477399536565295
CSF,0.5974901055104201,0.04999787621757009,0.08367983964329956,390,hc & pd,0.5858537968030098,0.6093619163480555
Caudate,0.455654565616698,0.01569902794579852,0.03445379269831508,390,hc & pd,0.44678054889147134,0.46470817966054095
Cerebellum-Cortex,0.3021843211243789,0.0073332184958629105,0.02426736922874487,390,hc & pd,0.2962991859318243,0.30818856297776187
Cerebellum-White-Matter,0.5074114458997115,0.03295895374324446,0.06495508528547995,390,hc & pd,0.4975294475675073,0.5174934416466141
CerebralWhiteMatterVol,0.23270526358043517,0.005833874326661431,0.025069799612181688,390,hc & pd,0.22817325500006208,0.23732899348770947
CortexVol,0.14197852702119432,0.003833254359307492,0.026998831722879264,390,hc & pd,0.13921345031949617,0.14479956489321366
EstimatedTotalIntraCranialVol,0.00437936508195586,9.560383873559793e-05,0.021830524961143564,390,hc & pd,0.004294075562403803,0.0044663807385540745
Hippocampus,0.550778607533596,0.01571746049091677,0.028536802765997134,390,hc & pd,0.5400520200176011,0.5617222857330353
Inf-Lat-Vent,0.4907399523779571,0.0700861995154224,0.14281739070929272,390,hc & pd,0.48118263665295186,0.5004906944092822
Lateral-Ventricle,0.12804352060606983,0.0069850327468757405,0.05455202038973473,390,hc & pd,0.12554983256000074,0.13058767730691015
MaskVol,0.1433701320509625,0.0022903774639850233,0.015975276239341703,390,hc & pd,0.1405779534013395,0.14621882037530187
MaskVol-to-eTIV,0.09879049787864627,0.0022918380920442243,0.02319897299089945,390,hc & pd,0.09686652169883546,0.10075341256552497
Optic-Chiasm,0.7423883909393134,0.19373406109400243,0.26096052074424103,390,hc & pd,0.7279301423121035,0.7571392536967124
Pallidum,0.5225383839535602,0.02767925457170039,0.052970758554189465,390,hc & pd,0.5123617837202215,0.5329209439198058
Putamen,0.5960269696557461,0.022055044451697186,0.037003433694344,390,hc & pd,0.5844191559816908,0.6078697087615883
SubCortGrayVol,0.429201747094905,0.008375658174537805,0.01951450158632691,390,hc & pd,0.4208429073737189,0.4377297576940771
SupraTentorialVol,0.24456000326011165,0.0037973925536291062,0.015527447264507256,390,hc & pd,0.23979711987647992,0.24941928054416854
SupraTentorialVolNotVent,0.23926319907143895,0.00393475028116085,0.016445279911124218,390,hc & pd,0.23460347262402031,0.2440172316714551
SurfaceHoles,0.5590604234270993,0.4137834792872959,0.7401408898715449,390,hc & pd,0.5481725449281978,0.5701686569066562
Thalamus,0.44760265025741675,0.019727755096513724,0.04407425891059463,390,hc & pd,0.43888544712950733,0.4564962770225677
TotalGrayVol,0.13655519646699274,0.0031609476369908987,0.023147765290315724,390,hc & pd,0.133895740842479,0.13926847564333553
TotalVentricle,0.40026210204105916,0.025280264539851882,0.06315927591180895,390,hc & pd,0.39246687105686084,0.40821509727408717
VentralDC,0.506536723463753,0.019445722498574066,0.03838956110743977,390,hc & pd,0.4966717606275415,0.5166013389407577
WM-hypointensities,0.7021222019024588,0.6615241233620535,0.9421780447471945,390,hc & pd,0.6884481500373083,0.7160729968846941
choroid-plexus,0.5761713938764431,0.06818945947177978,0.11834926238355152,390,hc & pd,0.5649502738182327,0.587619613244552
non-WM-hypointensities,,0.017712421013848654,,390,hc & pd,,
vessel,0.7520751527271966,0.25390043532149165,0.3375998188489416,390,hc & pd,0.7374282513515991,0.7670184862929226
