region,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
3rd-Ventricle,0.40026210204105916,0.025280264539851882,0.06315927591180895,390,hc & pd,0.39246687105686084,0.40821509727408717
4th-Ventricle,0.4418529063488977,0.030345234340494565,0.06867723150503222,390,hc & pd,0.4332476813014469,0.4506322887585065
5th-Ventricle,,1.71280579859589,,390,hc & pd,,
Brain-Stem,0.42764684469794384,0.01328770857307005,0.03107168622384071,390,hc & pd,0.4193182871925368,0.4361439602129004
BrainSegVol,0.23089371980793758,0.00340635468023566,0.014752911785860351,390,hc & pd,0.22639699161527194,0.23548145530326622
BrainSegVol-to-eTIV,0.1639922843869211,0.0034070737656566293,0.020775817462351017,390,hc & pd,0.16079848280065137,0.16725072391774823
BrainSegVolNotVent,0.2259511761218401,0.003516392266622408,0.015562619885307686,390,hc & pd,0.22155070553009681,0.23044070590102894
CC_Anterior,0.8272891248246738,0.055007764146289356,0.06649158377120826,390,hc & pd,0.811177407562813,0.8437269200406485
CC_Central,0.6789315102001462,0.08434300055652033,0.12422902647670067,390,hc & pd,0.6657091043878721,0.6924215184638323
CC_Mid_Anterior,0.664023666368263,0.07789519244173956,0.1173078557090756,390,hc & pd,0.6510915955278819,0.6772174636983506
CC_Mid_Posterior,0.7465825219814721,0.08386383683471535,0.11233029754317848,390,hc & pd,0.7320425913261989,0.7614167198935482
CC_Posterior,0.9292757386289316,0.11351491534270085,0.12215417945827638,390,hc & pd,0.9111777998191241,0.9477399536565295
CSF,0.5974901055104201,0.04999787621757009,0.08367983964329956,390,hc & pd,0.5858537968030098,0.6093619163480555
CerebralWhiteMatterVol,0.23270526358043517,0.005833874326661431,0.025069799612181688,390,hc & pd,0.22817325500006208,0.23732899348770947
CortexVol,0.14197852702119432,0.003833254359307492,0.026998831722879264,390,hc & pd,0.13921345031949617,0.14479956489321366
EstimatedTotalIntraCranialVol,0.00437936508195586,9.560383873559793e-05,0.021830524961143564,390,hc & pd,0.004294075562403803,0.0044663807385540745
Left-Accumbens-area,0.5442618871361837,0.08100568406467101,0.14883585637588836,390,hc & pd,0.5336622148102561,0.5550760815648855
Left-Amygdala,0.5926464814872665,0.04695477754802592,0.07922898222594911,390,hc & pd,0.5811045038890682,0.6044220520898902
Left-Caudate,0.45255873499598903,0.016842918721633317,0.03721708900786678,390,hc & pd,0.44374501055087917,0.46155083653079554
Left-Cerebellum-Cortex,0.3673318499335827,0.009460967941340841,0.02575591510251964,390,hc & pd,0.36017794602041275,0.3746305385592709
Left-Cerebellum-White-Matter,0.5406572131370063,0.039384013577613765,0.0728447020046204,390,hc & pd,0.5301277429768672,0.5513997846091856
Left-Hippocampus,0.610305954456862,0.023272314436835265,0.03813220937283222,390,hc & pd,0.5984200530393582,0.6224324094015925
Left-Inf-Lat-Vent,0.5533218865008883,0.1140936661769373,0.20619763822907108,390,hc & pd,0.5425457678229217,0.5643160983016853
Left-Lateral-Ventricle,0.1750509806410287,0.009818034059658434,0.056086712703380705,390,hc & pd,0.17164180744889052,0.17852915058885996
Left-Pallidum,0.5578097255531542,0.03804475318498732,0.06820381833117034,390,hc & pd,0.5469462047907687,0.5688931083306868
Left-Putamen,0.5934137200498346,0.0254773642865596,0.042933561233501685,390,hc & pd,0.58185680023806,0.6052045352749184
Left-Thalamus,0.5204235988066399,0.02639127037456962,0.0507111330752223,390,hc & pd,0.5102881846826482,0.5307641391159993
Left-VentralDC,0.518629501010731,0.022952982895885536,0.044256994349827036,390,hc & pd,0.508529027508537,0.5289343935504273
Left-WM-hypointensities,,,,390,hc & pd,,
Left-choroid-plexus,0.6322591741813464,0.09626449650458098,0.15225480378236492,390,hc & pd,0.6199457268689738,0.6448218279341282
Left-non-WM-hypointensities,,,,390,hc & pd,,
Left-vessel,0.9169776480491043,0.8206685305389285,0.8949711394655299,390,hc & pd,0.8991192184415057,0.9351975065531694
MaskVol,0.1433701320509625,0.0022903774639850233,0.015975276239341703,390,hc & pd,0.1405779534013395,0.14621882037530187
MaskVol-to-eTIV,0.09879049787864627,0.0022918380920442243,0.02319897299089945,390,hc & pd,0.09686652169883546,0.10075341256552497
Optic-Chiasm,0.7423883909393134,0.19373406109400243,0.26096052074424103,390,hc & pd,0.7279301423121035,0.7571392536967124
Right-Accumbens-area,0.5362698339922046,0.06119086970667844,0.1141046276109723,390,hc & pd,0.5258258094280251,0.5469252305726163
Right-Amygdala,0.580230428886389,0.036341752823361335,0.06263331086084278,390,hc & pd,0.5689302578380545,0.5917592991228169
Right-Caudate,0.5109226384487832,0.02312095604526891,0.04525334034026493,390,hc & pd,0.5009722585315863,0.5210743997254789
Right-Cerebellum-Cortex,0.36963425719460546,0.009911106887731155,0.026813280140625992,390,hc & pd,0.36243551317209755,0.37697869342886825
Right-Cerebellum-White-Matter,0.5828623229957879,0.04368569084685385,0.07495027405840667,390,hc & pd,0.5715108949775727,0.5944434875693493
Right-Hippocampus,0.6302122361696282,0.021249196866477322,0.0337175250604907,390,hc & pd,0.6179386536221941,0.6427342183520403
Right-Inf-Lat-Vent,0.6076548439411439,0.10081704197098496,0.16591168979597548,390,hc & pd,0.5958205737391093,0.6197286227289607
Right-Lateral-Ventricle,0.18848974025280285,0.01065411055298631,0.056523556872098146,390,hc & pd,0.18481884296842438,0.19223493121157978
Right-Pallidum,0.572812572781918,0.038904754295849796,0.06791882047369388,390,hc & pd,0.561656866826449,0.584194054160052
Right-Putamen,0.6574161173265474,0.03170939101381042,0.04823336419368609,390,hc & pd,0.6446127305927977,0.6704786261690094
Right-Thalamus,0.49155001272652854,0.02453220386891913,0.04990784911761868,390,hc & pd,0.481976920820126,0.5013168502264423
