region,hemisphere,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
BrainSegVolNotVent,lh,0.025576938644919084,2750.9786296022235,107556.9937353981,201,hc & pd,0.024885346713185923,0.026288093575658263
BrainSegVolNotVent,rh,0.025576938644919084,2750.9786296022235,107556.9937353981,201,hc & pd,0.024885346713185923,0.026288093575658263
MeanThickness,lh,0.10413402147251957,0.008591602541324307,0.08250524103298543,201,hc & pd,0.10131827209495954,0.10702941970043037
MeanThickness,rh,0.09436520425657535,0.007793369990586862,0.08258732709778267,201,hc & pd,0.09181360045417253,0.09698898504711201
bankssts,lh,0.17161610913040573,0.022865044087037774,0.13323367021252847,201,hc & pd,0.1669756665005133,0.1763878155451844
bankssts,rh,0.1521108142150919,0.021572285057152956,0.14181953576718564,201,hc & pd,0.1479977882857195,0.15634018494039967
caudalanteriorcingulate,lh,0.21845520771294516,0.04028444529493996,0.18440597373112108,201,hc & pd,0.2125482514037163,0.22452925356602751
caudalanteriorcingulate,rh,0.22312267174464123,0.03579241475079704,0.1604158576577132,201,hc & pd,0.2170895087571703,0.2293264942729649
caudalmiddlefrontal,lh,0.17345990332818034,0.019381187788862587,0.11173295624519072,201,hc & pd,0.16876960511515263,0.17828287558650735
caudalmiddlefrontal,rh,0.16422517506187498,0.020174736677339798,0.12284801443955581,201,hc & pd,0.15978458083607538,0.16879137997866073
cuneus,lh,0.19733437916934352,0.025261881783807973,0.1280156143604828,201,hc & pd,0.19199852305373286,0.20282117016880158
cuneus,rh,0.20421456929046453,0.025065221314723433,0.1227396331310325,201,hc & pd,0.1986926751175783,0.20989266078905525
eTIV,lh,0.0006781935804894369,114.21809485437522,168415.1813586124,201,hc & pd,0.0006598554511718028,0.000697050438827975
eTIV,rh,0.0006781935804894369,114.21809485437522,168415.1813586124,201,hc & pd,0.0006598554511718028,0.000697050438827975
entorhinal,lh,0.325901811675732,0.09073831485866782,0.2784222474619173,201,hc & pd,0.31708953485788344,0.3349633605783435
entorhinal,rh,0.3013603310387615,0.08943083771285046,0.29675716576428807,201,hc & pd,0.2932116477117893,0.30973951544087835
frontalpole,lh,0.31281338489695343,0.06962378893900226,0.2225729214302567,201,hc & pd,0.30435501479503163,0.3215110161560749
frontalpole,rh,0.30434004872228343,0.06837219933976417,0.22465725305234216,201,hc & pd,0.29611079481814506,0.3128020827942637
fusiform,lh,0.20857577984360592,0.02344337209893891,0.11239738437759741,201,hc & pd,0.20293595998488936,0.21437513278133585
fusiform,rh,0.21697339549797068,0.02397992878032008,0.11052013416338116,201,hc & pd,0.21110650689920737,0.2230062402488516
inferiorparietal,lh,0.1439363006943861,0.015341957507460861,0.10658852168248922,201,hc & pd,0.14004431089741598,0.14793838285801922
inferiorparietal,rh,0.1490403522261982,0.014660849662298324,0.09836832403648367,201,hc & pd,0.1450103505698904,0.15318435017826817
inferiortemporal,lh,0.17225526620372247,0.02312573032328006,0.13425267530532142,201,hc & pd,0.16759754097870977,0.17704474408484105
inferiortemporal,rh,0.16511270644473908,0.021932734379272078,0.13283492743553724,201,hc & pd,0.16064811366492682,0.16970358876048458
insula,lh,0.28870153150309885,0.04047549536719784,0.14019840891201987,201,hc & pd,0.2808951379139969,0.2967287438481997
insula,rh,0.31464988131937704,0.04416525285666146,0.14036316388065848,201,hc & pd,0.30614185296374324,0.3233985755107839
