region,npv,num,anat,n,timepoint,hemisphere,npv_CI_low,npv_CI_high
BrainSegVolNotVent,0.2259511761218401,0.003516392266622408,0.015562619885307686,390,hc & pd,,0.22155070553009681,0.23044070590102894
MeanThickness,0.3158812078626679,0.004844317041296234,0.015335882352970941,390,hc & pd,,0.3097293214704746,0.3221575995758089
bankssts,0.43588882421801817,0.012925774967575843,0.029653834302277887,390,hc & pd,,0.4273997515556717,0.4445497034855249
caudalanteriorcingulate,0.6043764421279086,0.02342039466702773,0.03875133614501655,390,hc & pd,,0.592606019837687,0.6163850808141278
caudalmiddlefrontal,0.35880719615191947,0.01085719160921612,0.03025912447034415,390,hc & pd,,0.3518193125663037,0.36593650443771775
cuneus,0.44304368665074473,0.01859944194611275,0.041981056285257154,390,hc & pd,,0.4344152707804381,0.4518467292320658
eTIV,0.00437936508195586,9.560383873559793e-05,0.021830524961143564,390,hc & pd,,0.004294075562403803,0.0044663807385540745
entoinalthickness,0.5311840642050488,0.04279003276812847,0.08055594218958076,390,hc & pd,,0.5208390866153922,0.5417384092428157
frontalpole,0.5487205114086782,0.03814413633003077,0.0695146901509239,390,hc & pd,,0.5380340059654042,0.5596232963319688
fusiform,0.48064918019175956,0.012603349899880508,0.026221515440538735,390,hc & pd,,0.4712883854453811,0.4901994239428698
inferiorparietal,0.3652546361549556,0.008957501941774318,0.024523992456523366,390,hc & pd,,0.3581411866368568,0.37251205164687684
inferiortemporal,0.42242168508777367,0.012197998524068884,0.02887635496632778,390,hc & pd,,0.4141948892177622,0.4308149794583861
insula,0.6753056015131227,0.02083707637680026,0.030855773045731727,390,hc & pd,,0.6621538114188964,0.6887235648983248
isthmuscingulate,0.5879001507771815,0.020411840772633496,0.034719910763162457,390,hc & pd,,0.576450609470163,0.5995814143112138
lateraloccipital,0.36841698765818415,0.010646660854804972,0.028898398313497158,390,hc & pd,,0.3612419503447502,0.37573723739372245
lateralorbitofrontal,0.46961502892271084,0.01595513037497099,0.03397491432838467,390,hc & pd,,0.4604691277608567,0.47894602995262475
lingual,0.5015066957310691,0.019185125712356824,0.03825497421203877,390,hc & pd,,0.4917396942752462,0.511471367230425
medialorbitofrontal,0.47920336915237555,0.017948271464007143,0.03745439331061967,390,hc & pd,,0.46987073203309704,0.48872488540656456
middletemporal,0.37224553084751777,0.009768936696486052,0.02624326119979042,390,hc & pd,,0.36499593144503856,0.37964185170140313
paracentral,0.4575113193366298,0.016750151059316282,0.03661144621209203,390,hc & pd,,0.4486011417456759,0.4666018260900454
parahippocampal,0.47099896428035387,0.016369207608852687,0.03475423270593267,390,hc & pd,,0.46182611053986433,0.480357463370279
parsopercularis,0.42711765553082764,0.011012856704219105,0.025784128943422337,390,hc & pd,,0.41879940415175876,0.4356042563382913
parsorbitalis,0.4782404834472213,0.02052104586526401,0.04290947039310761,390,hc & pd,,0.4689265988314768,0.48774286767421116
parstriangularis,0.4563323225339046,0.013977380419253805,0.03062982771336631,390,hc & pd,,0.44744510627843564,0.46539940324747275
pericalcarine,0.4844448105597418,0.032989578887389154,0.0680977031197259,390,hc & pd,,0.47501009471191963,0.4940704714689316
postcentral,0.41505462619128725,0.012736387644584126,0.030686051524008977,390,hc & pd,,0.40697130612245574,0.4233015410171303
posteriorcingulate,0.5411562483229869,0.01573832694382962,0.02908277783468604,390,hc & pd,,0.5306170592948257,0.5519087353590805
precentral,0.39679110091910136,0.014356887389348396,0.03618248331702255,390,hc & pd,,0.38906346877914555,0.4046751292046317
precuneus,0.39501667133725393,0.008393160127988603,0.021247609878274638,390,hc & pd,,0.38732359677440864,0.4028654426500811
rostralanteriorcingulate,0.6440847883759766,0.024967328207422642,0.03876403954575041,390,hc & pd,,0.631541033488375,0.656882410797633
rostralmiddlefrontal,0.31160383543319253,0.010542290580637763,0.033832351793686495,390,hc & pd,,0.30553525222139827,0.3177952380295323
superiorfrontal,0.35600914467323197,0.0082140380429285,0.023072547898925096,390,hc & pd,,0.3490757540247962,0.36308285716327965
superiorparietal,0.2718083102567119,0.00759208344397584,0.0279317561586157,390,hc & pd,,0.26651475747949105,0.2772089969186415
superiortemporal,0.3305293887932699,0.008486396590183276,0.025675164986587944,390,hc & pd,,0.3240922244462812,0.33709683207616875
supramarginal,0.3844646137179323,0.008746165991550233,0.022748949264722127,390,hc & pd,,0.376977043813364,0.39210372125415616
temporalpole,0.49760307097560635,0.04382432559213905,0.08807085033903944,390,hc & pd,,0.4879120938460669,0.5074901795258011
transversetemporal,0.44846968410698296,0.02211687842877223,0.04931632886805393,390,hc & pd,,0.4397355952207317,0.45738053837390663
