region,hemisphere,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
BrainSegVolNotVent,lh,0.2259511761218401,0.003516392266622408,0.015562619885307686,390,hc & pd,0.22155070553009681,0.23044070590102894
BrainSegVolNotVent,rh,0.2259511761218401,0.003516392266622408,0.015562619885307686,390,hc & pd,0.22155070553009681,0.23044070590102894
bankssts,lh,0.704604047181132,0.0521627769166061,0.07403133309450982,390,hc & pd,0.6908816605945186,0.7186041551099834
bankssts,rh,0.716933308342256,0.04131445488440359,0.05762663612314763,390,hc & pd,0.7029708054965079,0.7311783921375239
caudalanteriorcingulate,lh,0.7589856495523642,0.059958754403415866,0.07899853500363074,390,hc & pd,0.7442041640662725,0.7740662910171597
caudalanteriorcingulate,rh,0.6238420720617497,0.04182043077804071,0.06703688746067964,390,hc & pd,0.6116925504743089,0.6362374824690045
caudalmiddlefrontal,lh,0.5381833491290867,0.025782588518853636,0.047906700496357264,390,hc & pd,0.5277020582526392,0.5488767662382579
caudalmiddlefrontal,rh,0.5299354871834707,0.03207060377570159,0.06051793954421158,390,hc & pd,0.5196148260260597,0.5404650236594226
cuneus,lh,0.5610910225367195,0.028071853466681056,0.0500308369571961,390,hc & pd,0.5501635974781635,0.5722396029413455
cuneus,rh,0.526945520121806,0.03129717652141204,0.059393571681143724,390,hc & pd,0.5166830895182295,0.5374156475413744
eTIV,lh,0.00437936508195586,9.560383873559793e-05,0.021830524961143564,390,hc & pd,0.004294075562403803,0.0044663807385540745
eTIV,rh,0.00437936508195586,9.560383873559793e-05,0.021830524961143564,390,hc & pd,0.004294075562403803,0.0044663807385540745
entorhinal,lh,0.7276003276434501,0.11052454215342368,0.15190282075791564,390,hc & pd,0.7134300812243243,0.7420573594428392
entorhinal,rh,0.649890169777679,0.10235072726935894,0.15748926823184925,390,hc & pd,0.6372333532518486,0.6628031420422963
frontalpole,lh,0.673240280937402,0.08525331363293912,0.12663133215118183,390,hc & pd,0.66012871361436,0.6866172075004577
frontalpole,rh,0.6446879400242528,0.08055169220815431,0.12494679550717826,390,hc & pd,0.6321324385676084,0.6574975467485925
fusiform,lh,0.5664301528534227,0.0291691753489214,0.05149650879632748,390,hc & pd,0.5553987465439284,0.5776848189397575
fusiform,rh,0.5400686355951936,0.028161403086075728,0.05214411878416136,390,hc & pd,0.529550628168766,0.550799512344439
inferiorparietal,lh,0.5049306301461978,0.01998362837195672,0.039576977863613964,390,hc & pd,0.4950969464851284,0.514963333402602
inferiorparietal,rh,0.39665212078888823,0.01695833683107863,0.04275367744750931,390,hc & pd,0.38892719533090836,0.40453338761309754
inferiortemporal,lh,0.4665191103941796,0.029297850390969812,0.06280096514420375,390,hc & pd,0.4574335032244748,0.4757885971683753
inferiortemporal,rh,0.4083539596885558,0.02412277345808553,0.0590731959021128,390,hc & pd,0.4004011372183491,0.41646773583231383
insula,lh,0.7323226681475002,0.03038975849757845,0.041497771159334805,390,hc & pd,0.718060452654042,0.7468735303428373
insula,rh,0.8182146076371616,0.03988548015691453,0.04874696660830309,390,hc & pd,0.8022796194665288,0.834472097019618
isthmuscingulate,lh,0.7492508593951743,0.03371965758155734,0.04500449636958336,390,hc & pd,0.7346589620251471,0.7641380757534711
isthmuscingulate,rh,0.7256416021693636,0.03185611271277309,0.04390061514876861,390,hc & pd,0.7115095025481166,0.7400597151346219
lateraloccipital,lh,0.4486978512949317,0.019246248080775918,0.04289355972004699,390,hc & pd,0.4399593187805577,0.4576132391226118
lateraloccipital,rh,0.4233717277901346,0.01790952213409028,0.042302121182187284,390,hc & pd,0.41512642953812895,0.4317838990043066
lateralorbitofrontal,lh,0.44371966848180927,0.019954129699552587,0.044970126674406426,390,hc & pd,0.43507808765162415,0.4525361424628373
