region,hemisphere,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
BrainSegVolNotVent,lh,0.02425986833153962,2723.382317886326,112258.74273792854,212,hc_baseline & hc_followup,0.023620946382623107,0.024916382867382406
BrainSegVolNotVent,rh,0.02425986833153962,2723.382317886326,112258.74273792854,212,hc_baseline & hc_followup,0.023620946382623107,0.024916382867382406
WhiteSurfArea,lh,0.04745122915231648,408.599301456305,8610.931871642737,212,hc_baseline & hc_followup,0.04620152608739643,0.048735342538933774
WhiteSurfArea,rh,0.041223438213730736,354.3460878035125,8595.743178100234,212,hc_baseline & hc_followup,0.040137753859446165,0.04233901666761485
bankssts,lh,0.15312045307382555,28.937776070211324,188.98700656442844,212,hc_baseline & hc_followup,0.1490877841013514,0.15726416077264718
bankssts,rh,0.1857904366073471,22.071874116070113,118.79983985783518,212,hc_baseline & hc_followup,0.18089735201904825,0.19081825129233967
caudalanteriorcingulate,lh,0.1639282166607333,23.78998398846167,145.12439940524425,212,hc_baseline & hc_followup,0.15961090816425158,0.1683644013754146
caudalanteriorcingulate,rh,0.13230589938831094,22.747684454481046,171.93250308300898,212,hc_baseline & hc_followup,0.12882141456196783,0.1358863288011637
caudalmiddlefrontal,lh,0.12193833896451033,41.65883300332403,341.6385146549246,212,hc_baseline & hc_followup,0.1187269002166108,0.1252382040302514
caudalmiddlefrontal,rh,0.13908653450354166,53.302031891604145,383.2292758020143,212,hc_baseline & hc_followup,0.1354234709420006,0.1428504597810281
cuneus,lh,0.11979014174956407,30.071561118417076,251.03535799536286,212,hc_baseline & hc_followup,0.11663527916821553,0.12303187283542548
cuneus,rh,0.11904032654135822,32.11653196632954,269.7953953878922,212,hc_baseline & hc_followup,0.11590521152778735,0.12226176631414837
eTIV,lh,0.0006702201819290964,111.88563399386638,166938.62257598047,212,hc_baseline & hc_followup,0.0006525688748820338,0.0006883575141535918
eTIV,rh,0.0006702201819290964,111.88563399386638,166938.62257598047,212,hc_baseline & hc_followup,0.0006525688748820338,0.0006883575141535918
entorhinal,lh,0.3246270265405898,28.26080871354687,87.05624117224656,212,hc_baseline & hc_followup,0.31607746107577495,0.33341200256514
