region,npv,num,anat,n,timepoint,hemisphere,npv_CI_low,npv_CI_high
BrainSegVolNotVent,0.02425986833153962,2723.382317886326,112258.74273792854,212,hc_baseline & hc_followup,,0.023620946382623107,0.024916382867382406
WhiteSurfArea,0.04445203013381925,382.4359679032786,8603.34087671555,212,hc_baseline & hc_followup,,0.04328131571203191,0.0456549799409554
bankssts,0.16303956419269283,25.734825731733068,157.84405373727355,212,hc_baseline & hc_followup,,0.1587456597625082,0.16745170041483462
caudalanteriorcingulate,0.1462949719107413,23.27466955954371,159.0941182431358,212,hc_baseline & hc_followup,,0.14244206276496588,0.1502539701323124
caudalmiddlefrontal,0.1317687148460868,47.83599570915412,363.02999361441164,212,hc_baseline & hc_followup,,0.1282983776231006,0.13533460710417924
cuneus,0.11938884680985487,31.110853521262968,260.5842534923869,212,hc_baseline & hc_followup,,0.11624455296455492,0.12261971815165341
eTIV,0.0006702201819290965,111.8856339938664,166938.62257598047,212,hc_baseline & hc_followup,,0.0006525688748820339,0.0006883575141535919
entorhinal,0.3163846486569551,25.40263741549842,80.2903602413454,212,hc_baseline & hc_followup,,0.3080521592318429,0.3249465714968563
frontalpole,0.38845961142930785,14.97091992484852,38.53919296722805,212,hc_baseline & hc_followup,,0.3782289140232922,0.39897200902380037
fusiform,0.13724010711488546,50.47884563893262,367.8140938543288,212,hc_baseline & hc_followup,,0.1336256721349002,0.14095406483263642
inferiorparietal,0.08352651394142217,61.51641641374251,736.4896906494204,212,hc_baseline & hc_followup,,0.08132671127372695,0.08578688773164293
inferiortemporal,0.1313903050336559,61.46287636075138,467.7885202032794,212,hc_baseline & hc_followup,,0.1279299338307463,0.13494595685932015
insula,0.36062703750770225,91.15295979341617,252.76241189062074,212,hc_baseline & hc_followup,,0.3511293548951031,0.370386236894367
isthmuscingulate,0.1454483572193784,25.287366910257607,173.85804414495314,212,hc_baseline & hc_followup,,0.14161774500865615,0.14938444456428923
lateraloccipital,0.08573761360333197,58.755167854727084,685.2904505432108,212,hc_baseline & hc_followup,,0.08347957813379589,0.08805782362384067
lateralorbitofrontal,0.27054084481862356,90.94253195445667,336.15083894421383,212,hc_baseline & hc_followup,,0.26341572437399563,0.277862154016815
lingual,0.11851345781353664,49.220180277902884,415.31300483480567,212,hc_baseline & hc_followup,,0.11539221872005744,0.12172063959557561
medialorbitofrontal,0.25648461252577237,66.54012498445053,259.43125526785497,212,hc_baseline & hc_followup,,0.249729685159204,0.26342553545420644
middletemporal,0.10931837028321056,49.4809133277121,452.63127505031537,212,hc_baseline & hc_followup,,0.10643929834270374,0.1122767168885904
paracentral,0.1349458420051279,24.515859695976424,181.6718420642025,212,hc_baseline & hc_followup,,0.13139183012040537,0.13859771288988174
parahippocampal,0.25429750328987377,20.817252390679283,81.86180407343478,212,hc_baseline & hc_followup,,0.2476001768993864,0.2611792392109745
parsopercularis,0.12876979325491636,32.38171732376148,251.46982460131554,212,hc_baseline & hc_followup,,0.12537843736857607,0.13225452944119714
parsorbitalis,0.1847094824669585,20.753818873232266,112.35924975830508,212,hc_baseline & hc_followup,,0.17984486651322223,0.18970804463928093
parstriangularis,0.14040503307678753,34.86635853059974,248.3269849132212,212,hc_baseline & hc_followup,,0.13670724477286333,0.14420463923543103
pericalcarine,0.13272444700563263,40.048282090540205,301.74005613932314,212,hc_baseline & hc_followup,,0.1292289390667269,0.13631620305022793
postcentral,0.1435270730388306,71.83388442862115,500.49013686210134,212,hc_baseline & hc_followup,,0.13974706088150857,0.14741116706808216
posteriorcingulate,0.14659296267105165,26.63694794164421,181.70686679834955,212,hc_baseline & hc_followup,,0.1427322054679523,0.1505600250446213
precentral,0.12669234729499732,71.2494120873053,562.3813403772867,212,hc_baseline & hc_followup,,0.12335570422916127,0.13012086415430255
precuneus,0.08467163829954148,45.349109401534406,535.5879526164782,212,hc_baseline & hc_followup,,0.08244167697324835,0.08696300116093851
rostralanteriorcingulate,0.19975395340650096,31.003012459557684,155.20600183800266,212,hc_baseline & hc_followup,,0.19449311754910537,0.2051596453175711
rostralmiddlefrontal,0.1383904905602067,120.22109820173075,868.7092423408142,212,hc_baseline & hc_followup,,0.13474575841525577,0.14213557966924653
superiorfrontal,0.11855209532298883,110.30452240629174,930.4308127644052,212,hc_baseline & hc_followup,,0.11542983864967353,0.12176032270371932
superiorparietal,0.12312501426882043,86.06309877204477,698.989553691682,212,hc_baseline & hc_followup,,0.11988232255252884,0.12645699284713124
superiortemporal,0.10171084071062006,44.78751251424165,440.3415820902284,212,hc_baseline & hc_followup,,0.09903212507685545,0.10446331423878429
supramarginal,0.09552375732771463,60.939774154654685,637.9541159126288,212,hc_baseline & hc_followup,,0.09300798830681253,0.09810879754091449
temporalpole,0.3510719571456172,23.582069813543853,67.1716134927932,212,hc_baseline & hc_followup,,0.3418259226657929,0.3605725793189547
transversetemporal,0.19185445591447092,11.809510846945438,61.554529920379544,212,hc_baseline & hc_followup,,0.18680166580011454,0.19704637358495178
