region,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
3rd-Ventricle,0.0378532430304194,22.69487581947825,599.5490479175147,212,hc_baseline & hc_followup,0.03685631808922492,0.03887761809868601
4th-Ventricle,0.06919945032681904,41.394831985337724,598.1959652834797,212,hc_baseline & hc_followup,0.06737697350779681,0.07107210867726955
5th-Ventricle,0.7873384201053698,0.4039381607818814,0.5130426135280204,212,hc_baseline & hc_followup,0.7666026192776064,0.8086451770243537
Accumbens-area,0.2044022683618769,36.278587413472714,177.48622705715061,212,hc_baseline & hc_followup,0.19901901178851206,0.20993375181862547
Amygdala,0.15590655532370148,71.9031291550874,461.193751640515,212,hc_baseline & hc_followup,0.15180050994806454,0.16012565983013935
Brain-Stem,0.0816999819635322,219.63373600350266,2688.296015800088,212,hc_baseline & hc_followup,0.07954828390032713,0.08391092659868589
BrainSegVol,0.02351328732565518,2717.8824878278892,115589.21771276221,212,hc_baseline & hc_followup,0.022894027766690046,0.024149598071607235
BrainSegVol-to-eTIV,0.046275179532566095,0.0016914725522777045,0.03655247952279327,212,hc_baseline & hc_followup,0.04505644959185284,0.047527466956252054
BrainSegVolNotVent,0.02425986833153962,2723.382317886326,112258.74273792854,212,hc_baseline & hc_followup,0.023620946382623107,0.024916382867382406
CC_Anterior,0.20833504555336252,34.53481417121494,165.7657456501684,212,hc_baseline & hc_followup,0.20284821308117174,0.21397295685040918
CC_Central,0.25590410216733883,32.61905722195764,127.46594113066479,212,hc_baseline & hc_followup,0.2491644634579267,0.26282931546852717
CC_Mid_Anterior,0.25298790853364606,30.4367848354185,120.30924723570561,212,hc_baseline & hc_followup,0.24632507238945783,0.2598342045264761
CC_Mid_Posterior,0.2800943773700897,31.861373810211326,113.75227917593213,212,hc_baseline & hc_followup,0.2727176495567241,0.2876742218951415
CC_Posterior,0.29905837560103865,52.597770102341336,175.87793686310206,212,hc_baseline & hc_followup,0.2911822009422335,0.3071514191396288
CSF,0.13786673742023436,38.38559523510057,278.4253544645556,212,hc_baseline & hc_followup,0.1342357991414483,0.14159765285178816
Caudate,0.09919838045093356,82.42384944542465,830.8991444290153,212,hc_baseline & hc_followup,0.09658583442632578,0.10188286240310612
Cerebellum-Cortex,0.05165913150465937,614.3894646372581,11893.143510975278,212,hc_baseline & hc_followup,0.05029860668526532,0.05305711810039579
Cerebellum-White-Matter,0.1956107980324643,758.6326186592768,3878.2757715316475,212,hc_baseline & hc_followup,0.19045907871560666,0.200904368901073
CerebralWhiteMatterVol,0.032599628001054835,1851.7232304195654,56801.97425441937,212,hc_baseline & hc_followup,0.03174106530929824,0.03348183104326738
CortexVol,0.025894024012380917,1215.987309026136,46960.15221290929,212,hc_baseline & hc_followup,0.025212063992599086,0.026594761663685035
EstimatedTotalIntraCranialVol,0.0006702201819290964,111.88563399386638,166938.62257598047,212,hc_baseline & hc_followup,0.0006525688748820338,0.0006883575141535918
Hippocampus,0.10724114702323101,96.953127813099,904.0664941050717,212,hc_baseline & hc_followup,0.1044167820380738,0.11014328032828578
Inf-Lat-Vent,0.0855765284102666,44.64289072282378,521.6721401550566,212,hc_baseline & hc_followup,0.0833227353737103,0.08789237918325955
Lateral-Ventricle,0.008943554100073265,122.33468187923438,13678.53098559914,212,hc_baseline & hc_followup,0.008708011477262318,0.009185582341469817
MaskVol,0.015403926741553064,2390.284882399498,155173.73735305778,212,hc_baseline & hc_followup,0.014998240001617834,0.01582078398400312
MaskVol-to-eTIV,0.03485688106836281,0.0015194806164878967,0.043591984420746833,212,hc_baseline & hc_followup,0.033938870051938796,0.03580016933286557
Optic-Chiasm,0.3782077648660742,14.5460845583848,38.46056561936443,212,hc_baseline & hc_followup,0.36824706603122387,0.3884427295332312
Pallidum,0.17273539624003661,78.84960329170843,456.47623479635536,212,hc_baseline & hc_followup,0.16818613675914043,0.17740991866267958
Putamen,0.11945237999551736,136.34140892050956,1141.387127871592,212,hc_baseline & hc_followup,0.1163064129034277,0.1226849706566183
SubCortGrayVol,0.06474195104411531,351.2919797907605,5426.033261669691,212,hc_baseline & hc_followup,0.06303686950894533,0.06649398165526359
SupraTentorialVol,0.025037984466063135,2634.6527482774304,105226.23144241018,212,hc_baseline & hc_followup,0.02437856959977548,0.02571555618762133
SupraTentorialVolNotVent,0.02588514992188008,2638.24562894691,101921.20335053057,212,hc_baseline & hc_followup,0.025203423615287462,0.026585647424749486
SurfaceHoles,0.30837243176252394,7.821988563007864,25.365395078609158,212,hc_baseline & hc_followup,0.300250956723944,0.3167175299773433
Thalamus,0.13300161648402287,228.31838034542,1716.6586871735296,212,hc_baseline & hc_followup,0.129498808849138,0.13660087322025294
TotalGrayVol,0.023449123848557036,1395.713609286212,59520.92787347782,212,hc_baseline & hc_followup,0.02283155413610205,0.0240836982184163
TotalVentricle,0.0378532430304194,22.69487581947825,599.5490479175147,212,hc_baseline & hc_followup,0.03685631808922492,0.03887761809868601
VentralDC,0.12670334213582446,115.94023207015698,915.0526743475357,212,hc_baseline & hc_followup,0.12336640950348982,0.13013215653478338
WM-hypointensities,0.3608896299698215,684.7455501870337,1897.3821726168576,212,hc_baseline & hc_followup,0.3513850315699899,0.3706559355685245
choroid-plexus,0.15291882551398817,65.74338321239561,429.9234119240719,212,hc_baseline & hc_followup,0.148891466721756,0.1570570768178265
non-WM-hypointensities,0.8530035722127194,0.6020415798436746,0.7057902211147357,212,hc_baseline & hc_followup,0.8305383758916679,0.8760873431808998
vessel,0.21247828672802438,12.143332363888213,57.150933165382085,212,hc_baseline & hc_followup,0.20688233545560067,0.21822832138944773
