region,hemisphere,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
BrainSegVolNotVent,lh,0.02425986833153962,2723.382317886326,112258.74273792854,212,hc_baseline & hc_followup,0.023620946382623107,0.024916382867382406
BrainSegVolNotVent,rh,0.02425986833153962,2723.382317886326,112258.74273792854,212,hc_baseline & hc_followup,0.023620946382623107,0.024916382867382406
MeanThickness,lh,0.09660845286855099,0.00856150857211969,0.08862069847830804,212,hc_baseline & hc_followup,0.09406411667739631,0.09922284684327136
MeanThickness,rh,0.08567837050543221,0.007441603314161611,0.08685509855360515,212,hc_baseline & hc_followup,0.08342189529644876,0.08799697730392882
bankssts,lh,0.15559522539292128,0.021896182176448224,0.1407252833186511,212,hc_baseline & hc_followup,0.15149737938273067,0.1598059047660399
bankssts,rh,0.1370998231161428,0.02086319127944823,0.15217518743094352,212,hc_baseline & hc_followup,0.1334890827368311,0.14080998450313623
caudalanteriorcingulate,lh,0.21833938155628888,0.03975485246645872,0.18207824984706086,212,hc_baseline & hc_followup,0.2125890690944604,0.22424802771131652
caudalanteriorcingulate,rh,0.22801780739339533,0.03440149754562601,0.15087197767090918,212,hc_baseline & hc_followup,0.22201259830089354,0.23418836870638268
caudalmiddlefrontal,lh,0.14559647487180372,0.01693876575184673,0.11634049359204025,212,hc_baseline & hc_followup,0.14176196174876554,0.14953657053986386
caudalmiddlefrontal,rh,0.15442142168350775,0.018734089330626546,0.1213179436271655,212,hc_baseline & hc_followup,0.150354489647928,0.15860033587196318
cuneus,lh,0.18504615231238652,0.02331282310950925,0.12598383061839405,212,hc_baseline & hc_followup,0.18017266962652942,0.19005382536050938
cuneus,rh,0.1746890592452333,0.021833215930136343,0.12498330476144057,212,hc_baseline & hc_followup,0.17008834696345015,0.17941645121125224
eTIV,lh,0.0006702201819290964,111.88563399386638,166938.62257598047,212,hc_baseline & hc_followup,0.0006525688748820338,0.0006883575141535918
eTIV,rh,0.0006702201819290964,111.88563399386638,166938.62257598047,212,hc_baseline & hc_followup,0.0006525688748820338,0.0006883575141535918
entorhinal,lh,0.3039052540073965,0.08435788131990836,0.2775795423328063,212,hc_baseline & hc_followup,0.29590142915052636,0.312129462566495
