region,npv,num,anat,n,timepoint,hemisphere,npv_CI_low,npv_CI_high
BrainSegVolNotVent,0.02425986833153962,2723.382317886326,112258.74273792854,212,hc_baseline & hc_followup,,0.023620946382623107,0.024916382867382406
bankssts,0.1710005371152368,71.0674704204347,415.5979368213477,212,hc_baseline & hc_followup,,0.16649696788945512,0.17562811121081115
caudalanteriorcingulate,0.1353252325917496,61.55708437828498,454.8825315083031,212,hc_baseline & hc_followup,,0.13176122885671313,0.13898737045039938
caudalmiddlefrontal,0.1282086694406088,130.92793150225847,1021.2096582353922,212,hc_baseline & hc_followup,,0.12483209163616579,0.13167822063348952
cuneus,0.11460978338458377,69.74148162891872,608.5124635031784,212,hc_baseline & hc_followup,,0.11159135372271388,0.11771132489806145
eTIV,0.0006702201819290965,111.8856339938664,166938.62257598047,212,hc_baseline & hc_followup,,0.0006525688748820339,0.0006883575141535919
entoinalvolume,0.3294977914114368,126.0040048203597,382.4122895653076,212,hc_baseline & hc_followup,,0.32081994666078806,0.33841457886606907
frontalpole,0.3423793187386385,61.96532777997334,180.98443564950165,212,hc_baseline & hc_followup,,0.3333622186205475,0.3516447028887924
fusiform,0.1422103004223276,184.55457592517226,1297.758146752332,212,hc_baseline & hc_followup,,0.13846496755159188,0.1460587602778351
inferiorparietal,0.08164925222569201,164.15153657325718,2010.447519096871,212,hc_baseline & hc_followup,,0.07949889021025629,0.08385882402527066
inferiortemporal,0.11422995852152536,185.33900841603366,1622.5078851018632,212,hc_baseline & hc_followup,,0.11122153214732527,0.11732122130882593
insula,0.24880888557642708,183.56052651387046,737.757118635885,212,hc_baseline & hc_followup,,0.2422561106022297,0.25554208988716137
isthmuscingulate,0.13674684176605825,59.67078254514576,436.35949302016394,212,hc_baseline & hc_followup,,0.13314539770810516,0.1404474508593605
lateraloccipital,0.0895169731159865,164.99255550123252,1843.142699736427,212,hc_baseline & hc_followup,,0.0871594022445067,0.09193945922564477
lateralorbitofrontal,0.21202472772213393,178.97574059648687,844.1267323830315,212,hc_baseline & hc_followup,,0.20644072164248836,0.2177624882823066
lingual,0.10532969220001114,101.7750091936697,966.2518428365723,212,hc_baseline & hc_followup,,0.10255566839660427,0.10818009818903512
medialorbitofrontal,0.21725257340556875,151.31852546934795,696.5097034172543,212,hc_baseline & hc_followup,,0.21153088375291085,0.22313180862815152
middletemporal,0.09723197745301342,155.64548630031123,1600.7643820216008,212,hc_baseline & hc_followup,,0.0946712197571227,0.0998632450952888
paracentral,0.1369194914087998,70.519035865846,515.0401534526425,212,hc_baseline & hc_followup,,0.13331350034981965,0.1406247727038848
parahippocampal,0.2123065958601964,65.53203442809074,308.66697364053397,212,hc_baseline & hc_followup,,0.20671516633794812,0.21805198426596575
parsopercularis,0.13032321798628335,93.19263943180843,715.0885381115824,212,hc_baseline & hc_followup,,0.12689095020613983,0.13384999256710703
parsorbitalis,0.1895419195687085,69.21116839726352,365.1496648063366,212,hc_baseline & hc_followup,,0.1845500337514729,0.1946712559545381
parstriangularis,0.13624498728642184,96.88969494333183,711.143190462082,212,hc_baseline & hc_followup,,0.1326567603588266,0.13993201531834915
pericalcarine,0.13371401912331193,67.16321062451767,502.2899697793044,212,hc_baseline & hc_followup,,0.13019244923974183,0.13733255472295852
postcentral,0.11148921486206216,141.34951175676264,1267.8312600159984,212,hc_baseline & hc_followup,,0.1085529703009063,0.11450630832466292
posteriorcingulate,0.13149197358230705,64.37151568768856,489.54711024544304,212,hc_baseline & hc_followup,,0.12802892477759187,0.13505037673700224
precentral,0.11692738927151024,189.9237243102559,1624.2877352648757,212,hc_baseline & hc_followup,,0.11384792179814611,0.12009164926030395
precuneus,0.091497936926085,121.42927356976446,1327.125809053585,212,hc_baseline & hc_followup,,0.08908819424390185,0.09397403138672585
rostralanteriorcingulate,0.16042817793163924,76.35748792055996,475.96057566082305,212,hc_baseline & hc_followup,,0.15620304848310268,0.16476964546689235
rostralmiddlefrontal,0.13854183361551328,314.3731599449277,2269.156916295683,212,hc_baseline & hc_followup,,0.13489311561216732,0.1422910183327547
superiorfrontal,0.11361340978799205,294.6191995432027,2593.172760970522,212,hc_baseline & hc_followup,,0.11062122119847602,0.11668798768648414
superiorparietal,0.1271371339968885,222.21003134366657,1747.798022166402,212,hc_baseline & hc_followup,,0.12378877677075527,0.13057768756353072
superiortemporal,0.10476869875028852,150.48081229637188,1436.3146062836586,212,hc_baseline & hc_followup,,0.10200944959542169,0.10760392327380651
supramarginal,0.0970686457090399,167.75173511331215,1728.1763219005084,212,hc_baseline & hc_followup,,0.09451218961259537,0.09969549330819644
temporalpole,0.346070112438148,147.69750905134106,426.7849309805352,212,hc_baseline & hc_followup,,0.33695580943868464,0.35543537593139685
transversetemporal,0.15508701445627665,28.269500507189363,182.28154437236475,212,hc_baseline & hc_followup,,0.15100255298377868,0.15928394075115834
