region,hemisphere,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
BrainSegVolNotVent,lh,0.024757255942150405,2720.2866665586675,109878.35941572387,109,hc,0.023851661477097136,0.025697776761841207
BrainSegVolNotVent,rh,0.024757255942150405,2720.2866665586675,109878.35941572387,109,hc,0.023851661477097136,0.025697776761841207
WhiteSurfArea,lh,0.042476450013085365,355.9626134153286,8380.234537153414,109,hc,0.04092270600701113,0.044090117766782
WhiteSurfArea,rh,0.04339316575931379,366.6736460622501,8450.032157046488,109,hc,0.041805889252394084,0.04504165927266168
bankssts,lh,0.15151633895410094,28.492278789171266,188.0475662615005,109,hc,0.14597403013592702,0.15727239978905963
bankssts,rh,0.18954733244926902,22.784746782798475,120.20610624471145,109,hc,0.18261388976350584,0.1967481794616341
caudalanteriorcingulate,lh,0.16237143380169225,23.085776048285403,142.17880268570246,109,hc,0.15643205699526563,0.16853987647443353
caudalanteriorcingulate,rh,0.13276550871947546,22.612805747375205,170.32138817887207,109,hc,0.1279090856115478,0.1378092310681592
caudalmiddlefrontal,lh,0.1365902052556636,46.688305330376274,341.81298170675666,109,hc,0.13159387875853265,0.14177922669281212
caudalmiddlefrontal,rh,0.1458959374018058,56.31409332097216,385.9880838619921,109,hc,0.1405592169795764,0.1514384808466584
cuneus,lh,0.11625843169767508,29.179476260933562,250.98804305922087,109,hc,0.11200582015998287,0.1206750550799984
cuneus,rh,0.12034582645056509,32.20023078155374,267.56416679543725,109,hc,0.11594370229833456,0.1249177287487897
eTIV,lh,0.0008089278669474552,137.4863824601061,169961.23891604872,109,hc,0.0007793381337134201,0.0008396587969935768
eTIV,rh,0.0008089278669474552,137.4863824601061,169961.23891604872,109,hc,0.0007793381337134201,0.0008396587969935768
entorhinal,lh,0.30612059404033004,27.28532167871212,89.1325909132314,109,hc,0.29492302366946516,0.3177500247294098
entorhinal,rh,0.2933242021737566,21.664052029054314,73.85702191809311,109,hc,0.2825947104007016,0.3044675017263503
frontalpole,lh,0.3714511391504008,12.942783266100587,34.84383786170069,109,hc,0.3578638459367121,0.38556245789611115
frontalpole,rh,0.3953311427907476,16.587002929890293,41.957238209968054,109,hc,0.3808703440814304,0.4103496558010614
fusiform,lh,0.1355311143321588,49.38754696623707,364.4000656941282,109,hc,0.13057352827058158,0.14067990121884547
fusiform,rh,0.13925002377819418,50.31869232660385,361.35499988678276,109,hc,0.13415640390825656,0.1445400909331268
inferiorparietal,lh,0.0835684622859336,55.27191027028015,661.3967609116055,109,hc,0.08051161555477764,0.086743203413671
inferiorparietal,rh,0.0942533510375832,75.73240096619442,803.4982325031222,109,hc,0.0908056622787076,0.09783400792393653
inferiortemporal,lh,0.1373845215296909,63.77574739856516,464.21348408439326,109,hc,0.13235913977607508,0.14260371880679876
inferiortemporal,rh,0.12981022159813493,58.37702115085544,449.71051148482275,109,hc,0.1250618997945676,0.13474167346448898
insula,lh,0.32331256541191,78.87562599080321,243.9609047990859,109,hc,0.3114861307535879,0.3355951140008201
insula,rh,0.4238130478138132,105.35667732326436,248.59234010546317,109,hc,0.40831041088125625,0.4399135799590927
isthmuscingulate,lh,0.12033042675686315,23.587798419899478,196.0252203506303,109,hc,0.11592886590928207,0.12490174402528569
isthmuscingulate,rh,0.1658352396606634,25.06336669394768,151.13414220785054,109,hc,0.15976916046762202,0.17213527129194442
lateraloccipital,lh,0.08321901526048359,55.61599334360873,668.3087172988683,109,hc,0.08017495093513285,0.08638048099923673
lateraloccipital,rh,0.08345663334375747,57.351653195056805,687.203052618066,109,hc,0.0804038771980567,0.08662712612310737
lateralorbitofrontal,lh,0.1676515836366735,49.2705667806059,293.8866768320108,109,hc,0.161519064485377,0.17402061763756888
lateralorbitofrontal,rh,0.3440756962337717,124.5770551976645,362.0629313877038,109,hc,0.33148976801956476,0.3571470300121857
lingual,lh,0.10182030593676589,40.937602311227714,402.0573493135196,109,hc,0.09809582590142492,0.10568842919826887
lingual,rh,0.11587331317320096,47.76198915059691,412.19145153125083,109,hc,0.11163478886734769,0.12027530601685865
medialorbitofrontal,lh,0.2895144629176771,73.34599129438186,253.34137215534432,109,hc,0.2789243274122013,0.30051303160444665
medialorbitofrontal,rh,0.23332501536611625,62.109931225289266,266.19490896778035,109,hc,0.22479023093896658,0.2421889635847429
middletemporal,lh,0.11787493830649391,53.700463313238345,455.57150726652725,109,hc,0.11356319665191439,0.12235297229604747
middletemporal,rh,0.1033173995732233,44.856406514158536,434.1612032382582,109,hc,0.09953815742232275,0.10724239697850883
paracentral,lh,0.14576073243824986,23.282852507568794,159.73336658027807,109,hc,0.14042895767182864,0.15129813948658716
paracentral,rh,0.13693222439788333,27.432864609653905,200.33899785299886,109,hc,0.13192338719912777,0.14213423904093248
parahippocampal,lh,0.23096485113366713,19.79659694314372,85.71259586025391,109,hc,0.22251639903957235,0.2397391374122268
parahippocampal,rh,0.2865559146112044,21.943601926084806,76.57703368593045,109,hc,0.2760739997008218,0.2974420889241871
parsopercularis,lh,0.09690836458510349,27.09659424911551,279.6104790863505,109,hc,0.0933635582143692,0.10058988464966359
parsopercularis,rh,0.20313534745617431,44.97521469082202,221.40516288296527,109,hc,0.1957048694281233,0.21085239913363343
parsorbitalis,lh,0.1842925010206536,18.422960575284957,99.9658720417512,109,hc,0.1775512745590011,0.19129371854362262
parsorbitalis,rh,0.19632197460290815,23.649712601630743,120.46390960291623,109,hc,0.18914072261019318,0.2037801882639172
parstriangularis,lh,0.11598194003749802,25.56298377990778,220.40486451289772,109,hc,0.11173944227484109,0.1203880595835531
parstriangularis,rh,0.18537847546518874,49.816189448030734,268.7269345754516,109,hc,0.17859752519696986,0.1924209488356202
pericalcarine,lh,0.12225083169653306,35.44831955410014,289.9638314289311,109,hc,0.1177790244497513,0.12689510457975464
pericalcarine,rh,0.13821096102400102,41.78567420548985,302.3325639001494,109,hc,0.1331553489801827,0.1434615544926912
postcentral,lh,0.10511210562140737,53.32923783087225,507.35581325859295,109,hc,0.1012672150049648,0.10910528337783869
postcentral,rh,0.20481087567977008,105.38827421286815,514.5638573297587,109,hc,0.19731910858604576,0.21259158017812155
posteriorcingulate,lh,0.1634435828749632,27.5057994782921,168.28925917106488,109,hc,0.15746498797955552,0.1696527561734079
posteriorcingulate,rh,0.13378988190097865,25.298761897845264,189.09323738374724,109,hc,0.12889598829609908,0.13887251988338964
precentral,lh,0.11184636780380179,58.75030797679004,525.2768519032144,109,hc,0.10775514493741827,0.11609537818573079
precentral,rh,0.17521165107713485,104.90254777982591,598.7190185979345,109,hc,0.16880259258539168,0.18186788980066326
precuneus,lh,0.09747775864022049,52.01149891860506,533.5729877681501,109,hc,0.09391212443194423,0.10118090981626957
precuneus,rh,0.0948051256888923,51.777373308546004,546.145294701217,109,hc,0.09133725359179255,0.09840674433080311
rostralanteriorcingulate,lh,0.21652616561950683,38.86117793270776,179.4756667007027,109,hc,0.20860586550295035,0.22475193051238598
rostralanteriorcingulate,rh,0.18416791775793756,22.408815308458,121.67599862811713,109,hc,0.17743124842141306,0.19116440239965987
rostralmiddlefrontal,lh,0.13123274328503043,100.99606503091594,769.595014954141,109,hc,0.12643238712963184,0.1362182363288927
rostralmiddlefrontal,rh,0.20354538448143714,180.07557411369888,884.6949518038389,109,hc,0.1960999077289147,0.21127801334402554
superiorfrontal,lh,0.10677409200878255,93.24438057881649,873.2865700337383,109,hc,0.10286840767283739,0.11083040813575952
superiorfrontal,rh,0.1650830951288855,158.5106460518834,960.1870253773061,109,hc,0.15904452859421342,0.17135455301220323
superiorparietal,lh,0.11860625701045356,89.2895492947941,752.8232619879777,109,hc,0.11426776448445099,0.12311207358094059
superiorparietal,rh,0.19083361661612866,123.83070169276256,648.8935434360823,109,hc,0.18385312300417578,0.19808332918297186
superiortemporal,lh,0.09702891790279428,45.14268385280183,465.24979179945893,109,hc,0.09347970181809574,0.10071501775218336
superiortemporal,rh,0.10058690620071455,40.70011938205439,404.6264162935878,109,hc,0.0969075426345322,0.10440817297160049
