region,npv,num,anat,n,timepoint,hemisphere,npv_CI_low,npv_CI_high
BrainSegVolNotVent,0.024757255942150405,2720.2866665586675,109878.35941572387,109,hc,,0.023851661477097136,0.025697776761841207
WhiteSurfArea,0.04294105576167441,361.3578177278409,8415.205712067253,109,hc,,0.0413703169644433,0.04457237375013522
bankssts,0.16346217518949857,25.796847060795088,157.81539081374206,109,hc,,0.15748290020671873,0.1696720548044651
caudalanteriorcingulate,0.1456537622096327,22.850514649785385,156.88241967205556,109,hc,,0.1403259003020189,0.15118710549067135
caudalmiddlefrontal,0.1418810223127825,51.72559792397573,364.5702369549082,109,hc,,0.13669116327498015,0.1472710403226943
cuneus,0.11845021401623264,30.726997064858995,259.4085398667841,109,hc,,0.11411742937935183,0.12295010255959199
eTIV,0.0008089278669474552,137.4863824601061,169961.23891604872,109,hc,,0.0007793381337134201,0.0008396587969935768
entoinalarea,0.3009769137742123,24.635542711987995,81.85193476490079,109,hc,,0.28996749383447296,0.3124109375736343
frontalpole,0.3857627099463087,14.876899960499877,38.564899034876845,109,hc,,0.371651914478199,0.40041772102720685
fusiform,0.13738754879293963,49.85529356448367,362.8807268380767,109,hc,,0.13236205630520817,0.14260686107488155
inferiorparietal,0.09009041080961355,66.29623149557729,735.88554985813,109,hc,,0.0867949980395473,0.09351291882984525
inferiortemporal,0.1337711022808293,61.13600639023216,457.01953073458037,109,hc,,0.12887789561476487,0.1388530268310337
insula,0.37786270851759884,93.06286539764268,246.28750945744176,109,hc,,0.3640408868188144,0.3922176008843451
isthmuscingulate,0.1390474804095958,24.336768318052197,175.02487816652803,109,hc,,0.13396126936372027,0.14432985300195245
lateraloccipital,0.08334122041184337,56.490489641188276,677.82172329649,109,hc,,0.08029268595018468,0.08650732868809728
lateralorbitofrontal,0.2872815089444417,94.72864253382947,329.7415238519558,109,hc,,0.2767730525541153,0.29819524837120986
lingual,0.10924774179737032,44.48086605841872,407.15593134108525,109,hc,,0.10525157394571326,0.11339803114707549
medialorbitofrontal,0.2615400792513853,67.96056943465712,259.8476288191962,109,hc,,0.2519732173700408,0.2714759093891959
middletemporal,0.11118423395320122,49.476443715266676,444.9951396534504,109,hc,,0.1071172312488433,0.11540809006628204
paracentral,0.1404293363314731,25.44261466104461,181.17734745245247,109,hc,,0.1352925784448137,0.14576420522097086
parahippocampal,0.2571286771311306,20.897690255381814,81.27327721102226,109,hc,,0.24772317971410968,0.26689691940913063
parsopercularis,0.1472212812557344,37.12812516399618,252.19265073166866,109,hc,,0.14183608114491536,0.15281417412100667
parsorbitalis,0.19150754687128846,21.198046873453173,110.69039951569275,109,hc,,0.18450240159719938,0.19878286184889474
parstriangularis,0.1611042790287761,39.592416387825565,245.7564543071736,109,hc,,0.1552112534153654,0.1672245828670487
pericalcarine,0.13080726017973773,38.74678004697253,296.212763677887,109,hc,,0.12602246775022327,0.13577658924646582
postcentral,0.163450168547738,83.51854868587104,510.9725455038502,109,hc,,0.15747133275532513,0.16965959203394063
posteriorcingulate,0.147632706268029,26.42533215026711,178.9937529309501,109,hc,,0.14223245666162818,0.15324122904764675
precentral,0.15095635457333242,85.01806636846764,563.196339821303,109,hc,,0.1454345293966786,0.1566911417675433
precuneus,0.09611961065513851,51.89456814779649,539.8957381754878,109,hc,,0.09260365607617527,0.09977116619154257
rostralanteriorcingulate,0.2068835225544597,31.720231350402806,153.32410700834245,109,hc,,0.19931594021117321,0.21474296629362474
rostralmiddlefrontal,0.17607561734300523,145.99215311808246,829.1446329771005,109,hc,,0.1696349558711017,0.18276467788905146
superiorfrontal,0.1416905133095043,130.03872388891057,917.7659170791349,109,hc,,0.13650762289129836,0.14707329393881383
superiorparietal,0.15360463344037303,107.95060512796908,702.7822189353022,109,hc,,0.14798593699941134,0.15944002796427423
superiortemporal,0.09857689235557922,42.978841440571045,435.9930650434888,109,hc,,0.094971052988407,0.10232179929589129
supramarginal,0.11543393787164821,73.52460881652583,636.9410086163598,109,hc,,0.11121148545365267,0.1198192389777509
temporalpole,0.3598363401438047,23.8391019235673,66.24984545485388,109,hc,,0.34667390409997595,0.3735064161157702
transversetemporal,0.191389236395202,11.782098306673381,61.560924368517675,109,hc,,0.18438841879428286,0.19866005679286747
