region,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
3rd-Ventricle,0.03793708311853575,22.034798618921602,580.8247974698819,109,hc,0.03654938439406121,0.039378301668551836
4th-Ventricle,0.07190202311508043,42.690129077779645,593.7263963971272,109,hc,0.06927192249684959,0.07463355967452953
5th-Ventricle,0.824380680690296,0.41289842502245855,0.5008589292470047,109,hc,0.7942256997314033,0.8556986585531023
Brain-Stem,0.08831689566434382,238.55895255863186,2701.1700395957787,109,hc,0.08508635621880906,0.0916720283695543
BrainSegVol,0.023931224974528268,2715.8659735593255,113486.29150618149,109,hc,0.02305584585619958,0.024840365122444568
BrainSegVol-to-eTIV,0.04537497506496289,0.0016969757526913278,0.03739893521179428,109,hc,0.043715206051515784,0.04709875692678427
BrainSegVolNotVent,0.024757255942150405,2720.2866665586675,109878.35941572387,109,hc,0.023851661477097136,0.025697776761841207
CC_Anterior,0.1933408256831022,31.67402160225517,163.82479742882077,109,hc,0.18626862099222005,0.2006857863797186
CC_Central,0.26600436285607887,33.70945149947119,126.72518276592939,109,hc,0.2562742021611548,0.27610978980562945
CC_Mid_Anterior,0.24069195679605823,30.40371722157017,126.31796104151364,109,hc,0.23188769737543935,0.24983577293738576
CC_Mid_Posterior,0.26688994835881874,29.867701259826212,111.91017662332769,109,hc,0.25712739387471684,0.27702901843929184
CC_Posterior,0.261821690781683,45.12906082538109,172.36563055813215,109,hc,0.25224452784582224,0.2717682192581112
CSF,0.14189063984323175,38.875012327795325,273.9786949353846,109,hc,0.1367004290062493,0.14728102322027645
CerebralWhiteMatterVol,0.033118980959981316,1829.721036644854,55246.90022485179,109,hc,0.03190752336081742,0.0343771612362038
CortexVol,0.025957151999925307,1192.9300427887063,45957.66295131835,109,hc,0.025007666595137066,0.026943256515419844
EstimatedTotalIntraCranialVol,0.0008089278669474552,137.4863824601061,169961.23891604872,109,hc,0.0007793381337134201,0.0008396587969935768
Left-Accumbens-area,0.2801973080072583,25.39241461483668,90.62333537543805,109,hc,0.2699479842596217,0.29084192073889253
Left-Amygdala,0.21105542922342116,50.46034650187834,239.08575433262854,109,hc,0.20333524290831492,0.2190733624611451
Left-Caudate,0.0828788853179615,35.972161523290865,434.0328828661862,109,hc,0.07984726258929123,0.08602742962095095
Left-Cerebellum-Cortex,0.06016115549010645,356.44136264442,5924.775874742583,109,hc,0.057960523499616265,0.06244665996634227
Left-Cerebellum-White-Matter,0.21301609755156561,408.8857077959591,1919.506142942923,109,hc,0.20522419204472336,0.22110851599828996
Left-Hippocampus,0.16753790993491674,76.20123093988511,454.82978132821944,109,hc,0.16140954884844672,0.1739026255055546
Left-Inf-Lat-Vent,0.11511064744637302,32.03277820395314,278.27815162690626,109,hc,0.11090002065317281,0.11948366684498403
Left-Lateral-Ventricle,0.012119911899361192,84.5281261070876,6974.318527145635,109,hc,0.01167657822948108,0.012580343762278604
Left-Pallidum,0.23308679161526,57.94669523604526,248.60565815198058,109,hc,0.22456072116314552,0.24194168978415787
Left-Putamen,0.12195989792286496,74.5585316242718,611.3364548027685,109,hc,0.11749873272848782,0.1265931183182048
Left-Thalamus,0.1632687563689074,151.45998869297628,927.6728264576899,109,hc,0.1572965564437904,0.16947128806017384
Left-VentralDC,0.15382418289726538,69.00302290331447,448.58371163524754,109,hc,0.14819745556736222,0.15966791803999936
