region,npv,num,anat,n,timepoint,hemisphere,npv_CI_low,npv_CI_high
BrainSegVolNotVent,0.024757255942150405,2720.2866665586675,109878.35941572387,109,hc,,0.023851661477097136,0.025697776761841207
MeanThickness,0.08867816213267139,0.007732771362653316,0.087200401730071,109,hc,,0.08543440793850329,0.09204701924399993
bankssts,0.14812486328137997,0.021240338415516022,0.1433948220776926,109,hc,,0.14270661108744404,0.15375208296014906
caudalanteriorcingulate,0.2310053435539814,0.03687031048611163,0.15960804161006675,109,hc,,0.2225554102896067,0.2397811681275942
caudalmiddlefrontal,0.15433178954492663,0.01854468596547866,0.1201611542259751,109,hc,,0.1486864944960638,0.16019480851384288
cuneus,0.17837552006536161,0.022225212339018658,0.1245978838961464,109,hc,,0.17185073056325983,0.18515195323455697
eTIV,0.0008089278669474552,137.4863824601061,169961.23891604872,109,hc,,0.0007793381337134201,0.0008396587969935768
entoinalthickness,0.2920310572772952,0.08257659518279416,0.2827664836496632,109,hc,,0.28134886738872544,0.30312523063832547
frontalpole,0.2835981796585344,0.06399264375286662,0.225645467223791,109,hc,,0.27322445559161573,0.29437199049680035
fusiform,0.18284163425019337,0.0212074925841749,0.11598831235097906,109,hc,,0.1761534789738099,0.18978773377432587
inferiorparietal,0.1339442790989673,0.014802896252880234,0.1105153303482475,109,hc,,0.12904473780646658,0.1390327825851946
inferiortemporal,0.16507751476474636,0.021481749158998534,0.1301312852305318,109,hc,,0.15903915235394364,0.17134876065168345
insula,0.3031627731587545,0.041658425023530024,0.1374127324060172,109,hc,,0.2920733967745428,0.3146798371087038
isthmuscingulate,0.22437483619019943,0.030181314820444033,0.1345129219163407,109,hc,,0.21616743993328497,0.23289876975313958
lateraloccipital,0.12675385973545386,0.01502778536904539,0.11855879892264948,109,hc,,0.122117336444311,0.13156920131999486
lateralorbitofrontal,0.246586691617741,0.026970321125172367,0.10937460147679744,109,hc,,0.23756680897781435,0.2559544469888161
lingual,0.21377804403465753,0.024205025373920858,0.11322502964802483,109,hc,,0.20595826732434397,0.22189940860257207
medialorbitofrontal,0.251013410571723,0.028965536307446155,0.1153943777006676,109,hc,,0.2418316031937543,0.2605493356845848
middletemporal,0.14186838371712956,0.01783850671459453,0.12573983185825682,109,hc,,0.13667898698590497,0.1472579215905363
paracentral,0.16882864541405596,0.025033877399294493,0.14827979776712868,109,hc,,0.1626530705770601,0.1752423956432069
parahippocampal,0.13734916701201627,0.029429122537924103,0.21426502379406084,109,hc,,0.13232507848958872,0.1425670211814703
parsopercularis,0.1510439500626613,0.019036470958004086,0.12603266102420332,109,hc,,0.14551892073484932,0.15678206498356442
parsorbitalis,0.22757537632411953,0.03378487225826687,0.14845574597732164,109,hc,,0.2192509076647857,0.23622089745868885
parstriangularis,0.18088625329892094,0.02151916396573182,0.1189651705050833,109,hc,,0.1742696238075712,0.18775806847993418
pericalcarine,0.23923154222653514,0.035300033486522525,0.1475559332936788,109,hc,,0.23048070323966438,0.24831987765096797
postcentral,0.19023104874348135,0.02165850958406335,0.11385370436173617,109,hc,,0.18327259643253385,0.1974578699353343
posteriorcingulate,0.22143867789809785,0.024965503652404197,0.11274229005238587,109,hc,,0.21333868323302624,0.2298510676772648
precentral,0.1751157839377266,0.026487917512911113,0.15125945198823743,109,hc,,0.16871023216542888,0.18176838069702647
precuneus,0.12248295444854065,0.013376991010568273,0.10921512361288127,109,hc,,0.11800265639486486,0.127136045606352
rostralanteriorcingulate,0.2646981491445477,0.04599425434338613,0.1737611482816578,109,hc,,0.2550157683776619,0.2747539534221216
rostralmiddlefrontal,0.16492897495149839,0.016354720441938003,0.09916220267995682,109,hc,,0.1588960459713243,0.1711945778549304
superiorfrontal,0.12956032336557147,0.014682734136459319,0.11332739649800082,109,hc,,0.12482114257733981,0.13448228167209483
superiorparietal,0.09455080292906384,0.010309023734569404,0.10903158318289148,109,hc,,0.09109223369186811,0.09814275992466383
superiortemporal,0.11121018234200064,0.015453824954240353,0.13896052167881323,109,hc,,0.10714223047278662,0.11543502422668557
supramarginal,0.13340040362914832,0.014951890621880105,0.11208279896548289,109,hc,,0.1285207567310949,0.13846824544738306
temporalpole,0.29144670585158017,0.08367213685291428,0.287092408913774,109,hc,,0.28078589092548645,0.30251867987504305
transversetemporal,0.18134861970993976,0.033077401155232736,0.18239676270014507,109,hc,,0.17471507734005357,0.18823800005394623
