region,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
3rd-Ventricle,0.037660359661151915,23.37311130101146,620.6289985361374,103,hc,0.03624378339171996,0.03913316183978944
4th-Ventricle,0.06599851553629311,39.978400994526574,605.7469727867157,103,hc,0.06351601319782263,0.06857955189237878
5th-Ventricle,0.7488682701399059,0.3942342100798857,0.526439997259109,103,hc,0.7206999512508795,0.7781546293169874
Accumbens-area,0.20216936259129503,36.787135640307355,181.9619707397313,103,hc,0.1945648595002522,0.2100756991307563
Amygdala,0.15142758517274071,72.93506025969874,481.649761346311,103,hc,0.1457317095724244,0.15734953810560898
Brain-Stem,0.07354847683294498,197.64223303790382,2687.237609105357,103,hc,0.07078198634077135,0.07642477323291727
BrainSegVol,0.022996608533189668,2720.0148408169352,118278.95565084286,103,hc,0.022131602191810065,0.023895948195733933
BrainSegVol-to-eTIV,0.04750564591341403,0.0016856292100936184,0.03548271321614958,103,hc,0.04571874394884258,0.049363472536111744
BrainSegVolNotVent,0.02367518438897832,2726.6544707731664,115169.30242125275,103,hc,0.022784653743981635,0.02460106145073408
CC_Anterior,0.2214583707852539,37.32421081042919,168.53827054757,103,hc,0.21312832095184614,0.23011905204015146
CC_Central,0.24426294278559602,31.42396547182752,128.64810811441907,103,hc,0.23507510997239478,0.25381545363604696
CC_Mid_Anterior,0.2683092184571904,30.47173963699569,113.56948453807058,103,hc,0.25821689657933117,0.2788021188184132
CC_Mid_Posterior,0.2913987075816766,33.84351766330941,116.14161896659532,103,hc,0.28043788570378164,0.3027945799323371
CC_Posterior,0.330715093930141,59.48896338105374,179.87979524641827,103,hc,0.31827540513748037,0.34364853150830266
CSF,0.13348493775512327,37.86077891808084,283.6333413702155,103,hc,0.12846396618576342,0.138705198764575
Caudate,0.10012726568868113,84.29726831875682,841.9012317869197,103,hc,0.0963610268695653,0.10404299183612487
Cerebellum-Cortex,0.05909446800445668,701.9649035346947,11878.69063279756,103,hc,0.05687165808487507,0.06140550438343659
Cerebellum-White-Matter,0.20420729583815936,825.2142716329176,4041.061648879214,103,hc,0.1965261368706945,0.21219333083384637
CerebralWhiteMatterVol,0.03197228116326457,1874.725902654079,58635.975740389054,103,hc,0.030769659223830285,0.03322263686291662
CortexVol,0.025734865966611252,1239.9208449892374,48180.58297245172,103,hc,0.024766861392217374,0.02674129200724377
EstimatedTotalIntraCranialVol,0.00046160702733961083,75.91044004576817,164448.18980175487,103,hc,0.00044424390158574696,0.00047965932003296677
Hippocampus,0.10330144954444517,95.90394271940134,928.3891285391783,103,hc,0.09941581533013538,0.10734131005864027
Inf-Lat-Vent,0.08175326794661865,45.17853741730184,552.6205685967376,103,hc,0.07867815819292305,0.08495043314169035
Lateral-Ventricle,0.009451115822760823,135.32303205581707,14318.206928532492,103,hc,0.009095616658264357,0.009820725250274505
MaskVol,0.013277654392816782,2117.0181384029556,159442.17824710542,103,hc,0.012778221825103275,0.013796910143236732
MaskVol-to-eTIV,0.034826980687236414,0.0013126841951024205,0.03769158764840905,103,hc,0.033516980601698325,0.03618897652299153
Optic-Chiasm,0.3569079748407826,14.736513161677756,41.28939166532142,103,hc,0.3434830534624559,0.37086575027490426
Pallidum,0.17739339180518748,82.00594164069092,462.28295657568475,103,hc,0.17072082490868778,0.18433080228871204
Putamen,0.13518388365240794,157.37070810281904,1164.1232952550695,103,hc,0.13009900705232624,0.1404705861733434
SubCortGrayVol,0.06488356916805992,355.7510803322744,5482.9147794076525,103,hc,0.062443004999621236,0.06742100276902128
SupraTentorialVol,0.02475755898930086,2666.83542649784,107718.02776074695,103,hc,0.02382631534561674,0.02572576500605864
SupraTentorialVolNotVent,0.025548698129880837,2672.940752592695,104621.40728284388,103,hc,0.024587696168898426,0.026547843613503392
SurfaceHoles,0.32389477574974973,9.093460460771007,28.07535391616465,103,hc,0.31171162993679635,0.3365614877956684
Thalamus,0.13993034272172106,237.1559754447925,1694.8145115060831,103,hc,0.1346669303524137,0.1454026673482603
TotalGrayVol,0.023890613438477964,1451.5323490576882,60757.43315656625,103,hc,0.02299197953366079,0.024824915389860366
TotalVentricle,0.037660359661151915,23.37311130101146,620.6289985361374,103,hc,0.03624378339171996,0.03913316183978944
VentralDC,0.12443796704846838,117.02173950894667,940.4022123197086,103,hc,0.11975729291993498,0.1293044237319201
WM-hypointensities,0.4270135069271815,969.6508685976712,2270.773296084579,103,hc,0.4109515997631896,0.44371293383039145
choroid-plexus,0.15772130268942214,66.72389874982127,423.04937641309647,103,hc,0.15178869193944566,0.1638893871237869
non-WM-hypointensities,0.8450786408377956,0.71116771723087,0.8415402814178705,103,hc,0.813291415246068,0.8781275462264988
vessel,0.21319289556362864,12.474617389490938,58.51328843070109,103,hc,0.20517374759520254,0.22153033482021778
