region,hemisphere,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
BrainSegVolNotVent,lh,0.02367518438897832,2726.6544707731664,115169.30242125275,103,hc,0.022784653743981635,0.02460106145073408
BrainSegVolNotVent,rh,0.02367518438897832,2726.6544707731664,115169.30242125275,103,hc,0.022784653743981635,0.02460106145073408
MeanThickness,lh,0.09995263470998067,0.009035355241607621,0.09039636891838135,103,hc,0.09619296455092438,0.10386153147798667
MeanThickness,rh,0.08648385335575223,0.007526876723340469,0.08703216185775839,103,hc,0.08323080491290459,0.0898660198774042
bankssts,lh,0.1543536038541609,0.02277356242732059,0.14754150119382967,103,hc,0.1485476674720223,0.16038998603644428
bankssts,rh,0.1319868934495797,0.02022906315838353,0.15326569653759775,103,hc,0.12702227009443992,0.13714856970474995
caudalanteriorcingulate,lh,0.20853879004381415,0.0400504178147951,0.1920526047282641,103,hc,0.20069470401038073,0.2166942189104106
caudalanteriorcingulate,rh,0.2207655857678343,0.03475014584567585,0.15740744067882237,103,hc,0.21246159470880696,0.22939917393885897
caudalmiddlefrontal,lh,0.13766584601279963,0.015918281794684876,0.11562985486759626,103,hc,0.1324876115952943,0.14304961185454698
caudalmiddlefrontal,rh,0.15132823501056306,0.018211677514959657,0.12034553574016402,103,hc,0.14563609641869202,0.15724630260785247
cuneus,lh,0.18426516329337744,0.023013333797755824,0.12489248312832299,103,hc,0.17733411802580765,0.1914713115189195
cuneus,rh,0.17758322863430384,0.022906319265331293,0.12898920377499246,103,hc,0.1709035211170132,0.18452806315992526
eTIV,lh,0.00046160702733961083,75.91044004576817,164448.18980175487,103,hc,0.00044424390158574696,0.00047965932003296677
eTIV,rh,0.00046160702733961083,75.91044004576817,164448.18980175487,103,hc,0.00044424390158574696,0.00047965932003296677
entorhinal,lh,0.3037494944249644,0.08411050246162204,0.27690746488600315,103,hc,0.2923241036553108,0.315628375061641
entorhinal,rh,0.2713161209234569,0.07986940601025007,0.2943776644690517,103,hc,0.26111069585920926,0.28192661369598737
frontalpole,lh,0.28412885177666936,0.06856119250167458,0.24130316957591122,103,hc,0.2734414820194717,0.29524041830645265
frontalpole,rh,0.2636001889022751,0.06410486391293947,0.24318974952140554,103,hc,0.25368499490050533,0.2739089309322937
fusiform,lh,0.18249906317977588,0.02223141544551266,0.12181660036036991,103,hc,0.17563444891639401,0.18963614366092016
fusiform,rh,0.16509511393170204,0.019984894220703195,0.12105079153929849,103,hc,0.15888514082738087,0.17155156962327744
inferiorparietal,lh,0.1338534161222992,0.016435053796035052,0.12278396974955552,103,hc,0.12881858441683242,0.13908808739619982
inferiorparietal,rh,0.1358300939320756,0.014223090231841037,0.10471236395488,103,hc,0.13072091044391645,0.14114206811574387
inferiortemporal,lh,0.17347176180592475,0.02415878578375128,0.13926638855942122,103,hc,0.16694670513090015,0.18025580717932577
inferiortemporal,rh,0.17066587922766038,0.021708904159143748,0.12720119720114104,103,hc,0.16424636447286556,0.177340193573226
insula,lh,0.2807426885051701,0.03969023202624593,0.14137583506654708,103,hc,0.2701826876466762,0.291721830685097
insula,rh,0.29518499967486655,0.04105460761683236,0.13908094131494564,103,hc,0.2840817582455757,0.3067289444096993
isthmuscingulate,lh,0.20669458895457776,0.029417994015896846,0.14232590298898248,103,hc,0.19891987165587174,0.21477789574357029
isthmuscingulate,rh,0.2165336574865432,0.0328716486889235,0.1518084951341403,103,hc,0.20838884836924856,0.22500174556015504
lateraloccipital,lh,0.1278694898389355,0.016272411213202574,0.12725796617863505,103,hc,0.12305974063526402,0.132870144769226
lateraloccipital,rh,0.13658351684941442,0.016881701031699222,0.12359984148242116,103,hc,0.13144599372150803,0.14192495551308434
lateralorbitofrontal,lh,0.2125719651367145,0.024316497870951546,0.11439183833725451,103,hc,0.20457617316689408,0.22088512136218633
lateralorbitofrontal,rh,0.25313919333817786,0.03001973286796169,0.1185898259060075,103,hc,0.2436174846404271,0.2630388320777302
lingual,lh,0.2125911268587316,0.025439531021834966,0.11966412426394317,103,hc,0.20459461412997698,0.22090503245107584
lingual,rh,0.2425414289769297,0.02713811877534393,0.11189065261887808,103,hc,0.23341835007555506,0.25202661574150437
medialorbitofrontal,lh,0.2813397971051128,0.03004772628861888,0.10680226046154641,103,hc,0.2707573362945483,0.2923422907042718
medialorbitofrontal,rh,0.21283777728778272,0.02853798877960332,0.1340832870144874,103,hc,0.20483198692207022,0.2211613287595752
middletemporal,lh,0.15561628479852588,0.021011838478248324,0.13502339106380828,103,hc,0.14976285328150954,0.1617020472645484
middletemporal,rh,0.1312596109810269,0.016633087856753645,0.1267190092400769,103,hc,0.12632234400525777,0.13639284504356258
paracentral,lh,0.18177124832388997,0.027264933147487586,0.14999585137306992,103,hc,0.17493401046537158,0.18887986579206684
paracentral,rh,0.1623135452440095,0.023722373578861915,0.14615153370718106,103,hc,0.15620819950464804,0.1686612207630076
parahippocampal,lh,0.12647478642786128,0.03043353266350919,0.2406292473232827,103,hc,0.12171749832049371,0.13142089800697657
parahippocampal,rh,0.14624125554053713,0.02748126063944456,0.18791729145013344,103,hc,0.1407404612285711,0.1519603841336973
parsopercularis,lh,0.14699330657405543,0.01826296177964843,0.1242434924779893,103,hc,0.14146422422509056,0.15274184599628304
parsopercularis,rh,0.17139557799462113,0.022010951514124345,0.12842193346910682,103,hc,0.16494861597255614,0.17809842902818968
parsorbitalis,lh,0.221611598868419,0.03521226469235896,0.15889179479845775,103,hc,0.21327578543454712,0.23027827248920857
parsorbitalis,rh,0.20427607087681532,0.03206206197009886,0.15695456561543744,103,hc,0.19659232496943366,0.21226479549171148
parstriangularis,lh,0.183048199311416,0.02183034010423264,0.11926006476082919,103,hc,0.17616292955722712,0.19020675512891727
parstriangularis,rh,0.19285744378340566,0.022203061102697014,0.11512680385639057,103,hc,0.1856032040282635,0.20039961454136745
pericalcarine,lh,0.25689032348439467,0.03474358994935729,0.13524678344479513,103,hc,0.24722751783492886,0.2669366595125924
pericalcarine,rh,0.2588386805279112,0.038292297070514326,0.14793885130466494,103,hc,0.24910258836772006,0.26896121191176336
postcentral,lh,0.17492233839896443,0.01941265072613954,0.11097868290476998,103,hc,0.16834271898483744,0.1817631121835047
postcentral,rh,0.12596868523793214,0.014997388371103038,0.11905648092441128,103,hc,0.12123043388278987,0.13089500446928853
posteriorcingulate,lh,0.20512556826766087,0.024683080107932992,0.12033156235172468,103,hc,0.19740986892553658,0.21314751459417217
posteriorcingulate,rh,0.20476722457715535,0.02489512940837816,0.12157770590379706,103,hc,0.19706500416016184,0.212775156980995
precentral,lh,0.12385697581547309,0.01788308933719148,0.14438499906403657,103,hc,0.11919815539202414,0.12870071138947647
precentral,rh,0.12755275373883881,0.019060805575472402,0.14943468499707144,103,hc,0.12275491841084739,0.13254102191492748
precuneus,lh,0.12345497541405812,0.014205909740172572,0.11506956031968,103,hc,0.11881127604187024,0.12828298976095842
precuneus,rh,0.12488180729486573,0.013386551498264352,0.10719376815757145,103,hc,0.12018443832947676,0.129765621456784
rostralanteriorcingulate,lh,0.2716108201211417,0.04836364508383719,0.17806229170938928,103,hc,0.26139431008867237,0.28223283783991
rostralanteriorcingulate,rh,0.24255074265794396,0.0450137275551499,0.18558478552518926,103,hc,0.23342731342694886,0.25203629365721564
rostralmiddlefrontal,lh,0.1546874469375391,0.01571699061131064,0.10160482264379843,103,hc,0.14886895320879304,0.16073688488522003
rostralmiddlefrontal,rh,0.15415643542748286,0.016770845377251035,0.10879108180430296,103,hc,0.14835791544064234,0.1601851068472833
superiorfrontal,lh,0.1303698755673192,0.014949818475223071,0.11467233830029563,103,hc,0.1254660755601205,0.13546831431012055
superiorfrontal,rh,0.13818058059227606,0.015134754429311002,0.10952880907316867,103,hc,0.13298298468176048,0.14358447641198682
superiorparietal,lh,0.10783993840053212,0.012201196699348434,0.11314172541560195,103,hc,0.10378359111628725,0.11205728782707719
superiorparietal,rh,0.10049312970056276,0.011328010582139593,0.11272422916763987,103,hc,0.09671312908305375,0.1044231638715791
superiortemporal,lh,0.10590013953926486,0.015204750446698488,0.14357630228674992,103,hc,0.10191675685384663,0.11004162829919129
superiortemporal,rh,0.09585992422090175,0.01472917575331083,0.15365311284169791,103,hc,0.09225419939345272,0.09960876535005878
supramarginal,lh,0.1481116154754857,0.017170435887263486,0.11592902982079352,103,hc,0.14254046847642418,0.15390388915307454
supramarginal,rh,0.13720091643651905,0.01533921497524428,0.11180111163719172,103,hc,0.1320401701208439,0.14256650004902005
temporalpole,lh,0.34813763058836505,0.09503932789195137,0.2729935506579151,103,hc,0.33504260148017345,0.36175241986307183
temporalpole,rh,0.2794096513304871,0.08274928815444405,0.2961575871141537,103,hc,0.26889979202254977,0.29033666177102696
transversetemporal,lh,0.17287233510199684,0.03222435888348797,0.18640552789707618,103,hc,0.16636982557340654,0.1796329384009349
transversetemporal,rh,0.17869152288188214,0.03214359376089691,0.17988314858195217,103,hc,0.1719701274108706,0.18567970001487885
