region,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
3rd-Ventricle,0.3492841158915382,0.022061113791535213,0.06316094201771764,212,hc,0.3400851670348838,0.35873635594857395
4th-Ventricle,0.4613510620085083,0.030528127342307768,0.06617114353092085,212,hc,0.4492006531256225,0.47383602994798063
5th-Ventricle,0.0,0.0,0.27358490566037735,212,hc,0.0,0.0
Accumbens-area,0.5295037398486547,0.05266410945581647,0.09945937203553873,212,hc,0.5155584225534716,0.5438330386413369
Amygdala,0.5518246566801751,0.028492346715851283,0.05163297139940014,212,hc,0.5372914827862381,0.566757998584426
Brain-Stem,0.4364847982189691,0.013944795333619217,0.031947951888632795,212,hc,0.42498928166713645,0.4482968414992128
BrainSegVol,0.22505228857583678,0.003253275263551377,0.014455641771690349,212,hc,0.21912518110518098,0.23114259775458185
BrainSegVol-to-eTIV,0.12939412235957118,0.0032524629272676275,0.02513609480830522,212,hc,0.1259863237801849,0.13289575398513276
BrainSegVolNotVent,0.218973317541245,0.003354698936548852,0.015320126553396048,212,hc,0.21320630937400456,0.22489911911456384
CC_Anterior,0.8970607271586282,0.06137496831757817,0.06841785228072432,212,hc,0.8734352160775348,0.9213367619196118
CC_Central,0.7231490477229049,0.08671545482795845,0.1199136680066347,212,hc,0.7041037753985058,0.7427187277773402
CC_Mid_Anterior,0.7322242412556303,0.07640434749269515,0.10434555862514971,212,hc,0.712939959376048,0.7520395119451176
CC_Mid_Posterior,0.7205886446664062,0.09100348142639245,0.12629047390626336,212,hc,0.7016108046004396,0.7400890357287812
CC_Posterior,0.9077290527845717,0.09840271620217779,0.10840538363327165,212,hc,0.8838225744984033,0.9322937911259218
CSF,0.6260687756366354,0.04652324899886001,0.07431012503626547,212,hc,0.6095802656076881,0.6430112934617791
Caudate,0.4895016672477654,0.015783318943294582,0.032243646956376396,212,hc,0.4766098677144093,0.502748439879653
Cerebellum-Cortex,0.352545397649204,0.007518465332327863,0.02132623311057664,212,hc,0.3432605577865434,0.36208589370376315
Cerebellum-White-Matter,0.5758076464719183,0.034723104497884245,0.060303305644930624,212,hc,0.5606428426627165,0.5913900100936853
CerebralWhiteMatterVol,0.23845218209262775,0.00555380655145828,0.023291070363536788,212,hc,0.2321721672622114,0.24490511586406616
CortexVol,0.15201099892793538,0.003544534018731192,0.023317615460257367,212,hc,0.14800754918268202,0.15612468285401127
EstimatedTotalIntraCranialVol,0.0038149360233093147,9.756365432401866e-05,0.025574125942847616,212,hc,0.0037144636577674237,0.003918174875160655
Hippocampus,0.5602413620985783,0.016293628635772786,0.029083230439715037,212,hc,0.5454865209739749,0.5754024747959586
Inf-Lat-Vent,0.5164621120997742,0.07143899052871475,0.1383237779791165,212,hc,0.5028602666695033,0.5304384815990579
Lateral-Ventricle,0.1324423744506185,0.007108387218126704,0.053671547702258134,212,hc,0.1289542953379587,0.1360264971177363
MaskVol,0.12991423459556564,0.0021242544515403697,0.016351206302783982,212,hc,0.12649273803897126,0.13342994136937342
MaskVol-to-eTIV,0.0768835813916136,0.002128781706433843,0.027688378557584326,212,hc,0.0748587308445664,0.07896418578985037
Optic-Chiasm,0.797883321507168,0.2195667052737726,0.27518648323043066,212,hc,0.7768698040462104,0.8194754419307967
Pallidum,0.5454362456253861,0.027775651815152416,0.05092373680319946,212,hc,0.5310713206265305,0.5601967059351827
Putamen,0.5849277236273097,0.020766231360838064,0.03550221766214213,212,hc,0.5695227281818319,0.6007568925135858
SubCortGrayVol,0.4299749638267914,0.008327290285059972,0.01936691897348351,212,hc,0.41865089404540834,0.44161083958435987
SupraTentorialVol,0.23437595338451767,0.003584737747120559,0.015294818838515533,212,hc,0.2282032924751871,0.2407185772663177
SupraTentorialVolNotVent,0.22787232583784556,0.0037120005864580345,0.01628982621215488,212,hc,0.22187094823188497,0.234038950165083
SurfaceHoles,0.5814851199177926,0.3705502703204544,0.6372480698609122,212,hc,0.5661707908783057,0.5972211259168858
Thalamus,0.5430874052236223,0.02056130697501413,0.037860032799964825,212,hc,0.5287843406465416,0.5577843017974143
TotalGrayVol,0.1527987245493394,0.003000307392453368,0.01963568348690342,212,hc,0.14877452880570052,0.15693372571067973
TotalVentricle,0.3492841158915382,0.022061113791535213,0.06316094201771764,212,hc,0.3400851670348838,0.35873635594857395
VentralDC,0.5071612725524705,0.019520301942313203,0.03848933859651843,212,hc,0.4938043794215654,0.5208859450402576
WM-hypointensities,0.7092758795498421,0.888920315226993,1.2532786477825333,212,hc,0.6905959790207736,0.7284701273702958
choroid-plexus,0.5289520502519107,0.06331171285679611,0.11969272607345832,212,hc,0.5150212625736048,0.5432664193576472
non-WM-hypointensities,,0.0,,212,hc,,
vessel,0.7347176255662448,0.24469201319496037,0.33304225280614025,212,hc,0.7153676764727533,0.7546003716031243
