region,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
3rd-Ventricle,0.3492841158915382,0.022061113791535213,0.06316094201771764,212,hc,0.3400851670348838,0.35873635594857395
4th-Ventricle,0.4613510620085083,0.030528127342307768,0.06617114353092085,212,hc,0.4492006531256225,0.47383602994798063
5th-Ventricle,0.0,0.0,0.27358490566037735,212,hc,0.0,0.0
Brain-Stem,0.4364847982189691,0.013944795333619217,0.031947951888632795,212,hc,0.42498928166713645,0.4482968414992128
BrainSegVol,0.22505228857583678,0.003253275263551377,0.014455641771690349,212,hc,0.21912518110518098,0.23114259775458185
BrainSegVol-to-eTIV,0.12939412235957118,0.0032524629272676275,0.02513609480830522,212,hc,0.1259863237801849,0.13289575398513276
BrainSegVolNotVent,0.218973317541245,0.003354698936548852,0.015320126553396048,212,hc,0.21320630937400456,0.22489911911456384
CC_Anterior,0.8970607271586282,0.06137496831757817,0.06841785228072432,212,hc,0.8734352160775348,0.9213367619196118
CC_Central,0.7231490477229049,0.08671545482795845,0.1199136680066347,212,hc,0.7041037753985058,0.7427187277773402
CC_Mid_Anterior,0.7322242412556303,0.07640434749269515,0.10434555862514971,212,hc,0.712939959376048,0.7520395119451176
CC_Mid_Posterior,0.7205886446664062,0.09100348142639245,0.12629047390626336,212,hc,0.7016108046004396,0.7400890357287812
CC_Posterior,0.9077290527845717,0.09840271620217779,0.10840538363327165,212,hc,0.8838225744984033,0.9322937911259218
CSF,0.6260687756366354,0.04652324899886001,0.07431012503626547,212,hc,0.6095802656076881,0.6430112934617791
CerebralWhiteMatterVol,0.23845218209262775,0.00555380655145828,0.023291070363536788,212,hc,0.2321721672622114,0.24490511586406616
CortexVol,0.15201099892793538,0.003544534018731192,0.023317615460257367,212,hc,0.14800754918268202,0.15612468285401127
EstimatedTotalIntraCranialVol,0.0038149360233093147,9.756365432401866e-05,0.025574125942847616,212,hc,0.0037144636577674237,0.003918174875160655
Left-Accumbens-area,0.5821171362772306,0.08438444330292255,0.14496127676738732,212,hc,0.5667861620887016,0.5978702457461856
Left-Amygdala,0.5990369653028625,0.04201180274715725,0.07013223754216373,212,hc,0.5832603806935079,0.6152479549856545
Left-Caudate,0.4289854582477077,0.016432955527934934,0.03830655611278578,212,hc,0.4176874486585899,0.44059455625087585
Left-Cerebellum-Cortex,0.43229016174354024,0.010287900118194944,0.023798598785364743,212,hc,0.42090511756836074,0.44398869081253345
Left-Cerebellum-White-Matter,0.5915201181691168,0.0416238523659043,0.07036760219540658,212,hc,0.5759415016012521,0.6075276888003471
Left-Hippocampus,0.6103612752062969,0.024475041738748614,0.040099270273128415,212,hc,0.5942864470098479,0.6268787205531672
Left-Inf-Lat-Vent,0.5892880992462961,0.12045622183344586,0.2044097309745611,212,hc,0.5737682664220487,0.6052352675353916
Left-Lateral-Ventricle,0.1799660790525086,0.010177082286903167,0.056550002869895304,212,hc,0.17522638811949542,0.1848362764188727
Left-Pallidum,0.5620594078226244,0.0397692974352697,0.07075639493222423,212,hc,0.5472566855924291,0.5772697200221765
Left-Putamen,0.625380386520987,0.023873317438474564,0.03817407445616045,212,hc,0.6089100063066526,0.6423042753307312
Left-Thalamus,0.6177217740848232,0.027677648499936074,0.044806010830590354,212,hc,0.6014530955251242,0.6344384074255757
Left-VentralDC,0.5176264938806687,0.022991884490980514,0.04441790511650464,212,hc,0.5039939826171557,0.5316343735907244
Left-WM-hypointensities,,,,212,hc,,
Left-choroid-plexus,0.5841409739383805,0.091921821124766,0.15736239234343216,212,hc,0.568756698788565,0.5999488519998346
Left-non-WM-hypointensities,,,,212,hc,,
Left-vessel,0.7718743182306856,0.260927041456438,0.3380434292133765,212,hc,0.75154578895003,0.7927625894627013
MaskVol,0.12991423459556564,0.0021242544515403697,0.016351206302783982,212,hc,0.12649273803897126,0.13342994136937342
MaskVol-to-eTIV,0.0768835813916136,0.002128781706433843,0.027688378557584326,212,hc,0.0748587308445664,0.07896418578985037
Optic-Chiasm,0.797883321507168,0.2195667052737726,0.27518648323043066,212,hc,0.7768698040462104,0.8194754419307967
Right-Accumbens-area,0.5508800563612409,0.06074479979662328,0.11026864940049624,212,hc,0.5363717600086191,0.5657878357260969
Right-Amygdala,0.6195953974295861,0.03853469909017335,0.062193326887249226,212,hc,0.6032773740398736,0.6363627343002887
Right-Caudate,0.5740491318979811,0.022897728411078712,0.03988809866391027,212,hc,0.5589306413475086,0.5895839070347859
Right-Cerebellum-Cortex,0.4208377581697284,0.009712939134838188,0.023080008735625036,212,hc,0.4097543311307658,0.4322263651355266
Right-Cerebellum-White-Matter,0.6772963325334866,0.04518967466443985,0.06672068412862046,212,hc,0.6594586638840774,0.6956251577894408
