region,hemisphere,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
BrainSegVolNotVent,lh,0.02500820114823286,2725.6561078668083,108990.49042795345,112,hc,0.024105594279918284,0.02594514294643673
BrainSegVolNotVent,rh,0.02500820114823286,2725.6561078668083,108990.49042795345,112,hc,0.024105594279918284,0.02594514294643673
MeanThickness,lh,0.09415149009490799,0.008118645179174272,0.08622959839499507,112,hc,0.09075333358145077,0.09767891159596745
MeanThickness,rh,0.08650930012669514,0.007448996141526954,0.08610630453162496,112,hc,0.08338696885606076,0.08975040406462437
bankssts,lh,0.15807019301678077,0.021001560970242496,0.1328622466350311,112,hc,0.15236505488840965,0.16399235311177185
bankssts,rh,0.14096308590534135,0.02138092216013104,0.1516774552912996,112,hc,0.1358753849242586,0.1462443217049762
caudalanteriorcingulate,lh,0.2281355067676753,0.039166849524162044,0.17168239209711492,112,hc,0.2199015408740716,0.23668269057662192
caudalanteriorcingulate,rh,0.23153872780070817,0.0339998660711648,0.14684310652526963,112,hc,0.22318193137400852,0.240213414584198
caudalmiddlefrontal,lh,0.15288316133910612,0.01780282149819805,0.11644723553766707,112,hc,0.14736523581314026,0.15861098731311768
caudalmiddlefrontal,rh,0.15541954138291747,0.019054256684588815,0.12259884770630981,112,hc,0.1498100717257032,0.16124239380305727
cuneus,lh,0.18579718893754857,0.02345818263245434,0.12625692975548336,112,hc,0.17909131601791944,0.19275815151428596
cuneus,rh,0.17307382344497588,0.020825290059059344,0.12032605303643841,112,hc,0.16682716776426776,0.17955810027877817
eTIV,lh,0.0008099043847398091,136.00947888866676,167932.76027559888,112,hc,0.0007806729635747606,0.0008402477615430196
eTIV,rh,0.0008099043847398091,136.00947888866676,167932.76027559888,112,hc,0.0007806729635747606,0.0008402477615430196
entorhinal,lh,0.308116024588196,0.08525724333573535,0.2767049959497679,112,hc,0.2969953670733815,0.31965970901483415
entorhinal,rh,0.2978493700893435,0.08533216328360216,0.2864943553783772,112,hc,0.2870992611321941,0.30900841038781446
frontalpole,lh,0.2638894616468812,0.06208386376595685,0.2352646573247143,112,hc,0.2543650484695207,0.2737761810177365
frontalpole,rh,0.31051090317678637,0.0651206758071691,0.20972106016545666,112,hc,0.2993038086627639,0.3221443126435413
fusiform,lh,0.1898505801756838,0.02219571071571767,0.1169114716171961,112,hc,0.18299841049725057,0.19696340460177897
fusiform,rh,0.17567766357027703,0.020188662700841572,0.11491877960208312,112,hc,0.1693370289597307,0.1822594942679008
inferiorparietal,lh,0.133077818272643,0.015061298741483745,0.11317662805853135,112,hc,0.12827471579912925,0.1380636295116984
inferiorparietal,rh,0.13834185202449134,0.014517160648580812,0.10493686788297996,112,hc,0.13334875775623414,0.14352488229661625
inferiortemporal,lh,0.16892611933546878,0.021643858098929436,0.12812617837947904,112,hc,0.16282916439472142,0.1752550008522011
inferiortemporal,rh,0.16195822737236074,0.02125520718359581,0.13123882329687164,112,hc,0.15611276061768067,0.16802605415801072
insula,lh,0.2788560564819676,0.03852120687518603,0.13814011200318696,112,hc,0.26879146245699803,0.28930350503900687
insula,rh,0.3241033316173144,0.044275167146202575,0.13660818272143083,112,hc,0.3124056532666228,0.33624598660195126
isthmuscingulate,lh,0.2247356291104665,0.029233678643526318,0.13008030261706657,112,hc,0.21662437307938492,0.23315543520572082
isthmuscingulate,rh,0.21781800853715766,0.03102851666054704,0.14245156710839119,112,hc,0.20995642627528696,0.22597864333813017
lateraloccipital,lh,0.1277080258099422,0.01485661875660545,0.1163326945380503,112,hc,0.12309873222054325,0.13249265572547245
lateraloccipital,rh,0.12854843900634474,0.015272539639266525,0.1188076631448844,112,hc,0.12390881285848632,0.13336455532294816
lateralorbitofrontal,lh,0.22775534572886627,0.023418872707735072,0.1028246895052655,112,hc,0.21953510077275265,0.2362882866594388
lateralorbitofrontal,rh,0.26322189061195655,0.030097240527374555,0.1143417078929203,112,hc,0.25372157169861925,0.2730835991792685
