region,hemisphere,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
BrainSegVolNotVent,lh,0.218973317541245,0.003354698936548852,0.015320126553396048,212,hc,0.21320630937400456,0.22489911911456384
BrainSegVolNotVent,rh,0.218973317541245,0.003354698936548852,0.015320126553396048,212,hc,0.21320630937400456,0.22489911911456384
MeanThickness,lh,0.3491926247237035,0.0050000795804443915,0.014318972470855229,212,hc,0.3399960854314566,0.3586423888694621
MeanThickness,rh,0.317430013474674,0.004316956492159048,0.013599711145472622,212,hc,0.3090699927160221,0.32602022571782796
bankssts,lh,0.45386228334056733,0.012866665201705138,0.028349271737238193,212,hc,0.44190910327179284,0.46614459181033346
bankssts,rh,0.37845370528175193,0.011715169619207643,0.030955357169738663,212,hc,0.36848652921761266,0.38869532552739916
caudalanteriorcingulate,lh,0.6350229764761444,0.02356738701067534,0.03711265242945219,212,hc,0.6182986434256874,0.6522078106621049
caudalanteriorcingulate,rh,0.6416106915727778,0.021509051330084097,0.03352352386360496,212,hc,0.6247128606405136,0.6589738008697086
caudalmiddlefrontal,lh,0.38724371995948775,0.009430867052691298,0.02435382826525354,212,hc,0.3770450449757273,0.3977232134007905
caudalmiddlefrontal,rh,0.2972557518039284,0.01001078877682125,0.033677359365023904,212,hc,0.2894270520899116,0.305300013184706
cuneus,lh,0.41353311685232463,0.01708087438764939,0.041304731571834626,212,hc,0.4026420690795176,0.4247240474276966
cuneus,rh,0.45839293930318165,0.015622586279131054,0.03408121055023113,212,hc,0.4463204372538447,0.4707978552601654
eTIV,lh,0.0038149360233093147,9.756365432401866e-05,0.025574125942847616,212,hc,0.0037144636577674237,0.003918174875160655
eTIV,rh,0.0038149360233093147,9.756365432401866e-05,0.025574125942847616,212,hc,0.0037144636577674237,0.003918174875160655
entorhinal,lh,0.5306571915680868,0.041129343290241135,0.07750642777252172,212,hc,0.5166814963000932,0.5450177047849304
entorhinal,rh,0.4314185549568935,0.03626233919014966,0.08405373105422626,212,hc,0.4200564659230694,0.44309349681934657
frontalpole,lh,0.5476883986263549,0.033111070649397854,0.06045603801804639,212,hc,0.5332641596211342,0.5625098061417122
frontalpole,rh,0.4834339719680689,0.03384231428990473,0.07000400520495492,212,hc,0.4707019747733139,0.4965165421362109
fusiform,lh,0.482814467540932,0.012055078552139315,0.02496834573648585,212,hc,0.47009878597372035,0.49588027283401875
fusiform,rh,0.4416746118842855,0.010723768137290006,0.02427979297143647,212,hc,0.430042413392706,0.45362710061390393
inferiorparietal,lh,0.4220351742469132,0.009372418228796843,0.02220767083104186,212,hc,0.4109202113643408,0.433456185389411
inferiorparietal,rh,0.3683411463167429,0.008367112582823038,0.022715660920564148,212,hc,0.35864030046487677,0.37830910300146864
inferiortemporal,lh,0.4417912277607688,0.012243483920090286,0.027713279827095545,212,hc,0.43015595800589723,0.45374687232029426
inferiortemporal,rh,0.4194972899289662,0.011322915931740929,0.026991630705548175,212,hc,0.40844916623828004,0.4308496214759175
insula,lh,0.6175612185177715,0.019117135377205007,0.03095585474600989,212,hc,0.6012967684425147,0.634273506943616
insula,rh,0.731641535070362,0.020923520332247644,0.028598048811205652,212,hc,0.7123725996785037,0.7514410367096828
isthmuscingulate,lh,0.5994670124710492,0.018801650012310496,0.03136394433916997,212,hc,0.5836791018902973,0.6156896399835752
isthmuscingulate,rh,0.5858901588044135,0.02075120969700746,0.0354182595238552,212,hc,0.570459816108462,0.60174537287259
lateraloccipital,lh,0.3716243596319696,0.009990065354318997,0.026882159620032577,212,hc,0.36183704517188986,0.38168116582058637
lateraloccipital,rh,0.3519287391018794,0.010271033613797668,0.02918498114137908,212,hc,0.3426601399160225,0.3614525472958765
lateralorbitofrontal,lh,0.49921354055096834,0.013309743172220178,0.026661422599896987,212,hc,0.4860659634950918,0.512723133487842
lateralorbitofrontal,rh,0.5329546930210797,0.017096554134667933,0.032078813374839206,212,hc,0.5189184894236128,0.5473773806520378
lingual,lh,0.493763404464432,0.01702482403147975,0.03447972020110722,212,hc,0.4807593653504223,0.5071255071711761
lingual,rh,0.47141445746798966,0.01783244150252318,0.037827523572999566,212,hc,0.4589990131713984,0.4841717585177986
medialorbitofrontal,lh,0.5807894105339761,0.018194146425252595,0.031326580848856984,212,hc,0.565493404099926,0.5965065894183894
medialorbitofrontal,rh,0.4768818397128088,0.01654043065923125,0.03468454715992613,212,hc,0.4643224032695335,0.4897870977040025
middletemporal,lh,0.423232371036343,0.010496386961579991,0.024800529637839696,212,hc,0.4120858780854501,0.4346857804212295
middletemporal,rh,0.3978108579770292,0.008594669149628694,0.021604913433823307,212,hc,0.38733388072367814,0.4085763166847532
