region,npv,num,anat,n,timepoint,hemisphere,npv_CI_low,npv_CI_high
BrainSegVolNotVent,0.23339041300281702,0.003694697517864012,0.015830545352432352,178,pd,,0.22668892757277745,0.2402934844409357
WhiteSurfArea,0.28804488567996556,0.006948020806715023,0.0241213128652271,178,pd,,0.2797740720687895,0.29656449193821205
bankssts,0.6796526564736266,0.04127447207608906,0.06072877326815934,178,pd,,0.6601373631235492,0.6997549853584379
caudalanteriorcingulate,0.6989484125348041,0.05269725586588322,0.0753950576620834,178,pd,,0.6788790680288036,0.7196214588746688
caudalmiddlefrontal,0.5791466297206024,0.029911178689348665,0.0516469874024454,178,pd,,0.5625172290053199,0.5962762560264555
cuneus,0.6644028382539775,0.027378429886247606,0.04120757514853031,178,pd,,0.6453254225069038,0.6840541178294615
eTIV,0.0056665979577228305,9.328435324726913e-05,0.016462144295967703,178,pd,,0.005503889373582688,0.005834200945394762
entoinalarea,0.7419730378775092,0.0988046957461113,0.13316480613467083,178,pd,,0.7206683002970573,0.7639186388973959
frontalpole,0.7715928352600446,0.07142814606312764,0.09257232934136136,178,pd,,0.7494376058447058,0.7944145115851828
fusiform,0.6680757781547082,0.02533248149595248,0.0379185749944764,178,pd,,0.6488928989787239,0.6878356935828668
inferiorparietal,0.5849502812461096,0.018904847865195102,0.032318726003383445,178,pd,,0.5681542366415653,0.6022515642218622
inferiortemporal,0.5513283640648229,0.03067674286109214,0.055641510324118376,178,pd,,0.5354977266731176,0.5676351996114682
insula,0.8607327736344569,0.05242930839579284,0.060912410915189515,178,pd,,0.8360180132145453,0.8861909736911018
isthmuscingulate,0.6630872189845788,0.034793238219701234,0.052471586276360435,178,pd,,0.6440475794394147,0.6826995860199752
lateraloccipital,0.6172342340745672,0.01632353473190847,0.026446256268307444,178,pd,,0.5995112000675002,0.6354903910308419
lateralorbitofrontal,0.6331470989372616,0.05220191075351806,0.08244831389283634,178,pd,,0.6149671488527281,0.6518739163697701
lingual,0.616683454929141,0.02162280998383105,0.03506306162586376,178,pd,,0.5989762357894062,0.6349233212943045
medialorbitofrontal,0.776590229870799,0.04714419932163926,0.060706660357396754,178,pd,,0.754291507127087,0.7995597159176763
middletemporal,0.5414863286956285,0.02812412759104916,0.051938758377882956,178,pd,,0.5259382918434226,0.5575020628539352
paracentral,0.5084636109148292,0.026600190855783457,0.05231483686300445,178,pd,,0.4938637760869526,0.5235026203782833
parahippocampal,0.7643848747373957,0.045049993161418625,0.058936269738324616,178,pd,,0.7424366120170524,0.7869933586448558
parsopercularis,0.8055413548265064,0.03657687168037631,0.0454065721905166,178,pd,,0.7824113402590314,0.8293671386159166
parsorbitalis,0.6144223251146451,0.04003937435024742,0.06516588462630564,178,pd,,0.5967800312146077,0.6325953132372986
parstriangularis,0.7184121284290288,0.03307456981500481,0.046038434634072596,178,pd,,0.6977839100309889,0.7396608600317987
pericalcarine,0.6568108660925225,0.04514234034180302,0.06872958818474234,178,pd,,0.6379514434076774,0.6762375952012051
postcentral,0.699855929595048,0.029831099598715032,0.04262462935189527,178,pd,,0.6797605269820393,0.7205558178904908
posteriorcingulate,0.6129163321768529,0.03404899965353535,0.05555244307588582,178,pd,,0.5953172807973651,0.6310447770095695
precentral,0.3660181931766219,0.01773801109110474,0.04846210221726676,178,pd,,0.35550848304267163,0.3768440437445235
precuneus,0.6896740198044714,0.023666145548416426,0.03431497326102843,178,pd,,0.6698709767585658,0.7100727541246651
rostralanteriorcingulate,0.5950423420420575,0.060837213059061264,0.10224014118101414,178,pd,,0.5779565177609919,0.6126421214973181
rostralmiddlefrontal,0.5684839630937265,0.03727401001875148,0.06556739053095519,178,pd,,0.5521607262183637,0.5852982159080161
superiorfrontal,0.5608080670472925,0.025536013311543475,0.04553431880178365,178,pd,,0.5447052329933474,0.5773952871481197
superiorparietal,0.772725819425551,0.026161527139587304,0.033856157620093426,178,pd,,0.7505380579246824,0.7955810064272081
superiortemporal,0.5293825126675191,0.01972687237080108,0.037263929009288266,178,pd,,0.5141820202826143,0.5450402479447198
supramarginal,0.7868003286601489,0.0315122453771214,0.04005113397802458,178,pd,,0.7642084369409176,0.8100718024383401
temporalpole,0.726422427213567,0.07158497229171681,0.09854455150332377,178,pd,,0.7055642040783822,0.7479080822787829
transversetemporal,0.6543568235079945,0.04232023370700145,0.0646745509279226,178,pd,,0.6355678652883059,0.6737109685244035
