region,hemisphere,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
BrainSegVolNotVent,lh,0.030355567143098408,2903.2051037474494,95639.95592839771,178,pd_baseline & pd_followup,0.029483948689226415,0.0312534045728256
BrainSegVolNotVent,rh,0.030355567143098408,2903.2051037474494,95639.95592839771,178,pd_baseline & pd_followup,0.029483948689226415,0.0312534045728256
WhiteSurfArea,lh,0.055907012777976016,433.3960706611951,7752.087781587339,178,pd_baseline & pd_followup,0.05430171962669255,0.05756059442313778
WhiteSurfArea,rh,0.05404846046518807,416.1927179320143,7700.362125949523,178,pd_baseline & pd_followup,0.0524965330930935,0.05564707104610779
bankssts,lh,0.18870443752467067,30.810707233158947,163.27494804742386,178,pd_baseline & pd_followup,0.18328604855836755,0.1942858159376181
bankssts,rh,0.16784692263531503,21.55661296822989,128.43019478567652,178,pd_baseline & pd_followup,0.16302742858650007,0.1728113908956543
caudalanteriorcingulate,lh,0.173078279469478,23.578534434622984,136.23046465966868,178,pd_baseline & pd_followup,0.1681085741881089,0.17819747743563463
caudalanteriorcingulate,rh,0.1559342620871127,21.27961721700683,136.46530872810345,178,pd_baseline & pd_followup,0.1514568237383141,0.1605463853401131
caudalmiddlefrontal,lh,0.12172542360190416,44.92193690020537,369.04317578815676,178,pd_baseline & pd_followup,0.11823024510576041,0.1253257398451813
caudalmiddlefrontal,rh,0.13065109628285393,43.762976245767845,334.96065085457,178,pd_baseline & pd_followup,0.12689962934428833,0.13451541032859915
cuneus,lh,0.1481708745106963,30.43205262776655,205.3848485963393,178,pd_baseline & pd_followup,0.14391635118253515,0.15255337728206553
cuneus,rh,0.14567525477148302,31.633774468467514,217.15269705956987,178,pd_baseline & pd_followup,0.1414923897394193,0.14998394370825416
eTIV,lh,0.0006346649567915701,101.36746161594382,159718.0694021426,178,pd_baseline & pd_followup,0.0006164414235016913,0.0006534366684468806
eTIV,rh,0.0006346649567915701,101.36746161594382,159718.0694021426,178,pd_baseline & pd_followup,0.0006164414235016913,0.0006534366684468806
entorhinal,lh,0.3538652487120634,30.68232326774342,86.70623458905771,178,pd_baseline & pd_followup,0.34370449370104844,0.3643316473095821
entorhinal,rh,0.3554615972239326,26.06349255005275,73.32294895876854,178,pd_baseline & pd_followup,0.3452550052560525,0.3659752115904103
frontalpole,lh,0.39912326804563486,13.762244960179757,34.481189301662596,178,pd_baseline & pd_followup,0.38766299111658503,0.4109282792133436
frontalpole,rh,0.4256842434633122,16.792910437682348,39.44921780768156,178,pd_baseline & pd_followup,0.4134613045745055,0.4382748580686914
fusiform,lh,0.1601485538281286,56.72848249350195,354.2241321416049,178,pd_baseline & pd_followup,0.15555010787521725,0.16488532469015035
fusiform,rh,0.14377962968163444,54.47424256336387,378.87315945926446,178,pd_baseline & pd_followup,0.1396511949226783,0.14803225103942172
inferiorparietal,lh,0.10342301548454211,62.69410991041299,606.1910844185686,178,pd_baseline & pd_followup,0.10045336552127627,0.10648199487898206
inferiorparietal,rh,0.08622349047903982,57.061352142967586,661.7842982921076,178,pd_baseline & pd_followup,0.08374770127357034,0.08877375339156816
inferiortemporal,lh,0.17791489851592593,74.4483350928584,418.4491333433451,178,pd_baseline & pd_followup,0.17280631635588214,0.18317715088764716
inferiortemporal,rh,0.14237599775268603,62.61207672739777,439.7656748025602,178,pd_baseline & pd_followup,0.13828786635837956,0.14658710338858186
insula,lh,0.28155794573683235,76.29960324594312,270.99076549329254,178,pd_baseline & pd_followup,0.27347339570416035,0.28988568546009097
insula,rh,0.3535650400779437,97.50547426069883,275.77804140138875,178,pd_baseline & pd_followup,0.3434129051458842,0.3640225592976808
isthmuscingulate,lh,0.13586387465973324,27.29785197700252,200.92060560887967,178,pd_baseline & pd_followup,0.13196272994351932,0.13988236890964237
isthmuscingulate,rh,0.15068146913251315,22.928926486771726,152.16819041369607,178,pd_baseline & pd_followup,0.14635485752505048,0.15513822865592108
lateraloccipital,lh,0.0918011270957577,56.84610348491319,619.2309973015588,178,pd_baseline & pd_followup,0.08916518370897428,0.09451636175466453
lateraloccipital,rh,0.09494011035867687,58.67320759547682,618.0023108653833,178,pd_baseline & pd_followup,0.09221403537509415,0.09774818784445136
lateralorbitofrontal,lh,0.17645493664539552,51.24050313594601,290.38860634950163,178,pd_baseline & pd_followup,0.1713882752869729,0.18167400720446417
lateralorbitofrontal,rh,0.3760008900555786,123.49148130561953,328.43401324759003,178,pd_baseline & pd_followup,0.36520454047990447,0.3871220024074323
lingual,lh,0.13051503164163392,48.94976258061277,375.0507659149809,178,pd_baseline & pd_followup,0.1267674716125208,0.1343753212549851
lingual,rh,0.12420438954284602,49.14812907104498,395.7036402009822,178,pd_baseline & pd_followup,0.12063803094156837,0.12787802704539347
medialorbitofrontal,lh,0.2892643397961539,69.10771426644234,238.90851639418432,178,pd_baseline & pd_followup,0.2809585112334762,0.2978200142834731
medialorbitofrontal,rh,0.26401417636261354,60.74238253012861,230.07242780289658,178,pd_baseline & pd_followup,0.2564333715923825,0.27182301776556006
middletemporal,lh,0.16392078832393675,70.48376741716635,429.98675236894195,178,pd_baseline & pd_followup,0.15921402783407806,0.16876913191026569
middletemporal,rh,0.1122045270589861,49.401279293671536,440.27884247220436,178,pd_baseline & pd_followup,0.10898272804164087,0.11552324035146035
paracentral,lh,0.1562365180242913,26.64313637025316,170.53078695795526,178,pd_baseline & pd_followup,0.15175040081103944,0.1608575812088857
paracentral,rh,0.13542905886183432,29.44997090859096,217.4568084286551,178,pd_baseline & pd_followup,0.13154039928456368,0.13943469240989756
parahippocampal,lh,0.2565382315965514,20.82925752121394,81.19358035480408,178,pd_baseline & pd_followup,0.2491720883211134,0.2641259543163285
parahippocampal,rh,0.2746283636826619,21.510245995811992,78.3249250272906,178,pd_baseline & pd_followup,0.2667427870892791,0.2827511446874334
parsopercularis,lh,0.1917099907251153,45.039197276045314,234.93401207569343,178,pd_baseline & pd_followup,0.18620530142315211,0.197380265456411
parsopercularis,rh,0.14242088787096888,24.84649692975264,174.45823643694163,178,pd_baseline & pd_followup,0.1383314675185182,0.14663332123789438
parsorbitalis,lh,0.2074892658240801,19.382842656728354,93.41612241841035,178,pd_baseline & pd_followup,0.20153149629139197,0.21362624979954928
parsorbitalis,rh,0.19700757757952764,23.17344134458843,117.62715743882399,178,pd_baseline & pd_followup,0.19135077534086561,0.2028345409255575
parstriangularis,lh,0.15511127679896217,31.9433350660605,205.93818660561905,178,pd_baseline & pd_followup,0.15065746934333832,0.15969905832273928
parstriangularis,rh,0.15103466633734655,32.10416494922886,212.5615643598136,178,pd_baseline & pd_followup,0.1466979131568361,0.15550187250038006
pericalcarine,lh,0.18822002839950278,43.67720510131575,232.05397147539233,178,pd_baseline & pd_followup,0.18281554857647905,0.19378707927108596
pericalcarine,rh,0.19600334205339173,48.428861031542404,247.0818126067987,178,pd_baseline & pd_followup,0.1903753750597603,0.20180060276730222
postcentral,lh,0.15983120884557675,78.98556113468747,494.18109082188397,178,pd_baseline & pd_followup,0.15524187501835005,0.16455859348193097
postcentral,rh,0.11264222447271004,52.77790061598971,468.5445521255333,178,pd_baseline & pd_followup,0.10940785757477751,0.11597388369760858
posteriorcingulate,lh,0.1626071364585966,26.502139637370533,162.98263541538086,178,pd_baseline & pd_followup,0.15793809567933978,0.16741662569544907
posteriorcingulate,rh,0.15868507794354397,29.259498084832526,184.38720555213322,178,pd_baseline & pd_followup,0.15412865369234513,0.16337856305766688
precentral,lh,0.11545659775306602,58.8129190471387,509.3941809451672,178,pd_baseline & pd_followup,0.11214141998852446,0.11887149869966972
precentral,rh,0.1155289641520392,67.43355601698562,583.6939378097536,178,pd_baseline & pd_followup,0.11221170848565881,0.11894600550542055
precuneus,lh,0.15937023162851824,67.95507209680478,426.39752356766155,178,pd_baseline & pd_followup,0.15479413412948492,0.16408398177740677
precuneus,rh,0.08506036147709087,36.045193950295705,423.76017835291805,178,pd_baseline & pd_followup,0.08261796992476202,0.08757622210852764
rostralanteriorcingulate,lh,0.19929263429974126,36.77239626476254,184.5145777412722,178,pd_baseline & pd_followup,0.19357021979311884,0.20518718358290042
rostralanteriorcingulate,rh,0.18251993407726114,23.60368252768541,129.3211212628091,178,pd_baseline & pd_followup,0.17727912464051798,0.18791839122725915
rostralmiddlefrontal,lh,0.21722311535583758,156.26000516281556,719.3525647896306,178,pd_baseline & pd_followup,0.2109858516915097,0.22364800086856831
rostralmiddlefrontal,rh,0.1499839306236398,106.24460793679793,708.3732736902425,178,pd_baseline & pd_followup,0.1456773478772343,0.15442005880193102
superiorfrontal,lh,0.15710741633191566,143.8844072629623,915.834596623895,178,pd_baseline & pd_followup,0.15259629246888542,0.16175423838618905
superiorfrontal,rh,0.11145444756605938,100.4784276610541,901.5201264310268,178,pd_baseline & pd_followup,0.10825418605202693,0.11475097549000317
superiorparietal,lh,0.15408348541932573,97.29083212491028,631.4163510783856,178,pd_baseline & pd_followup,0.14965918958274027,0.15864086759110793
superiorparietal,rh,0.11421398799211685,65.28790139945025,571.6278938089131,178,pd_baseline & pd_followup,0.11093449006163997,0.11759213582688886
superiortemporal,lh,0.13267984371472918,59.150267089862524,445.81200455013857,178,pd_baseline & pd_followup,0.12887012407768714,0.13660416274642026
superiortemporal,rh,0.1210055566559691,43.06793200865536,355.91697768972546,178,pd_baseline & pd_followup,0.11753104815131164,0.12458458113798752
supramarginal,lh,0.13015013447544996,86.74996720873945,666.5376686575993,178,pd_baseline & pd_followup,0.12641305196771907,0.1339996313952482
supramarginal,rh,0.11244878292438837,57.26017250435979,509.2111360855019,178,pd_baseline & pd_followup,0.10921997043505799,0.11577472065965937
temporalpole,lh,0.38400228526377256,27.710606757699512,72.16260897683199,178,pd_baseline & pd_followup,0.37297618660493004,0.3953600577338211
temporalpole,rh,0.37328390248025217,25.151374558422184,67.37867449227272,178,pd_baseline & pd_followup,0.3625655674743086,0.3843246535221118
transversetemporal,lh,0.19408582359769685,13.393013116760608,69.00562271112489,178,pd_baseline & pd_followup,0.18851291551512925,0.19982636918473787
transversetemporal,rh,0.25031828229921077,10.274668651747263,41.04641721480708,178,pd_baseline & pd_followup,0.2431307363322715,0.25772203536150023
