region,npv,num,anat,n,timepoint,hemisphere,npv_CI_low,npv_CI_high
BrainSegVolNotVent,0.030355567143098408,2903.2051037474494,95639.95592839771,178,pd_baseline & pd_followup,,0.029483948689226415,0.0312534045728256
WhiteSurfArea,0.05499180975526051,424.8814731923486,7726.2682403665485,178,pd_baseline & pd_followup,,0.053412795402850335,0.05661832211439247
bankssts,0.18101606935983236,26.58935165502809,146.88945433994874,178,pd_baseline & pd_followup,,0.1758184413347116,0.18637004616702574
caudalanteriorcingulate,0.1647147073328965,22.45851058047968,136.34793725547487,178,pd_baseline & pd_followup,,0.1599851505481827,0.16958653294474832
caudalmiddlefrontal,0.12583558157545655,44.34624282142554,352.4141762306998,178,pd_baseline & pd_followup,,0.12222238553343104,0.12955746542619595
cuneus,0.14685889923029916,31.038729953567852,211.35069182899136,178,pd_baseline & pd_followup,,0.142642047471904,0.15120259724114243
eTIV,0.0006346649567915701,101.36746161594382,159718.0694021426,178,pd_baseline & pd_followup,,0.0006164414235016913,0.0006534366684468806
entoinalarea,0.3545317208284646,28.466740285928108,80.2939162098315,178,pd_baseline & pd_followup,,0.34435182898522027,0.36501783190933623
frontalpole,0.41438964751951457,15.352544207915733,37.04857083137615,178,pd_baseline & pd_followup,,0.4024910174537726,0.4266461978346704
fusiform,0.15163437991290954,55.612785530252665,366.75578165184965,178,pd_baseline & pd_followup,,0.14728040678005777,0.15611932401813725
inferiorparietal,0.09445987338014004,59.94392932500629,634.5967571200381,178,pd_baseline & pd_followup,,0.09174758774237159,0.09725374672561839
inferiortemporal,0.16024906837583308,68.7852700445963,429.23974998265703,178,pd_baseline & pd_followup,,0.1556477362856195,0.164988812192461
insula,0.3202217175859146,87.54697872083347,273.39488208617473,178,pd_baseline & pd_followup,,0.3110269904025048,0.32969302947097456
isthmuscingulate,0.14144492109207824,25.208216838901187,178.21931423392056,178,pd_baseline & pd_followup,,0.1373835242863739,0.1456284879416981
lateraloccipital,0.09338069188962621,57.76687965850059,618.6169591330474,178,pd_baseline & pd_followup,,0.09069939346740785,0.09614264589948204
lateralorbitofrontal,0.30497310482713946,94.54029595014252,309.99551912529637,178,pd_baseline & pd_followup,,0.29621622063357866,0.31399340305721796
lingual,0.12722975412906293,49.04904610633348,385.5155300903727,178,pd_baseline & pd_followup,,0.12357652633536971,0.13099287391837747
medialorbitofrontal,0.27740186507309444,65.05963881919693,234.532088679555,178,pd_baseline & pd_followup,,0.26943665119333365,0.2856066789171139
middletemporal,0.13986093559780743,60.862335911335755,435.1632258942924,178,pd_baseline & pd_followup,,0.1358450207618836,0.14399765234384673
paracentral,0.14370809069171678,28.081644379921563,195.40753930244907,178,pd_baseline & pd_followup,,0.1395817100766839,0.14795859611529896
parahippocampal,0.2654120544352729,21.17248983569709,79.77214855876304,178,pd_baseline & pd_followup,,0.2577911115144796,0.27326224137625243
parsopercularis,0.17578133453050115,36.372226361268666,206.91745490734937,178,pd_baseline & pd_followup,,0.17073401473243024,0.18098048171971
parsorbitalis,0.2011263650931187,21.362384852897026,106.21374697945015,178,pd_baseline & pd_followup,,0.19535129752317493,0.20707515128559262
parstriangularis,0.1530220317964374,32.02385097259467,209.27608003006688,178,pd_baseline & pd_followup,,0.14862821414401095,0.157548018976057
pericalcarine,0.19239477342495387,46.11427558942485,239.68569815339777,178,pd_baseline & pd_followup,,0.1868704215274853,0.1980853022182556
postcentral,0.1394965621714637,67.1722623602657,481.53346085834147,178,pd_baseline & pd_followup,,0.13549110981845128,0.14362250171479
posteriorcingulate,0.16041715427707975,27.91488521859802,174.01433995258492,178,pd_baseline & pd_followup,,0.15581099583087452,0.1651618696303236
precentral,0.11549768280793152,63.27022966585955,547.8051864562137,178,pd_baseline & pd_followup,,0.1121813253424201,0.11891379894184786
precuneus,0.12795864256796213,54.39277447693016,425.08089633758624,178,pd_baseline & pd_followup,,0.12428448574299227,0.13174332095044855
rostralanteriorcingulate,0.1939278482071092,30.8977584617435,159.32605217557824,178,pd_baseline & pd_followup,,0.18835947617109425,0.199663721299712
rostralmiddlefrontal,0.18716407852968678,133.61344604703348,713.8840267676715,178,pd_baseline & pd_followup,,0.18178991885810533,0.19269989719557384
superiorfrontal,0.13656127773098936,124.09399074623171,908.7055482205078,178,pd_baseline & pd_followup,,0.1326401080426236,0.14060039932012852
superiorparietal,0.13756299625990923,82.8493092448628,602.2645006098056,178,pd_baseline & pd_followup,,0.1336130635986339,0.14163174603504392
superiortemporal,0.12826181430292496,51.73780467078321,403.37652287211836,178,pd_baseline & pd_followup,,0.12457895231762518,0.13205545970388288
supramarginal,0.12392097522499071,73.49926586689969,593.1140045779542,178,pd_baseline & pd_followup,,0.12036275447692363,0.12758623008123504
temporalpole,0.37904783373548495,26.46194785969004,69.81163194869032,178,pd_baseline & pd_followup,,0.3681639953533328,0.3902590666266518
transversetemporal,0.21023891545948858,11.936113610571065,56.77404482649675,178,pd_baseline & pd_followup,,0.2042021935108365,0.21645722680234536
