region,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
3rd-Ventricle,0.051232818778413895,37.897960520081774,739.720386730887,178,pd_baseline & pd_followup,0.049761738693478046,0.05274815012151971
4th-Ventricle,0.06478816933013647,43.41031515133773,670.0346004551367,178,pd_baseline & pd_followup,0.06292786595598028,0.06670443210835719
5th-Ventricle,0.9163302415384903,0.3918609061253135,0.42764157326881524,178,pd_baseline & pd_followup,0.8900190761235651,0.9434328677212221
Brain-Stem,0.08530572188646474,189.42409767078854,2220.5321458142894,178,pd_baseline & pd_followup,0.08285628514668636,0.08782883963018903
BrainSegVol,0.02815568923077042,2896.1926016782004,102863.4951160438,178,pd_baseline & pd_followup,0.027347237252280405,0.028988460087331403
BrainSegVol-to-eTIV,0.06531824080805924,0.001910276440101244,0.029245681091055135,178,pd_baseline & pd_followup,0.06344271715882631,0.06725018169932812
BrainSegVolNotVent,0.030355567143098408,2903.2051037474494,95639.95592839771,178,pd_baseline & pd_followup,0.029483948689226415,0.0312534045728256
CC_Anterior,0.21811156926356803,33.57004958095477,153.91228303157277,178,pd_baseline & pd_followup,0.21184879486449612,0.22456273289421985
CC_Central,0.25356073272767826,28.59254084329583,112.7640724796451,178,pd_baseline & pd_followup,0.24628008424626793,0.261060388902072
CC_Mid_Anterior,0.2741299177375289,31.507658387742048,114.93695634458139,178,pd_baseline & pd_followup,0.2662586533354482,0.2822379560289086
CC_Mid_Posterior,0.25930231764274553,27.32503242404179,105.37905203643002,178,pd_baseline & pd_followup,0.25185680742961875,0.2669717947207779
CC_Posterior,0.3179157345740165,53.81487448321241,169.27402022212064,178,pd_baseline & pd_followup,0.30878722052831586,0.3273188415775588
CSF,0.15448700818788677,50.915037505298436,329.5748820727739,178,pd_baseline & pd_followup,0.15005112574875235,0.15905632549643164
CerebralWhiteMatterVol,0.038978403553871326,1916.6853607781488,49173.00828211534,178,pd_baseline & pd_followup,0.0378591921854964,0.040131281689756645
CortexVol,0.03332707286130132,1354.806005034659,40651.81513759135,178,pd_baseline & pd_followup,0.0323701316984988,0.0343127995748582
EstimatedTotalIntraCranialVol,0.0006346649567915701,101.36746161594382,159718.0694021426,178,pd_baseline & pd_followup,0.0006164414235016913,0.0006534366684468806
Left-Accumbens-area,0.2822639121881772,24.262975667577596,85.95847580898747,178,pd_baseline & pd_followup,0.2741590912976456,0.29061253253281116
Left-Amygdala,0.24135828769905354,51.595241060454704,213.77033103909042,178,pd_baseline & pd_followup,0.23442801568134655,0.24849702780723637
Left-Caudate,0.09848817616444784,43.93916450550305,446.13644212617845,178,pd_baseline & pd_followup,0.09566022334022772,0.10140119605727864
Left-Cerebellum-Cortex,0.06081143427855584,313.3030472966644,5152.041733821522,178,pd_baseline & pd_followup,0.059065317394171944,0.06261007574663646
Left-Cerebellum-White-Matter,0.186814788519207,382.6099063808471,2048.0707625644413,178,pd_baseline & pd_followup,0.18145065823094927,0.19234027610994858
Left-Hippocampus,0.14433850545335386,58.4802472063028,405.1604041667313,178,pd_baseline & pd_followup,0.14019402334355247,0.14860765687905428
Left-Inf-Lat-Vent,0.08058054662355306,34.51419319236603,428.31917427422616,178,pd_baseline & pd_followup,0.07826678680713829,0.08296390617422289
Left-Lateral-Ventricle,0.009725324884655256,91.74825758568187,9433.95297060394,178,pd_baseline & pd_followup,0.009446075526558736,0.01001297428539083
Left-Pallidum,0.19818349908777444,50.478233524197556,254.70452260932686,178,pd_baseline & pd_followup,0.19249293187670846,0.20404524308341457
Left-Putamen,0.16988166447665623,87.4456906473481,514.7447249044595,178,pd_baseline & pd_followup,0.16500374560812311,0.17490631502172688
Left-Thalamus,0.1648717508292492,128.67435827047305,780.4512151007343,178,pd_baseline & pd_followup,0.16013768475604684,0.16974822137257128
Left-VentralDC,0.1661362250683754,63.8300546401719,384.203111716917,178,pd_baseline & pd_followup,0.1613658513526219,0.17105009541699384
Left-WM-hypointensities,,0.0,0.0,178,pd_baseline & pd_followup,,
Left-choroid-plexus,0.20029338915090802,45.60802351642959,227.70608510731682,178,pd_baseline & pd_followup,0.19454223934206025,0.20621753811702231
Left-non-WM-hypointensities,,0.0,0.0,178,pd_baseline & pd_followup,,
Left-vessel,0.28073620659782494,8.389681628164047,29.884572887254535,178,pd_baseline & pd_followup,0.2726752516768651,0.2890396414496577
MaskVol,0.018628551058481338,2658.434709825405,142707.54077865087,178,pd_baseline & pd_followup,0.018093657778611896,0.019179534353342666
MaskVol-to-eTIV,0.04948124930551216,0.0017925538766616351,0.0362269324606957,178,pd_baseline & pd_followup,0.048060463134329365,0.050944773853965605
Optic-Chiasm,0.4095681111778205,13.837696290726983,33.78606857582994,178,pd_baseline & pd_followup,0.397807924911584,0.4216820531939465
Right-Accumbens-area,0.265057522864329,21.687191215897872,81.82069681153162,178,pd_baseline & pd_followup,0.2574467598310752,0.2728972236986608
Right-Amygdala,0.18912281682829984,41.17725275470958,217.7275774825913,178,pd_baseline & pd_followup,0.18369241467443076,0.1947165697950433
Right-Caudate,0.1338197793129109,61.26935937327972,457.8498013362698,178,pd_baseline & pd_followup,0.12997732798948933,0.13777781462612296
Right-Cerebellum-Cortex,0.07052483034334275,378.17510526326504,5362.297270651473,178,pd_baseline & pd_followup,0.06849980662055506,0.07261076838920164
Right-Cerebellum-White-Matter,0.23005671556025808,439.8299920059275,1911.8328753620935,178,pd_baseline & pd_followup,0.22345095267748186,0.23686118504081144
Right-Hippocampus,0.1268053164948038,51.152312325702404,403.39248968160183,178,pd_baseline & pd_followup,0.12316427584532681,0.13055588254091777
Right-Inf-Lat-Vent,0.07741593378092648,29.98547373608065,387.32948466312223,178,pd_baseline & pd_followup,0.07519304147952109,0.0797056924495139
