region,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
3rd-Ventricle,0.051232818778413895,37.897960520081774,739.720386730887,178,pd_baseline & pd_followup,0.049761738693478046,0.05274815012151971
4th-Ventricle,0.06478816933013647,43.41031515133773,670.0346004551367,178,pd_baseline & pd_followup,0.06292786595598028,0.06670443210835719
5th-Ventricle,0.9163302415384903,0.3918609061253135,0.42764157326881524,178,pd_baseline & pd_followup,0.8900190761235651,0.9434328677212221
Accumbens-area,0.2275425304368324,34.84426693201316,153.13298513961198,178,pd_baseline & pd_followup,0.22100895892968417,0.23427263696780112
Amygdala,0.1736830379857382,69.84091040009616,402.11704729526366,178,pd_baseline & pd_followup,0.16869596789347874,0.1788201231100983
Brain-Stem,0.08530572188646474,189.42409767078854,2220.5321458142894,178,pd_baseline & pd_followup,0.08285628514668636,0.08782883963018903
BrainSegVol,0.02815568923077042,2896.1926016782004,102863.4951160438,178,pd_baseline & pd_followup,0.027347237252280405,0.028988460087331403
BrainSegVol-to-eTIV,0.06531824080805924,0.001910276440101244,0.029245681091055135,178,pd_baseline & pd_followup,0.06344271715882631,0.06725018169932812
BrainSegVolNotVent,0.030355567143098408,2903.2051037474494,95639.95592839771,178,pd_baseline & pd_followup,0.029483948689226415,0.0312534045728256
CC_Anterior,0.21811156926356803,33.57004958095477,153.91228303157277,178,pd_baseline & pd_followup,0.21184879486449612,0.22456273289421985
CC_Central,0.25356073272767826,28.59254084329583,112.7640724796451,178,pd_baseline & pd_followup,0.24628008424626793,0.261060388902072
CC_Mid_Anterior,0.2741299177375289,31.507658387742048,114.93695634458139,178,pd_baseline & pd_followup,0.2662586533354482,0.2822379560289086
CC_Mid_Posterior,0.25930231764274553,27.32503242404179,105.37905203643002,178,pd_baseline & pd_followup,0.25185680742961875,0.2669717947207779
CC_Posterior,0.3179157345740165,53.81487448321241,169.27402022212064,178,pd_baseline & pd_followup,0.30878722052831586,0.3273188415775588
CSF,0.15448700818788677,50.915037505298436,329.5748820727739,178,pd_baseline & pd_followup,0.15005112574875235,0.15905632549643164
Caudate,0.09128990627429992,81.05597510736031,887.896355855711,178,pd_baseline & pd_followup,0.08866864189186141,0.09399002037274425
Cerebellum-Cortex,0.05005012996618369,519.8030716445387,10385.648788439572,178,pd_baseline & pd_followup,0.048613009167498965,0.05153048050071708
Cerebellum-White-Matter,0.16491467217858846,638.8625645730684,3873.897671647038,178,pd_baseline & pd_followup,0.16017937367774035,0.1697924122219594
CerebralWhiteMatterVol,0.038978403553871326,1916.6853607781488,49173.00828211534,178,pd_baseline & pd_followup,0.0378591921854964,0.040131281689756645
CortexVol,0.03332707286130132,1354.806005034659,40651.81513759135,178,pd_baseline & pd_followup,0.0323701316984988,0.0343127995748582
EstimatedTotalIntraCranialVol,0.0006346649567915701,101.36746161594382,159718.0694021426,178,pd_baseline & pd_followup,0.0006164414235016913,0.0006534366684468806
Hippocampus,0.10699989924920164,82.97341659034029,775.4532216623502,178,pd_baseline & pd_followup,0.10392754397715552,0.1101646734097402
Inf-Lat-Vent,0.06037288357236096,47.6883360176766,789.8966091377583,178,pd_baseline & pd_followup,0.05863935906968669,0.0621585538698817
Lateral-Ventricle,0.00748611028202824,134.59461139926162,17979.245072354905,178,pd_baseline & pd_followup,0.007271156898394286,0.007707529634286946
MaskVol,0.018628551058481338,2658.434709825405,142707.54077865087,178,pd_baseline & pd_followup,0.018093657778611896,0.019179534353342666
MaskVol-to-eTIV,0.04948124930551216,0.0017925538766616351,0.0362269324606957,178,pd_baseline & pd_followup,0.048060463134329365,0.050944773853965605
Optic-Chiasm,0.4095681111778205,13.837696290726983,33.78606857582994,178,pd_baseline & pd_followup,0.397807924911584,0.4216820531939465
Pallidum,0.15875783264010515,75.30421940300744,474.3338841978132,178,pd_baseline & pd_followup,0.1541993193376351,0.16345346964582186
Putamen,0.14276942715673338,145.57194850851928,1019.6297022941003,178,pd_baseline & pd_followup,0.13866999897698892,0.14699216939435183
SubCortGrayVol,0.06924289670131022,337.602750644703,4875.63008955278,178,pd_baseline & pd_followup,0.06725468194386873,0.0712909185388895
SupraTentorialVol,0.029831783550033398,2841.0713349244943,95236.38873818905,178,pd_baseline & pd_followup,0.028975204823253265,0.030714128845724224
SupraTentorialVolNotVent,0.032408218612408085,2844.9020452519376,87783.35147871145,178,pd_baseline & pd_followup,0.031477661088428005,0.03336676804631701
SurfaceHoles,0.3899165902363428,8.315700388258191,21.326869890859836,178,pd_baseline & pd_followup,0.37872067042635466,0.40144929221273734
Thalamus,0.12460393154575614,191.49185442416032,1536.80427293614,178,pd_baseline & pd_followup,0.12102610064415242,0.12828938644454163
TotalGrayVol,0.02897317814332906,1474.4858934799565,50891.410192756164,178,pd_baseline & pd_followup,0.028141253092546805,0.029830128160853238
TotalVentricle,0.051232818778413895,37.897960520081774,739.720386730887,178,pd_baseline & pd_followup,0.049761738693478046,0.05274815012151971
VentralDC,0.13918723773914293,104.79576397046706,752.912161148492,178,pd_baseline & pd_followup,0.13519066721272177,0.14330402828347483
WM-hypointensities,0.08637086264181935,195.3681964886356,2261.968799580352,178,pd_baseline & pd_followup,0.083890841846933,0.08892548443333749
choroid-plexus,0.16041117224575793,71.18186573372803,443.74630979364616,178,pd_baseline & pd_followup,0.155805185565373,0.16515571066632906
non-WM-hypointensities,0.9054474576268624,0.9039969825788514,0.9983980571862087,178,pd_baseline & pd_followup,0.8794487764176238,0.9322281998306381
vessel,0.21274318064814715,12.820500187778277,60.262802072992955,178,pd_baseline & pd_followup,0.20663455216118087,0.21903556153514195
