region,hemisphere,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
BrainSegVolNotVent,lh,0.030355567143098408,2903.2051037474494,95639.95592839771,178,pd_baseline & pd_followup,0.029483948689226415,0.0312534045728256
BrainSegVolNotVent,rh,0.030355567143098408,2903.2051037474494,95639.95592839771,178,pd_baseline & pd_followup,0.029483948689226415,0.0312534045728256
MeanThickness,lh,0.1161681411268485,0.009077630000364026,0.07814216455828289,178,pd_baseline & pd_followup,0.11283253237077266,0.1196040876454504
MeanThickness,rh,0.10153133747309719,0.00809400045489696,0.07971923404477589,178,pd_baseline & pd_followup,0.09861600444799912,0.10453436603269815
bankssts,lh,0.17573682386954856,0.02421384080294622,0.13778467295460187,178,pd_baseline & pd_followup,0.1706907821340254,0.18093465455107244
bankssts,rh,0.16389119026528723,0.02132660760354399,0.13012662589748147,178,pd_baseline & pd_followup,0.15918527964306553,0.16873865841928515
caudalanteriorcingulate,lh,0.21287322382774948,0.04158523283955246,0.19535210719222237,178,pd_baseline & pd_followup,0.20676086132933788,0.21916945104822166
caudalanteriorcingulate,rh,0.2192716401728447,0.03840067466905879,0.17512832320125296,178,pd_baseline & pd_followup,0.21297555592956663,0.22575711563429107
caudalmiddlefrontal,lh,0.20116572774478578,0.02130149117694062,0.10589025981585352,178,pd_baseline & pd_followup,0.19538952993031636,0.20711567818043897
caudalmiddlefrontal,rh,0.15249916513457795,0.01915576283482137,0.12561224724028314,178,pd_baseline & pd_followup,0.1481203608808221,0.1570096873005623
cuneus,lh,0.21217912780876474,0.027560373736917686,0.12989201162970948,178,pd_baseline & pd_followup,0.20608669532503726,0.21845482550387074
cuneus,rh,0.22713638477460632,0.028737111725429074,0.1265191913393607,178,pd_baseline & pd_followup,0.22061447518279925,0.2338544785905515
eTIV,lh,0.0006346649567915701,101.36746161594382,159718.0694021426,178,pd_baseline & pd_followup,0.0006164414235016913,0.0006534366684468806
eTIV,rh,0.0006346649567915701,101.36746161594382,159718.0694021426,178,pd_baseline & pd_followup,0.0006164414235016913,0.0006534366684468806
entorhinal,lh,0.35428640963826535,0.09511323047782258,0.2684642365337564,178,pd_baseline & pd_followup,0.34411356156920947,0.3647652650626225
entorhinal,rh,0.3238611849342838,0.09455544184062993,0.2919628724875339,178,pd_baseline & pd_followup,0.3145619554403703,0.33344014264240585
frontalpole,lh,0.3861425128505325,0.08097429935750644,0.2097005552684375,178,pd_baseline & pd_followup,0.37505496049354914,0.39756358759480537
frontalpole,rh,0.33126759676580614,0.07750161115787005,0.23395469980923247,178,pd_baseline & pd_followup,0.3217557023198956,0.34106561655670753
fusiform,lh,0.2521431272913335,0.02526572112142562,0.10020388575665153,178,pd_baseline & pd_followup,0.244903183404662,0.2596008544444266
fusiform,rh,0.24695453935746728,0.025295584489023252,0.10243012562084487,178,pd_baseline & pd_followup,0.23986357865306926,0.2542588017957522
inferiorparietal,lh,0.1491675941598188,0.01534581184647172,0.10287631125853079,178,pd_baseline & pd_followup,0.14488445139472153,0.15357957726353394
inferiorparietal,rh,0.1547820774975931,0.014766772541930059,0.09540363316392161,178,pd_baseline & pd_followup,0.15033772254815114,0.15936012217628953
inferiortemporal,lh,0.18647823129265537,0.024989769903445272,0.13400904615095155,178,pd_baseline & pd_followup,0.18112376478330397,0.19199376441034038
inferiortemporal,rh,0.17365871175511394,0.022625215203568316,0.13028551792710188,178,pd_baseline & pd_followup,0.16867234015718421,0.1787950773738797
insula,lh,0.3056920817355895,0.04208188615794447,0.1376610277865931,178,pd_baseline & pd_followup,0.29691455310674736,0.31473364540197074
insula,rh,0.30968383427455354,0.04330490350113794,0.1398358542110581,178,pd_baseline & pd_followup,0.30079168794939726,0.3188434634286523
isthmuscingulate,lh,0.22799638726202964,0.0323595764293928,0.1419302157283873,178,pd_baseline & pd_followup,0.22144978387896908,0.2347399176780959
isthmuscingulate,rh,0.2285020880945655,0.03292617629737955,0.14409573484402063,178,pd_baseline & pd_followup,0.22194096420606685,0.23526057580441428
lateraloccipital,lh,0.1563591580064173,0.01752654882084823,0.11209160399884542,178,pd_baseline & pd_followup,0.15186951935437631,0.16098384855747844
lateraloccipital,rh,0.1605999762583585,0.01703051737440053,0.10604308774618619,178,pd_baseline & pd_followup,0.15598856832984562,0.1653500990025101
lateralorbitofrontal,lh,0.2554647284838319,0.025045176640368854,0.09803770872405948,178,pd_baseline & pd_followup,0.248129409377118,0.2630206998193906
lateralorbitofrontal,rh,0.29073684199193134,0.03295188603754401,0.11333921704514664,178,pd_baseline & pd_followup,0.282388732549402,0.29933606920157296
lingual,lh,0.26534083914007955,0.029430316156561998,0.1109151393805047,178,pd_baseline & pd_followup,0.2577219410687597,0.2731889197208882
lingual,rh,0.24416880951777475,0.030657735568956755,0.12555958981617987,178,pd_baseline & pd_followup,0.23715783722289424,0.2513906774316091
medialorbitofrontal,lh,0.31206672031421556,0.032200793432249124,0.1031856053084629,178,pd_baseline & pd_followup,0.30310615268644114,0.32129682893809647
medialorbitofrontal,rh,0.24131909589036663,0.029052756382381376,0.12039145213597309,178,pd_baseline & pd_followup,0.23438994921166353,0.2484566768084539
middletemporal,lh,0.16920618039872332,0.02088535235412418,0.12343138001761644,178,pd_baseline & pd_followup,0.16434765712852797,0.17421085191044255
middletemporal,rh,0.1572963800223208,0.01759863940486122,0.11188203696972507,178,pd_baseline & pd_followup,0.15277983032623357,0.161948791123022
paracentral,lh,0.2380881462004123,0.031175013818814653,0.13093895818136564,178,pd_baseline & pd_followup,0.2312517718082562,0.24513016416783778
paracentral,rh,0.2152319182230028,0.029412838288403506,0.1366564891083149,178,pd_baseline & pd_followup,0.2090518290518443,0.22159790938836732
parahippocampal,lh,0.15646664972721844,0.032794668021619434,0.20959525930153905,178,pd_baseline & pd_followup,0.15197392459792444,0.16109451959922147
parahippocampal,rh,0.16239698278918976,0.030101688073793504,0.18535866588647776,178,pd_baseline & pd_followup,0.1577339762841582,0.16720025623605228
parsopercularis,lh,0.17849271523841007,0.019881409861507434,0.11138499313516594,178,pd_baseline & pd_followup,0.17336754186411227,0.18377205790129678
parsopercularis,rh,0.17841800257269239,0.019471161220481554,0.10913226770683339,178,pd_baseline & pd_followup,0.17329497447006323,0.1836951354324336
parsorbitalis,lh,0.2627664451678808,0.04173721873616637,0.15883770360976104,178,pd_baseline & pd_followup,0.2552214672866574,0.27053838198052305
parsorbitalis,rh,0.26549439663586943,0.03936482686075234,0.14826989706581997,178,pd_baseline & pd_followup,0.2578710893717834,0.27334701904146713
parstriangularis,lh,0.22208780662315522,0.02606993652312549,0.1173857174759787,178,pd_baseline & pd_followup,0.21571086002485362,0.22865657684353366
parstriangularis,rh,0.2160502022739278,0.02443939799973509,0.11311907020919441,178,pd_baseline & pd_followup,0.20984661719917003,0.2224403961183464
pericalcarine,lh,0.25906985682467387,0.042221713232412,0.1629742408086698,178,pd_baseline & pd_followup,0.2516310214049344,0.26673245832622877
pericalcarine,rh,0.28943850458048753,0.04525604473585785,0.15635806577100725,178,pd_baseline & pd_followup,0.28112767511503234,0.2979993304017145
postcentral,lh,0.25204175964175685,0.02566516915041565,0.10182903494601532,178,pd_baseline & pd_followup,0.24480472638803713,0.25949648860774566
postcentral,rh,0.14202393239724415,0.01511440868983022,0.10642156173760123,178,pd_baseline & pd_followup,0.1379459100764834,0.1462246248706273
posteriorcingulate,lh,0.2037215299178212,0.026027126830069462,0.1277583515133059,178,pd_baseline & pd_followup,0.1978719457512549,0.20974707422536984
posteriorcingulate,rh,0.23921088201523674,0.027046241972593966,0.11306442978154828,178,pd_baseline & pd_followup,0.23234226980487713,0.24628610754005995
precentral,lh,0.26962455832052645,0.03318252291702897,0.1230693640212921,178,pd_baseline & pd_followup,0.26188265913144515,0.27759933999048014
precentral,rh,0.181426219533364,0.022399235232036855,0.12346195213486037,178,pd_baseline & pd_followup,0.17621681460885527,0.18679232749843921
precuneus,lh,0.13520555720929361,0.014647726010162752,0.10833671568313252,178,pd_baseline & pd_followup,0.1313233151752666,0.1392045801693118
precuneus,rh,0.15939962840947766,0.013839206266176806,0.08682081887057867,178,pd_baseline & pd_followup,0.15482268682222,0.16411424803743518
rostralanteriorcingulate,lh,0.27928900760812153,0.04907029741257977,0.17569720281090231,178,pd_baseline & pd_followup,0.27126960702017433,0.2875496381395773
rostralanteriorcingulate,rh,0.3053623421825409,0.04511018010581326,0.14772672944343312,178,pd_baseline & pd_followup,0.29659428157246626,0.3143941530246249
rostralmiddlefrontal,lh,0.1906379052886179,0.01835276503534342,0.0962702826993304,178,pd_baseline & pd_followup,0.1851639994487516,0.19627647056681016
rostralmiddlefrontal,rh,0.17689358441850528,0.01904944256098281,0.10768871366139833,178,pd_baseline & pd_followup,0.17181432789122977,0.18212562901911653
superiorfrontal,lh,0.1299825107338044,0.015518593971720455,0.11938986163685905,178,pd_baseline & pd_followup,0.12625024131178647,0.133827049786446
superiorfrontal,rh,0.12657287528963823,0.014866346360334973,0.11745286125732811,178,pd_baseline & pd_followup,0.12293850887039082,0.13031656633937264
superiorparietal,lh,0.12857268205772443,0.013533951034209115,0.10526303735448925,178,pd_baseline & pd_followup,0.1248808939314463,0.1323755221050758
superiorparietal,rh,0.1214321373311269,0.012044103267121018,0.0991838201305688,178,pd_baseline & pd_followup,0.1179453801477747,0.12502377894183045
superiortemporal,lh,0.12974548971180289,0.017478017308131276,0.13471001841339006,178,pd_baseline & pd_followup,0.12602002602317014,0.13358301830918987
superiortemporal,rh,0.1171307465216005,0.015522070605621907,0.13251918105686644,178,pd_baseline & pd_followup,0.11376749787258814,0.12059516436308665
supramarginal,lh,0.1484821558945095,0.015621887278542069,0.10521053647443523,178,pd_baseline & pd_followup,0.1442186945485805,0.15287386554632498
supramarginal,rh,0.13403890682922853,0.013911796477975018,0.10378924154983792,178,pd_baseline & pd_followup,0.13019016355988242,0.1380034233550994
temporalpole,lh,0.4117963368094542,0.1072695745535143,0.26049181346445516,178,pd_baseline & pd_followup,0.3999721701019772,0.423976183849345
temporalpole,rh,0.3211462212881217,0.09854799172194578,0.30686330770659076,178,pd_baseline & pd_followup,0.3119249482495902,0.33064487754872407
transversetemporal,lh,0.21124404717556858,0.03838658158309051,0.18171674940116422,178,pd_baseline & pd_followup,0.20517846424902147,0.21749208765747416
transversetemporal,rh,0.20948145815469815,0.03906443185024192,0.186481573091751,178,pd_baseline & pd_followup,0.203466485553102,0.21567736591285314
