region,npv,num,anat,n,timepoint,hemisphere,npv_CI_low,npv_CI_high
BrainSegVolNotVent,0.030355567143098408,2903.2051037474494,95639.95592839771,178,pd_baseline & pd_followup,,0.029483948689226415,0.0312534045728256
MeanThickness,0.10894950600229658,0.008599889818694806,0.07893463801950168,178,pd_baseline & pd_followup,,0.10582117044776125,0.1121719443767148
bankssts,0.17025504538366387,0.02281594046172504,0.13401036316022297,178,pd_baseline & pd_followup,,0.16536640539477293,0.17529073954891386
caudalanteriorcingulate,0.21574763289279406,0.040024638695175536,0.18551600385374312,178,pd_baseline & pd_followup,,0.2095527356826026,0.22212887753477506
caudalmiddlefrontal,0.1743734650047833,0.020257057734839018,0.11617052935366823,178,pd_baseline & pd_followup,,0.16936657024813806,0.17953097113519054
cuneus,0.2195883437672214,0.028154891145575178,0.12821669248264508,178,pd_baseline & pd_followup,,0.21328316581484,0.2260831864837686
eTIV,0.0006346649567915701,101.36746161594382,159718.0694021426,178,pd_baseline & pd_followup,,0.0006164414235016913,0.0006534366684468806
entoinalthickness,0.33814028387392703,0.09483474625263714,0.2804597700284523,178,pd_baseline & pd_followup,,0.32843104964902675,0.3481415795812159
frontalpole,0.3567581087425507,0.07925697725911819,0.2221588670779529,178,pd_baseline & pd_followup,,0.3465142892256033,0.3673100704923601
fusiform,0.24950531701384426,0.025280657214825,0.10132312015387734,178,pd_baseline & pd_followup,,0.24234111422945012,0.25688502471210445
inferiorparietal,0.15178935417524192,0.015059075544873452,0.09921035389272188,178,pd_baseline & pd_followup,,0.1474309311691169,0.15627888200946768
inferiortemporal,0.18036288515057242,0.023836830355931534,0.1321603961703752,178,pd_baseline & pd_followup,,0.1751840124136624,0.185697542495579
insula,0.30772571164605095,0.04269777400434985,0.13875270212539548,178,pd_baseline & pd_followup,,0.29888979012505995,0.3168274247091876
isthmuscingulate,0.22825320616635725,0.032644105687365935,0.14301707404527764,178,pd_baseline & pd_followup,,0.22169922858088892,0.2350043326067007
lateraloccipital,0.15837621807946944,0.017280313012346372,0.10910926666827919,178,pd_baseline & pd_followup,,0.1538286623154222,0.16306056793529855
lateralorbitofrontal,0.27619275142226396,0.029266770118844387,0.10596501887951135,178,pd_baseline & pd_followup,,0.26826225558173217,0.2843618028808405
lingual,0.253666306878472,0.030050293337097977,0.1184638736885725,178,pd_baseline & pd_followup,,0.2463826269802,0.261169085657156
medialorbitofrontal,0.2735234597750944,0.03066719542997354,0.11211906816033164,178,pd_baseline & pd_followup,,0.26566960898116876,0.28161356064314536
middletemporal,0.16394156536774496,0.019312043546168986,0.11779833566215647,178,pd_baseline & pd_followup,,0.15923420829358545,0.16879052348410464
paracentral,0.2264599137618088,0.030306736402844994,0.1338282608140605,178,pd_baseline & pd_followup,,0.21995742810681979,0.23315799935347828
parahippocampal,0.15909648389091888,0.03147699060853968,0.19784843661360366,178,pd_baseline & pd_followup,,0.15452824668250945,0.1638021373053942
parsopercularis,0.17845612597204735,0.019677354717482096,0.1102643835301248,178,pd_baseline & pd_followup,,0.17333200320832207,0.1837343864211605
parsorbitalis,0.2640401674160019,0.040568368352742544,0.15364468501046685,178,pd_baseline & pd_followup,,0.25645861634834005,0.2718497775655991
parstriangularis,0.21920148202972725,0.025267823065207338,0.11527213607880905,178,pd_baseline & pd_followup,,0.21290741228125148,0.22568488239876655
pericalcarine,0.27404551676567634,0.043765183956051196,0.1597004193776787,178,pd_baseline & pd_followup,,0.26617667582167975,0.2821510586994266
postcentral,0.20221844957876325,0.021061175864166067,0.10415061488226288,178,pd_baseline & pd_followup,,0.19641202430147084,0.20819953674334596
posteriorcingulate,0.2200149661752622,0.02654157621420236,0.12063532165834369,178,pd_baseline & pd_followup,,0.2136975383458836,0.22652242725484292
precentral,0.2296586321674644,0.028309058321668648,0.12326581437194145,178,pd_baseline & pd_followup,,0.22306429970302638,0.23645132739361105
precuneus,0.1451482284005476,0.014249201860921646,0.09817000192106987,178,pd_baseline & pd_followup,,0.14098049620749226,0.14944132929048543
rostralanteriorcingulate,0.2903716938813597,0.04713184930245122,0.1623155779147963,178,pd_baseline & pd_followup,,0.2820340691657363,0.29896012097517677
rostralmiddlefrontal,0.183126070934749,0.018704347707507833,0.1021391853821432,178,pd_baseline & pd_followup,,0.17786785710993866,0.1885424560106403
superiorfrontal,0.12831689916358477,0.015195970073749211,0.11842532178381766,178,pd_baseline & pd_followup,,0.12463245549210354,0.1321121738291016
superiorparietal,0.12526525592468732,0.012810703612710842,0.10226861006385495,178,pd_baseline & pd_followup,,0.12166843600107145,0.1289702710503596
superiortemporal,0.12370239355533266,0.016529001253996686,0.13361908997018063,178,pd_baseline & pd_followup,,0.12015044907995237,0.1273611833436194
supramarginal,0.14154305963618638,0.014791576038206217,0.10450230534952104,178,pd_baseline & pd_followup,,0.13747884491686252,0.14572952916450713
temporalpole,0.3618855657446169,0.1030011366377106,0.28462350087319765,178,pd_baseline & pd_followup,,0.35149451833621326,0.3725891841178743
transversetemporal,0.21034179197227468,0.038726989822457536,0.18411457589731942,178,pd_baseline & pd_followup,,0.20430211606573434,0.21656314613042077
