region,hemisphere,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
BrainSegVolNotVent,lh,0.030355567143098408,2903.2051037474494,95639.95592839771,178,pd_baseline & pd_followup,0.029483948689226415,0.0312534045728256
BrainSegVolNotVent,rh,0.030355567143098408,2903.2051037474494,95639.95592839771,178,pd_baseline & pd_followup,0.029483948689226415,0.0312534045728256
bankssts,lh,0.20348942645020113,87.70088125081415,430.98495475034775,178,pd_baseline & pd_followup,0.19764650681619428,0.209508105750754
bankssts,rh,0.17439531179518794,62.145700285365784,356.34960392943634,178,pd_baseline & pd_followup,0.1693877897379364,0.17955346409590234
caudalanteriorcingulate,lh,0.15448353581092117,63.86348651027483,413.39995343218976,178,pd_baseline & pd_followup,0.1500477530763262,0.1590527504157348
caudalanteriorcingulate,rh,0.14039638567741558,52.94185342831547,377.0884355239623,178,pd_baseline & pd_followup,0.1363650961272486,0.1445489396213223
caudalmiddlefrontal,lh,0.11650044515970197,117.99140187387592,1012.7978628075635,178,pd_baseline & pd_followup,0.11315529474934025,0.11994622035313438
caudalmiddlefrontal,rh,0.12676991513566171,123.75084148898046,976.1846204326127,178,pd_baseline & pd_followup,0.12312989098763155,0.13051943410315742
cuneus,lh,0.1221662339872421,65.05768306809286,532.5340803653395,178,pd_baseline & pd_followup,0.11865839822580308,0.1257795882364146
cuneus,rh,0.1507369880796646,85.78274557393374,569.0888922936253,178,pd_baseline & pd_followup,0.14640878232182258,0.15519538970676233
eTIV,lh,0.0006346649567915701,101.36746161594382,159718.0694021426,178,pd_baseline & pd_followup,0.0006164414235016913,0.0006534366684468806
eTIV,rh,0.0006346649567915701,101.36746161594382,159718.0694021426,178,pd_baseline & pd_followup,0.0006164414235016913,0.0006534366684468806
entorhinal,lh,0.45878596432089763,146.285748535936,318.8540188941275,178,pd_baseline & pd_followup,0.44561255494282676,0.47235564032329236
entorhinal,rh,0.3823848142557707,128.70049151753045,336.5732286414619,178,pd_baseline & pd_followup,0.3714051590572836,0.39369474620926304
frontalpole,lh,0.4169768442998192,67.47032043808068,161.8083146832188,178,pd_baseline & pd_followup,0.4050039264289151,0.4293099170563604
frontalpole,rh,0.38877344434041355,71.78495748415953,184.64470382216737,178,pd_baseline & pd_followup,0.3776103483960993,0.4002723350831663
fusiform,lh,0.18600683631711046,212.63475660103077,1143.1556001443096,178,pd_baseline & pd_followup,0.18066590526759121,0.19150842681757357
fusiform,rh,0.1614363579062632,204.0987406146447,1264.267499971432,178,pd_baseline & pd_followup,0.15680093442648893,0.16621121860854568
inferiorparietal,lh,0.1067285900223773,169.995217178131,1592.7805018551157,178,pd_baseline & pd_followup,0.10366402502246451,0.10988533957320508
inferiorparietal,rh,0.0935197590891671,158.90090642900222,1699.1158657444464,178,pd_baseline & pd_followup,0.09083446754315445,0.09628582633915468
inferiortemporal,lh,0.14916732178078704,226.65943827552758,1519.497940766284,178,pd_baseline & pd_followup,0.1448841868366799,0.15357929682825044
inferiortemporal,rh,0.12867958487893533,185.90758328974286,1444.732538301619,178,pd_baseline & pd_followup,0.12498472718484781,0.1324855868291355
insula,lh,0.21459065399389787,153.25463857167193,714.1720094484166,178,pd_baseline & pd_followup,0.2084289778450776,0.22093767825857752
insula,rh,0.2711954333038403,191.99674397628084,707.9645170911587,178,pd_baseline & pd_followup,0.2634084285953092,0.2792166773031188
isthmuscingulate,lh,0.1508749248623093,68.99978956038707,457.3310616284138,178,pd_baseline & pd_followup,0.1465427584390429,0.1553374062947953
isthmuscingulate,rh,0.13649487852361258,50.73278616485005,371.68270863784574,178,pd_baseline & pd_followup,0.13257561539736767,0.14053203619972696
lateraloccipital,lh,0.10284626877581887,169.5799303408767,1648.8680859246513,178,pd_baseline & pd_followup,0.09989317930283026,0.10588818952727178
lateraloccipital,rh,0.1003880714352524,167.5050292979399,1668.575029912554,178,pd_baseline & pd_followup,0.09750556572553847,0.10335728520773133
lateralorbitofrontal,lh,0.12711768179094157,101.40402707486948,797.7177183079777,178,pd_baseline & pd_followup,0.12346767200064175,0.13087748677676297
lateralorbitofrontal,rh,0.2846895979223598,228.62200756328005,803.0571163531923,178,pd_baseline & pd_followup,0.27651512679471546,0.29310996363859687
lingual,lh,0.11336680736123066,102.6025238047177,905.0490720602745,178,pd_baseline & pd_followup,0.11011163505999214,0.11671989783250279
lingual,rh,0.09966455210130959,97.26317917999862,975.9054461121747,178,pd_baseline & pd_followup,0.09680282125639145,0.10261236608454778
medialorbitofrontal,lh,0.2470774615881746,158.02146277208428,639.5624342113096,178,pd_baseline & pd_followup,0.23998297134060678,0.25438535974109316
medialorbitofrontal,rh,0.21861371761571657,137.39942876542398,628.5032351306854,178,pd_baseline & pd_followup,0.21233652471580589,0.22507973346717222
middletemporal,lh,0.15300418273596342,237.4609266134266,1551.9897715685895,178,pd_baseline & pd_followup,0.1486108775948144,0.15752964198755903
middletemporal,rh,0.1002888825546528,160.0228347199436,1595.618882608833,178,pd_baseline & pd_followup,0.09740922491752937,0.10325516258225405
paracentral,lh,0.1745836249189664,76.9776957560218,440.9216259070762,178,pd_baseline & pd_followup,0.16957069570878577,0.17974734702406758
paracentral,rh,0.1413604501653642,79.33992391199577,561.2597004267001,178,pd_baseline & pd_followup,0.13730147882640184,0.14554151858827472
parahippocampal,lh,0.21394472451728858,68.54933022398762,320.4067329944761,178,pd_baseline & pd_followup,0.20780159534698658,0.220272643895595
parahippocampal,rh,0.27475072341333284,69.58020188517725,253.24847563913903,178,pd_baseline & pd_followup,0.26686163342819685,0.2828771234954739
parsopercularis,lh,0.20718548576169163,142.30631523312323,686.8546544655471,178,pd_baseline & pd_followup,0.20123643885662065,0.2133134847259722
parsopercularis,rh,0.13204398519023056,67.46345001031838,510.9164943266931,178,pd_baseline & pd_followup,0.1282525233581372,0.1359494972076888
parsorbitalis,lh,0.23340809470990845,69.908523819913,299.5119938183759,178,pd_baseline & pd_followup,0.2267061015739142,0.24031168912618048
parsorbitalis,rh,0.211263753909317,74.29950287799393,351.6907254705239,178,pd_baseline & pd_followup,0.2051976051309537,0.2175123772643112
parstriangularis,lh,0.15688627441209085,86.9220548620127,554.0449933414559,178,pd_baseline & pd_followup,0.15238150033581754,0.1615265556729749
parstriangularis,rh,0.15070653427696584,88.7524596418632,588.9091675265751,178,pd_baseline & pd_followup,0.14637920295827686,0.1551640351610858
pericalcarine,lh,0.1603152414715204,71.34349015055666,445.02000867603505,178,pd_baseline & pd_followup,0.15571200931167287,0.1650569425133871
pericalcarine,rh,0.1517259203146027,73.20638069587551,482.49093196523415,178,pd_baseline & pd_followup,0.14736931872473627,0.15621357194292113
postcentral,lh,0.11640278436867091,136.74490404154383,1174.7562979975235,178,pd_baseline & pd_followup,0.11306043815390471,0.11984567101407549
postcentral,rh,0.10359782293269795,120.21391916612308,1160.390399750193,178,pd_baseline & pd_followup,0.10062315361344484,0.10666197266934267
posteriorcingulate,lh,0.16139855850426602,64.35478974276054,398.73212214010914,178,pd_baseline & pd_followup,0.15676422038244833,0.1661723012001619
posteriorcingulate,rh,0.16556088077310732,73.83389665724036,445.9622122838663,178,pd_baseline & pd_followup,0.16080702727925322,0.1704577339584214
precentral,lh,0.15293635576320017,203.91680957939838,1333.3442435043637,178,pd_baseline & pd_followup,0.14854499818049577,0.15745980887224523
precentral,rh,0.09977563218719177,137.61353090946056,1379.229856958261,178,pd_baseline & pd_followup,0.09691071183004162,0.10272673162572493
precuneus,lh,0.17439716571456318,178.5584069276184,1023.8607158321938,178,pd_baseline & pd_followup,0.16938959042456087,0.17955537284931178
precuneus,rh,0.09187281993099035,93.14589948668751,1013.8569770325263,178,pd_baseline & pd_followup,0.08923481798282658,0.09459017507443998
rostralanteriorcingulate,lh,0.16466391646605422,91.10327684953248,553.2680067664587,178,pd_baseline & pd_followup,0.15993581807138196,0.16953423981833288
rostralanteriorcingulate,rh,0.17475444754114056,66.90634167709312,382.8591639210904,178,pd_baseline & pd_followup,0.16973661339378238,0.17992322212782805
rostralmiddlefrontal,lh,0.21101269633064548,402.0267056838055,1905.2251958045758,178,pd_baseline & pd_followup,0.2049537563261299,0.21725389406614504
rostralmiddlefrontal,rh,0.13314960939939469,229.54167360680415,1723.9380171088035,178,pd_baseline & pd_followup,0.12932640108537224,0.13708782285819054
superiorfrontal,lh,0.15334144571141511,368.11238459512293,2400.605934601018,178,pd_baseline & pd_followup,0.1489384565267486,0.1578768803102541
superiorfrontal,rh,0.10107799557544879,254.47005697386774,2517.561369565553,178,pd_baseline & pd_followup,0.09817567964082513,0.1040676154801479
superiorparietal,lh,0.16433063198270287,267.2514274120154,1626.303168116251,178,pd_baseline & pd_followup,0.15961210339460707,0.16919109766101714
superiorparietal,rh,0.11375269565799243,170.61311407149216,1499.8599645010227,178,pd_baseline & pd_followup,0.11048644310386305,0.11711719968496896
superiortemporal,lh,0.13548239308332047,192.1279350397666,1418.1026085183603,178,pd_baseline & pd_followup,0.1315922020870699,0.13948960411666378
superiortemporal,rh,0.12034184354273891,135.27427150305707,1124.0834236930646,178,pd_baseline & pd_followup,0.11688639264932098,0.12390123714542473
supramarginal,lh,0.1428407839934072,248.9322917874555,1742.725605587162,178,pd_baseline & pd_followup,0.13873930690001993,0.1470656367776193
supramarginal,rh,0.11385776321003382,151.06094667736957,1326.7513994518486,178,pd_baseline & pd_followup,0.11058849378533074,0.11722537485744874
temporalpole,lh,0.4268018581996962,169.18653506518734,396.4053384838515,178,pd_baseline & pd_followup,0.41454682853742575,0.43942552889451064
temporalpole,rh,0.41528479662259143,168.28826574938878,405.23579750098156,178,pd_baseline & pd_followup,0.4033604635787588,0.42756782308184765
transversetemporal,lh,0.16487049543784232,32.17275483769075,195.13955333396916,178,pd_baseline & pd_followup,0.16013646541148144,0.16974692885000528
transversetemporal,rh,0.19630697498404814,26.127373327455274,133.09447272354117,178,pd_baseline & pd_followup,0.19067028958748536,0.20211321635737955
