region,npv,num,anat,n,timepoint,hemisphere,npv_CI_low,npv_CI_high
BrainSegVolNotVent,0.030355567143098408,2903.2051037474494,95639.95592839771,178,pd_baseline & pd_followup,,0.029483948689226415,0.0312534045728256
bankssts,0.1922075719871953,76.00504139900167,395.432087368884,178,pd_baseline & pd_followup,,0.18668859532211726,0.19789256385684392
caudalanteriorcingulate,0.14825170915410854,58.657415361032115,395.66097211100197,178,pd_baseline & pd_followup,,0.14399486477009038,0.15263660280053973
caudalmiddlefrontal,0.1215545562189451,120.90542106413852,994.6597217331997,178,pd_baseline & pd_followup,,0.11806428394522342,0.12514981865673025
cuneus,0.13813600794750797,76.12877762183845,551.1146496340591,178,pd_baseline & pd_followup,,0.13416962204196145,0.14222170589357855
eTIV,0.0006346649567915701,101.36746161594382,159718.0694021426,178,pd_baseline & pd_followup,,0.0006164414235016913,0.0006534366684468806
entoinalvolume,0.42025611959540177,137.7739756658946,327.8333598057665,178,pd_baseline & pd_followup,,0.40818904183450183,0.43268618464626823
frontalpole,0.4012677561979289,69.66105174708417,173.60241552207657,178,pd_baseline & pd_followup,,0.3897459032344457,0.41313619565612747
fusiform,0.1729211831871298,208.41045515432236,1205.2338025514618,178,pd_baseline & pd_followup,,0.16795598870992665,0.17803573466054595
inferiorparietal,0.09991554920982801,164.54159341546205,1646.8066754046047,178,pd_baseline & pd_followup,,0.0970466113273796,0.10287078702401355
inferiortemporal,0.1398146972342002,207.28739769220218,1482.5866077940298,178,pd_baseline & pd_followup,,0.1358001100694349,0.14395004637167727
insula,0.24429087748732703,173.7091447524098,711.0750370177914,178,pd_baseline & pd_followup,,0.23727640017821347,0.25151635584900833
isthmuscingulate,0.14532539549081475,60.5590065614773,416.71317223633434,178,pd_baseline & pd_followup,,0.141152576187887,0.14962373651493316
lateraloccipital,0.10161000089886525,168.54567276337932,1658.75082445021,178,pd_baseline & pd_followup,,0.09869240916144528,0.10461535611464999
lateralorbitofrontal,0.22095242105730714,176.84852140923505,800.3918697200737,178,pd_baseline & pd_followup,,0.2146080754974506,0.22748760957409278
lingual,0.10622016484757793,99.96850482851632,941.1443201200777,178,pd_baseline & pd_followup,,0.10317019857885269,0.10936187652578094
medialorbitofrontal,0.23352774941542684,148.06989181074937,634.0569468998954,178,pd_baseline & pd_followup,,0.22682232055876458,0.24043488290157528
middletemporal,0.12864302216661613,202.47839304468215,1573.95550597712,178,pd_baseline & pd_followup,,0.12494921432063821,0.13244794268844115
paracentral,0.1548826163081223,78.16773365739834,504.6901680811747,178,pd_baseline & pd_followup,,0.1504353745247044,0.1594636346590551
parahippocampal,0.23916178069211458,69.06668939705784,288.7864825106441,178,pd_baseline & pd_followup,,0.23229457835886716,0.24623555392960148
parsopercularis,0.18397240525494266,111.36068525858614,605.3118950326617,178,pd_baseline & pd_followup,,0.1786898901015441,0.1894138226627008
parsorbitalis,0.22084357498399945,72.13743075060398,326.64491487167095,178,pd_baseline & pd_followup,,0.21450235478976956,0.22737554412167635
parstriangularis,0.15363903372467744,87.84202500487821,571.7428889997573,178,pd_baseline & pd_followup,,0.14922749970858717,0.15818327019026085
pericalcarine,0.15573298542167358,72.28093718765699,464.13376711391004,178,pd_baseline & pd_followup,,0.1512613264561131,0.1603391554429946
postcentral,0.11026508419679952,128.74500988894715,1167.5954435328315,178,pd_baseline & pd_followup,,0.10709897361976388,0.11352643389641846
posteriorcingulate,0.16372478896964987,69.25670818926845,423.0068557431872,178,pd_baseline & pd_followup,,0.15902365633228158,0.16856733541321248
precentral,0.1282386984941937,173.95336892168785,1356.4810853844092,178,pd_baseline & pd_followup,,0.12455650024762004,0.13203166019063706
precuneus,0.1397689739491223,142.4065716105002,1018.871124161919,178,pd_baseline & pd_followup,,0.13575569966574239,0.14390297071269842
rostralanteriorcingulate,0.1679976217025431,79.92579561485293,475.75551847019415,178,pd_baseline & pd_followup,,0.16317380053681552,0.1729665472429109
rostralmiddlefrontal,0.18017455643037342,327.3490888983699,1816.844150382968,178,pd_baseline & pd_followup,,0.17500109129422228,0.1855036435096923
superiorfrontal,0.12864352358869674,316.43462009441316,2459.7788622933576,178,pd_baseline & pd_followup,,0.12494970134507187,0.13244845894126137
superiorparietal,0.14331805911044138,224.20098142841806,1564.3595986437972,178,pd_baseline & pd_followup,,0.13920287771702836,0.14755702843091623
superiortemporal,0.12984944651741792,166.15094335171193,1279.5660498208172,178,pd_baseline & pd_followup,,0.12612099785177083,0.1336900498823003
supramarginal,0.13294212541117537,205.89644910199155,1548.767544261659,178,pd_baseline & pd_followup,,0.12912487471514644,0.13687420204209336
temporalpole,0.4209558469692378,168.7379981454989,400.8448851830053,178,pd_baseline & pd_followup,,0.4088686774970271,0.43340660810606024
transversetemporal,0.17546269211682666,29.30636271220275,167.02332762961353,178,pd_baseline & pd_followup,,0.17042452169839462,0.1806524147057852
