region,hemisphere,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
BrainSegVolNotVent,lh,0.02878562891684711,2782.5177166537146,96663.4331558834,89,pd,0.027622033086809425,0.029998965143115883
BrainSegVolNotVent,rh,0.02878562891684711,2782.5177166537146,96663.4331558834,89,pd,0.027622033086809425,0.029998965143115883
WhiteSurfArea,lh,0.05320526935944014,416.78016830143116,7833.437802669116,89,pd,0.05105456319486358,0.05544791206593368
WhiteSurfArea,rh,0.05264905112294693,411.4418203911833,7814.800297737134,89,pd,0.05052082885901552,0.054868248806300694
bankssts,lh,0.17998332222740618,30.34081373978612,168.57569559390046,89,pd,0.17270789170528308,0.18756975661150638
bankssts,rh,0.16500319270767022,21.298825041343143,129.08129043949742,89,pd,0.15833330102205967,0.17195820320059893
caudalanteriorcingulate,lh,0.1613184588547249,21.594872386673547,133.86485675592016,89,pd,0.15479751444271644,0.16811815500378946
caudalanteriorcingulate,rh,0.159748662359234,21.589166670934198,135.14458495048723,89,pd,0.15329117352297264,0.16648219038804135
caudalmiddlefrontal,lh,0.10299858738629593,38.25373121146436,371.40054230058365,89,pd,0.0988350956964436,0.10734005644682292
caudalmiddlefrontal,rh,0.13144484384404376,44.45402410683729,338.19526735929594,89,pd,0.1261314747104839,0.13698534432270026
cuneus,lh,0.14980568656030993,30.34365969464873,202.55345702402786,89,pd,0.14375012068398163,0.1561201105713243
cuneus,rh,0.140362810824629,30.668281808330818,218.49293005857612,89,pd,0.13468895246149565,0.14627921041716177
eTIV,lh,0.0004883873692063198,78.63724399205732,161014.08216156575,89,pd,0.00046864538240126675,0.0005089732695256043
eTIV,rh,0.0004883873692063198,78.63724399205732,161014.08216156575,89,pd,0.00046864538240126675,0.0005089732695256043
entorhinal,lh,0.3385680709581415,30.16673229323177,89.1009368008639,89,pd,0.3248822002520049,0.35283897352338045
entorhinal,rh,0.34638394012945145,25.432814197988126,73.42376840128128,89,pd,0.3323821300772569,0.36098428754485234
frontalpole,lh,0.390688626552613,13.293258342953964,34.025199198277136,89,pd,0.3748958968536031,0.40715645031136516
frontalpole,rh,0.41413573699594464,16.447078116348052,39.71422083892535,89,pd,0.39739520935174805,0.43159187435327756
fusiform,lh,0.16149630055744116,57.39596141897352,355.40109105198275,89,pd,0.1549681672851759,0.16830349286999305
fusiform,rh,0.1516711234881094,57.32930742700894,377.9843262748917,89,pd,0.1455401514208427,0.1580641770892174
inferiorparietal,lh,0.10052883295344785,60.447436969055325,601.2945260893149,89,pd,0.09646517566247492,0.10476619997986543
inferiorparietal,rh,0.08853729359113822,58.712303119510096,663.1364110884305,89,pd,0.08495836794309806,0.09226920808222826
inferiortemporal,lh,0.17813967943081854,76.22476883936996,427.8932637743532,89,pd,0.17093877411974384,0.18564840286408765
inferiortemporal,rh,0.14104193163729573,63.392011362480154,449.45507074803425,89,pd,0.13534062130679372,0.14698695669034567
insula,lh,0.27818007445671783,76.60741945558478,275.3878745815929,89,pd,0.2669352558851852,0.2899055768850125
insula,rh,0.3553279232400075,99.22512332768848,279.2494392867248,89,pd,0.34096457231332195,0.3703052663690168
isthmuscingulate,lh,0.12376054772675563,25.131058719432225,203.06195456501825,89,pd,0.11875779938750532,0.1289771492598857
isthmuscingulate,rh,0.14282053307639997,22.683013111963557,158.82179280082633,89,pd,0.1370473266888822,0.14884052753742752
lateraloccipital,lh,0.0934147778619842,58.109602281110135,622.0600595653533,89,pd,0.08963869062421378,0.09735228203728676
lateraloccipital,rh,0.09866386494765784,60.83190719884239,616.5571076210557,89,pd,0.09467559489248094,0.10282262214940237
lateralorbitofrontal,lh,0.1618361933039671,48.61352803529106,300.3872436864801,89,pd,0.15529432061389511,0.16865771235517033
lateralorbitofrontal,rh,0.35738363868282225,120.7387441495366,337.840715357124,89,pd,0.342937189974118,0.37244763178654194
lingual,lh,0.13348360693035116,49.73378759303557,372.5834859930447,89,pd,0.12808782527655369,0.13911004282895428
lingual,rh,0.12581932482330915,49.94945915804798,396.99353996846753,89,pd,0.12073335494141176,0.13112270538219117
medialorbitofrontal,lh,0.2798582305266911,66.91323152527242,239.09688630326227,89,pd,0.26854557618159197,0.2916544685140008
medialorbitofrontal,rh,0.24665487606882458,57.21174547437544,231.9505958536637,89,pd,0.23668439440656108,0.25705156732697476
middletemporal,lh,0.15379501881409843,68.60972588298965,446.11149575606527,89,pd,0.1475781929427722,0.1602775962240233
middletemporal,rh,0.11479989630183648,51.44599890956476,448.13628380204176,89,pd,0.1101593626170784,0.11963879953918752
paracentral,lh,0.1569744362947658,26.37542660851822,168.02370647785338,89,pd,0.15062908945441225,0.1635910285778369
paracentral,rh,0.13541185569913683,29.501652532710104,217.86609732502293,89,pd,0.12993812882367628,0.14111956875486528
parahippocampal,lh,0.24689530716907157,20.84219632850684,84.41714250256811,89,pd,0.23691510660761478,0.25730213278157943
parahippocampal,rh,0.2846882296022939,21.98191171221849,77.21398156476987,89,pd,0.2731803331521953,0.29668805573659884
parsopercularis,lh,0.15799065484244035,36.99754926593643,234.1755548948958,89,pd,0.15160422959911368,0.16465008151281152
parsopercularis,rh,0.14282124779498223,24.98364305004092,174.92945507593217,89,pd,0.13704801251653542,0.14884127238194345
parsorbitalis,lh,0.1788566112925959,17.097276719368757,95.59208684435436,89,pd,0.1716267255855328,0.18639555395095725
parsorbitalis,rh,0.18374186326312844,22.31743952996681,121.46083169956218,89,pd,0.17631450197413465,0.19148672302017195
parstriangularis,lh,0.14570875527944374,30.32353516310797,208.11059091783997,89,pd,0.13981879885247428,0.15185049051044333
parstriangularis,rh,0.14923156993256506,32.628418715364816,218.64286980368152,89,pd,0.14319921146003983,0.15552179448958944
pericalcarine,lh,0.1833154900914078,42.90393663451078,234.04425132386416,89,pd,0.17590536400148113,0.19104237789388148
pericalcarine,rh,0.19695437835513932,50.293811252504085,255.35767050487465,89,pd,0.18899293016084343,0.20525615570629097
postcentral,lh,0.14220963478688836,70.93857934691104,498.83103527561786,89,pd,0.1364611226210708,0.14820387941881294
postcentral,rh,0.11756307190719353,55.03075513175927,468.095586811491,89,pd,0.11281084291706821,0.12251844510499624
posteriorcingulate,lh,0.16638070740725952,27.21083913880379,163.54563917196404,89,pd,0.1596551327152124,0.1733937811960105
posteriorcingulate,rh,0.15931369726317937,29.486785344277507,185.0863161851464,89,pd,0.15287379093565676,0.1660288911812494
precentral,lh,0.10621296695729748,55.19881047282197,519.6993554940842,89,pd,0.10191954103269975,0.11068992456975922
precentral,rh,0.12119871918194419,70.14055305148509,578.7235502562506,89,pd,0.11629952713533648,0.1263073376868803
precuneus,lh,0.13891462379252914,59.31105237178456,426.96046501458636,89,pd,0.1332993052096637,0.1447699811964915
precuneus,rh,0.08661607852978581,37.339325619026184,431.09000375935767,89,pd,0.08311481378123314,0.09026701233988653
rostralanteriorcingulate,lh,0.18891641007542928,34.61936523736682,183.25229250092266,89,pd,0.18127987909587492,0.19687938092950752
rostralanteriorcingulate,rh,0.16789932905821814,22.0795924110289,131.50494724950883,89,pd,0.16111236742112406,0.1749764139084758
rostralmiddlefrontal,lh,0.19760637266777503,144.62320100154855,731.8751872678507,89,pd,0.1896185690352991,0.20593563207676627
rostralmiddlefrontal,rh,0.14423261995442593,105.51523199629757,731.5628879905105,89,pd,0.13840233305608562,0.15031213495498022
superiorfrontal,lh,0.11780745016608446,110.79278142038875,940.4564928974656,89,pd,0.11304534272154639,0.1227731240939939
superiorfrontal,rh,0.1068595086352275,98.44597472471236,921.265463242627,89,pd,0.10253994768323266,0.11136371847281487
superiorparietal,lh,0.12329350539859231,77.55868662087029,629.0573568342701,89,pd,0.11830963621974082,0.12849042074117228
superiorparietal,rh,0.11669818879618214,66.33134473782168,568.4008074338833,89,pd,0.11198092080636533,0.12161710651083006
superiortemporal,lh,0.1357891224590784,61.69911194552179,454.37448028368783,89,pd,0.13030014540339954,0.1415127375966452
superiortemporal,rh,0.12561518658336818,45.46154129867917,361.91118713585877,89,pd,0.1205374685414925,0.13090996255965093
supramarginal,lh,0.10793629669887772,71.85551081079812,665.7214765414983,89,pd,0.10357320895424905,0.11248589397508646
supramarginal,rh,0.12942648401673315,65.67342016232114,507.41871465681186,89,pd,0.12419470264647554,0.1348819090883803
temporalpole,lh,0.4214227538439295,28.51209238679477,67.6567464066119,89,pd,0.40438766454738123,0.4391860445224086
temporalpole,rh,0.3783300176261343,24.982912743054058,66.03470932550262,89,pd,0.3630368575510314,0.39427691658730424
transversetemporal,lh,0.19824369611169665,13.940113301516543,70.31806597099688,89,pd,0.19023013007868833,0.20659981919021528
transversetemporal,rh,0.2499883443687658,10.356842338883885,41.42930089414959,89,pd,0.23988311457143188,0.26052554385965676
