region,npv,num,anat,n,timepoint,hemisphere,npv_CI_low,npv_CI_high
BrainSegVolNotVent,0.02878562891684711,2782.5177166537146,96663.4331558834,89,pd,,0.027622033086809425,0.029998965143115883
WhiteSurfArea,0.052928553364948214,414.1195964067506,7824.12459965324,89,pd,,0.05078903283672602,0.05515953228110127
bankssts,0.17459629626614198,26.212639380021805,150.13284898131602,89,pd,,0.16753862443753012,0.1819556633949276
caudalanteriorcingulate,0.16052801166993114,21.592019717271608,134.50624282114657,89,pd,,0.15403901934938985,0.1672943898669359
caudalmiddlefrontal,0.11675544817667907,41.46991807859182,355.18614956483964,89,pd,,0.11203586560215859,0.12167677941791177
cuneus,0.1448038363819644,30.506402547169053,210.67399393134232,89,pd,,0.13895045931404493,0.15090742859085673
eTIV,0.0004883873692063198,78.63724399205732,161014.08216156575,89,pd,,0.00046864538240126675,0.0005089732695256043
entoinalarea,0.3417505634010971,27.900356407050598,81.6395330248665,89,pd,,0.32793604742733595,0.35615561045148936
frontalpole,0.40437640944189224,14.953546334193941,36.97927471791038,89,pd,,0.3880303811806576,0.42142118369510256
fusiform,0.15635835116355368,57.36264410428097,366.86651961607475,89,pd,,0.15003790821158478,0.16294897498818586
inferiorparietal,0.0941372829152706,59.58618620840383,632.9711710718813,89,pd,,0.09033198999748486,0.09810524122994066
inferiortemporal,0.15975749714427942,70.10264791431275,438.806623585258,89,pd,,0.15329965118123554,0.1664913975660186
insula,0.3196268168094636,88.64062786058912,277.3253782189049,89,pd,,0.3067066047035526,0.3330993310575342
isthmuscingulate,0.13132090861152096,23.938349945193185,182.2889454413434,89,pd,,0.12601254928754957,0.1368561851255469
lateraloccipital,0.09605186180521498,59.48632956704159,619.3146957179738,89,pd,,0.09216917624059659,0.1001005210811852
lateralorbitofrontal,0.2879146123361982,92.0356437660032,319.6629827823156,89,pd,,0.2762762964498552,0.3000504329649143
lingual,0.1294651082844354,49.841740030473865,384.9820286788882,89,pd,,0.12423176561298244,0.13492216139844185
medialorbitofrontal,0.26428164528269854,62.251764526716144,235.55084372252284,89,pd,,0.2535986401868304,0.275421318314881
middletemporal,0.13561801783032484,60.638211094745856,447.12503592709834,89,pd,,0.1301359573034838,0.14133442077721314
paracentral,0.14383225560404692,27.982232138824198,194.54768348941113,89,pd,,0.13801815255529148,0.14989489494169925
parahippocampal,0.26478064743934493,21.41963573826353,80.89577522152659,89,pd,,0.25407747127720165,0.2759413537932378
parsopercularis,0.15273091249951531,31.567396723021453,206.68636235065793,89,pd,,0.14655710078896847,0.15916863701621994
parsorbitalis,0.18188881173406518,19.879448915807423,109.2945119949029,89,pd,,0.17453635598346667,0.1895555639550236
parstriangularis,0.14756753989138996,31.4970672654885,213.4417046504293,89,pd,,0.14160244617874065,0.15378762431229331
pericalcarine,0.19084873682608464,46.74513466148441,244.93290046809167,89,pd,,0.1831340957814062,0.19889315672733607
postcentral,0.13124647572884204,63.48490391474828,483.7074943323386,89,pd,,0.12594112519068365,0.13677861484006046
posteriorcingulate,0.16245006978975443,28.37164320741182,174.64839038931083,89,pd,,0.1558833824909385,0.16929746420330644
precentral,0.11475086687091049,63.11341323356991,550.0038034969238,89,pd,,0.11011231509321928,0.11958770348033174
precuneus,0.11551209788767752,49.558178795897234,429.0302029150831,89,pd,,0.11084277501794715,0.12038102096538025
rostralanteriorcingulate,0.1820446460689169,29.034538488456874,159.4913067504618,89,pd,,0.17468589105757498,0.1897179668260125
rostralmiddlefrontal,0.17300161022557162,126.58857462497714,731.7190542904317,89,pd,,0.16600840007790435,0.18029376012078077
superiorfrontal,0.1125794242349659,104.80136056932835,930.9104330698666,89,pd,,0.1080286482569159,0.11732473288017047
superiorparietal,0.12037379102121719,72.16369296634599,599.4967206243954,89,pd,,0.11550794488380171,0.12544763817464416
superiortemporal,0.1319331853683956,54.191937371335705,410.75289147318125,89,pd,,0.12660007610120824,0.1374942698149758
supramarginal,0.11629581723807486,68.83390352761309,591.8863219878307,89,pd,,0.11159481423480715,0.1211977746844833
temporalpole,0.4009781087776897,26.80564624664152,66.85064760356558,89,pd,,0.38476944935746604,0.41787964206452954
transversetemporal,0.21278394857584873,12.279880742328409,57.71055958175875,89,pd,,0.204182624770243,0.22175295439195886
