region,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
3rd-Ventricle,0.04587768818228955,33.556677275934355,731.4378427832039,89,pd,0.04402318339398395,0.04781146775020638
4th-Ventricle,0.06566658745551723,43.54269324075624,663.0874989545057,89,pd,0.06301215987442224,0.06843448422947289
5th-Ventricle,0.9845209814109553,0.13126865838484564,0.1333325148609016,89,pd,0.9447238829399218,1.0260192921033604
Brain-Stem,0.08006748050195164,176.95646169962697,2210.0915451600063,89,pd,0.07683092844665965,0.08344238590769143
BrainSegVol,0.026774615171141995,2785.2360047446955,104025.2488015834,89,pd,0.02569231015519111,0.027903185633347146
BrainSegVol-to-eTIV,0.06403492234285232,0.0018390651798952632,0.028719722186100888,89,pd,0.061446451240477984,0.06673404318712257
BrainSegVolNotVent,0.02878562891684711,2782.5177166537146,96663.4331558834,89,pd,0.027622033086809425,0.029998965143115883
CC_Anterior,0.23017464193296447,35.46508356281633,154.0790213247952,89,pd,0.22087033754179433,0.23987667874558585
CC_Central,0.2522001236755604,27.84235473828525,110.39786314340864,89,pd,0.24200548755725346,0.2628305513521268
CC_Mid_Anterior,0.27656625699004345,31.902161326791905,115.35088074009116,89,pd,0.2653866734453393,0.28822373578055144
CC_Mid_Posterior,0.2842552348847787,29.07589952651015,102.28800021324463,89,pd,0.2727648412951938,0.2962368099613054
CC_Posterior,0.3120566818443129,52.46457034583465,168.12513045950277,89,pd,0.29944247581885675,0.3252101091265404
CSF,0.1403075716117784,48.224243776479376,343.7037874899055,89,pd,0.1346359461725083,0.1462216428293343
CerebralWhiteMatterVol,0.037990459364752996,1889.9482089459061,49747.969373051936,89,pd,0.03645477847948421,0.039591786218962144
CortexVol,0.03126593349751829,1274.142961054458,40751.79655696485,89,pd,0.03000207680204566,0.03258381645467845
EstimatedTotalIntraCranialVol,0.0004883873692063198,78.63724399205732,161014.08216156575,89,pd,0.00046864538240126675,0.0005089732695256043
Left-Accumbens-area,0.2917664468036241,25.239572679437785,86.50608373904451,89,pd,0.2799724289683246,0.3040646251946257
Left-Amygdala,0.27218176047310366,53.86015168148881,197.8830307654327,89,pd,0.26117941057087657,0.28365442938944424
Left-Caudate,0.10207992526944581,44.599222357770884,436.904927585406,89,pd,0.09795356847810371,0.10638267202068108
Left-Cerebellum-Cortex,0.059462530931718556,308.628373387493,5190.299984739872,89,pd,0.05705888871026478,0.061968921988641276
Left-Cerebellum-White-Matter,0.17495051170357992,379.58120865120065,2169.649033632598,89,pd,0.1678785214938367,0.18232480928336903
