region,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
3rd-Ventricle,0.04587768818228955,33.556677275934355,731.4378427832039,89,pd,0.04402318339398395,0.04781146775020638
4th-Ventricle,0.06566658745551723,43.54269324075624,663.0874989545057,89,pd,0.06301215987442224,0.06843448422947289
5th-Ventricle,0.9845209814109553,0.13126865838484564,0.1333325148609016,89,pd,0.9447238829399218,1.0260192921033604
Accumbens-area,0.22473496360337328,34.85248950036969,155.08263129843743,89,pd,0.215650546262069,0.23420771382317407
Amygdala,0.1864166610433301,72.12458217569801,386.89987135288084,89,pd,0.17888117692845582,0.19427426556805047
Brain-Stem,0.08006748050195164,176.95646169962697,2210.0915451600063,89,pd,0.07683092844665965,0.08344238590769143
BrainSegVol,0.026774615171141995,2785.2360047446955,104025.2488015834,89,pd,0.02569231015519111,0.027903185633347146
BrainSegVol-to-eTIV,0.06403492234285232,0.0018390651798952632,0.028719722186100888,89,pd,0.061446451240477984,0.06673404318712257
BrainSegVolNotVent,0.02878562891684711,2782.5177166537146,96663.4331558834,89,pd,0.027622033086809425,0.029998965143115883
CC_Anterior,0.23017464193296447,35.46508356281633,154.0790213247952,89,pd,0.22087033754179433,0.23987667874558585
CC_Central,0.2522001236755604,27.84235473828525,110.39786314340864,89,pd,0.24200548755725346,0.2628305513521268
CC_Mid_Anterior,0.27656625699004345,31.902161326791905,115.35088074009116,89,pd,0.2653866734453393,0.28822373578055144
CC_Mid_Posterior,0.2842552348847787,29.07589952651015,102.28800021324463,89,pd,0.2727648412951938,0.2962368099613054
CC_Posterior,0.3120566818443129,52.46457034583465,168.12513045950277,89,pd,0.29944247581885675,0.3252101091265404
CSF,0.1403075716117784,48.224243776479376,343.7037874899055,89,pd,0.1346359461725083,0.1462216428293343
Caudate,0.09105321857419729,79.82100870012184,876.6412648563041,89,pd,0.0873725921841851,0.09489118122332266
Cerebellum-Cortex,0.05222306010179962,545.5826636318835,10447.15998197667,89,pd,0.05011205758933768,0.054424301938521845
Cerebellum-White-Matter,0.15547153224645735,636.2881370787989,4092.634374183301,89,pd,0.1491869370015826,0.1620247759769682
CerebralWhiteMatterVol,0.037990459364752996,1889.9482089459061,49747.969373051936,89,pd,0.03645477847948421,0.039591786218962144
CortexVol,0.03126593349751829,1274.142961054458,40751.79655696485,89,pd,0.03000207680204566,0.03258381645467845
EstimatedTotalIntraCranialVol,0.0004883873692063198,78.63724399205732,161014.08216156575,89,pd,0.00046864538240126675,0.0005089732695256043
Hippocampus,0.11609038786795631,88.44759300991778,761.8855844509708,89,pd,0.11139768889581217,0.12098368630964318
Inf-Lat-Vent,0.06162655642990393,47.75646272745238,774.9331699520181,89,pd,0.05913543823031337,0.06422416281302648
Lateral-Ventricle,0.006915041894244353,123.08654483160433,17799.826337141043,89,pd,0.00663551651246715,0.00720651618722193
MaskVol,0.01461714544216642,2067.0894462103906,141415.39840244112,89,pd,0.014026279439804916,0.015233269277461194
MaskVol-to-eTIV,0.03620537194465268,0.0012913412924033102,0.035667118525322415,89,pd,0.034741849297936944,0.03773145600183554
Optic-Chiasm,0.4371360827866999,14.428735080532892,33.007421827434406,89,pd,0.41946581667721367,0.4555617022715641
Pallidum,0.16655333426658772,75.95399714486238,456.03408349237424,89,pd,0.15982078151287493,0.17357368440919763
Putamen,0.1605352651672642,160.04281275685372,996.9324346903006,89,pd,0.15404597964002334,0.167301949104717
SubCortGrayVol,0.072630213996789,353.1260548496189,4861.97183537461,89,pd,0.0696942971062622,0.07569163294367125
SupraTentorialVol,0.02839037653741268,2733.4215198038046,96279.86145945324,89,pd,0.02724275791676135,0.029587052574255958
SupraTentorialVolNotVent,0.030763578052518694,2728.5516816268228,88694.2239608383,89,pd,0.029520027972638408,0.0320602863443053
SurfaceHoles,0.4048240547608144,8.608836488580897,21.2656248741625,89,pd,0.38845993142067986,0.4218876976058327
Thalamus,0.12684005834212073,199.62220608518564,1573.81042467477,89,pd,0.12171282754945775,0.13218646359778177
TotalGrayVol,0.02705694003616702,1384.0857559653455,51154.556062704716,89,pd,0.025963222657588655,0.02819741070688597
TotalVentricle,0.04587768818228955,33.556677275934355,731.4378427832039,89,pd,0.04402318339398395,0.04781146775020638
VentralDC,0.13394679176429825,102.2669617471629,763.4894453248174,89,pd,0.12853228688083382,0.13959275125712645
WM-hypointensities,0.09259189666474407,204.433700363351,2207.900558550634,89,pd,0.08884907259216247,0.09649471576961059
choroid-plexus,0.16351140681391266,73.08617932716857,446.97908697186926,89,pd,0.15690181729680083,0.17040353739298014
non-WM-hypointensities,0.8970639834795964,0.8147697735703879,0.9082627199121296,89,pd,0.860802142077099,0.9348759149673863
vessel,0.21233899633190462,13.02793762876989,61.35442784332498,89,pd,0.2037556587435573,0.22128924707137226
