region,npv,num,anat,n,timepoint,hemisphere,npv_CI_low,npv_CI_high
BrainSegVolNotVent,0.02878562891684711,2782.5177166537146,96663.4331558834,89,pd,,0.027622033086809425,0.029998965143115883
MeanThickness,0.11157015676224505,0.008692050040306829,0.07790658624626212,89,pd,,0.10706017820522909,0.11627292401326349
bankssts,0.17806383057818176,0.023466862382470033,0.13178904613178324,89,pd,,0.17086599129039584,0.18556935692442902
caudalanteriorcingulate,0.21163525496169497,0.039831593198960825,0.18820868577010086,89,pd,,0.20308036457268336,0.2205558424653561
caudalmiddlefrontal,0.18517581584257242,0.02135207296444533,0.11530702790367525,89,pd,,0.17769049016979765,0.192981117795144
cuneus,0.22151154907095721,0.028476914940508465,0.12855724705977475,89,pd,,0.21255743118287096,0.2308484299083047
eTIV,0.0004883873692063198,78.63724399205732,161014.08216156575,89,pd,,0.00046864538240126675,0.0005089732695256043
entoinalthickness,0.33330172418499543,0.09577749698265636,0.2873597405379641,89,pd,,0.31982873398122574,0.34735064621479395
frontalpole,0.3345749513612829,0.075226847829743,0.22484303598840266,89,pd,,0.32105049374517014,0.3486775408882107
fusiform,0.2519650304635085,0.026523724479077315,0.10526748267521466,89,pd,,0.24177989747198764,0.26258554878177826
inferiorparietal,0.1621771813243828,0.015269745990362729,0.09415471317028602,89,pd,,0.15562152494246254,0.16901307328086768
inferiortemporal,0.17209835354414674,0.02383437285308581,0.13849274186677102,89,pd,,0.16514165556409602,0.17935243048092384
insula,0.3058510863637713,0.043421660451552546,0.14196994023394757,89,pd,,0.2934877279069028,0.3187429430607647
isthmuscingulate,0.21707534260428363,0.03209056221434112,0.14783144796339417,89,pd,,0.20830054861982716,0.22622523395362057
lateraloccipital,0.15341472764296743,0.017113064704436187,0.11154773056901265,89,pd,,0.14721327420703964,0.15988127548981426
lateralorbitofrontal,0.2768609054313775,0.028803491667479277,0.10403596572293407,89,pd,,0.2656694113705385,0.2885308038785453
lingual,0.2481328294936533,0.030547125841031197,0.1231079575538896,89,pd,,0.2381026048100687,0.2585918176165433
medialorbitofrontal,0.28107929189434916,0.029453622774709455,0.10478759419167867,89,pd,,0.26971727882515434,0.29292699855014465
middletemporal,0.1690161510030514,0.019502887005665284,0.11539067059522129,89,pd,,0.16218404429159897,0.17614031075057368
paracentral,0.23178373811189126,0.031772777713477904,0.1370794084705801,89,pd,,0.222414389541581,0.24155359955641778
parahippocampal,0.1677460849467753,0.03246908096434162,0.19356088682870806,89,pd,,0.16096531786633195,0.17481671044078914
parsopercularis,0.1833094309307873,0.019680964483677604,0.10736471322694033,89,pd,,0.17589954976912162,0.19103606333501685
parsorbitalis,0.2650950823158097,0.03876107977210381,0.1462157631650347,89,pd,,0.2543791958143464,0.2762690423397029
parstriangularis,0.21208008968813688,0.0243929543719184,0.1150176539805701,89,pd,,0.20350721783225376,0.22101942731498808
pericalcarine,0.2776213827398004,0.04490663463290905,0.1617549562995932,89,pd,,0.26639914805392684,0.28932333588586784
postcentral,0.1889811138481696,0.01897663554556533,0.1004155132708735,89,pd,,0.1813419673607045,0.1969468120156468
posteriorcingulate,0.22325854987067678,0.026251140651021024,0.11758179324476971,89,pd,,0.21423381331202063,0.23266906812493615
precentral,0.23023187026511974,0.02912997754974076,0.1265245229350594,89,pd,,0.22092525254430695,0.23993631929561463
precuneus,0.151276703147626,0.014096441191957135,0.09318315972421,89,pd,,0.14516167465639837,0.15765313163038525
rostralanteriorcingulate,0.28005871729118403,0.04547123816691329,0.1623632308493212,89,pd,,0.2687379587089388,0.29186340594861626
rostralmiddlefrontal,0.18034829893682744,0.01825939759935808,0.10124518893163499,89,pd,,0.17305811503278692,0.18795011736775755
superiorfrontal,0.1277965662602535,0.01487292528909974,0.11637969410548571,89,pd,,0.1226306707356803,0.13318328905461194
superiorparietal,0.13191494150946928,0.012533451868114269,0.0950116167637809,89,pd,,0.1265825697102119,0.13747525696347315
superiortemporal,0.12890691092747134,0.017206556909836534,0.13348048437463292,89,pd,,0.12369613215826201,0.13434043559689984
supramarginal,0.15229842522104328,0.015228616786522974,0.0999919517514408,89,pd,,0.1461420958589012,0.15871792006891258
temporalpole,0.3561709121522127,0.10668156527686595,0.2995235198523867,89,pd,,0.34177348525012136,0.3711837879071888
transversetemporal,0.20851941307323438,0.03931803332016934,0.1885581430557758,89,pd,,0.20009047374955966,0.21730866546347777
