region,hemisphere,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
BrainSegVolNotVent,lh,0.031746102368687815,3019.071861575785,95100.55207764941,89,pd,0.030462835901143823,0.03308422481020315
BrainSegVolNotVent,rh,0.031746102368687815,3019.071861575785,95100.55207764941,89,pd,0.030462835901143823,0.03308422481020315
MeanThickness,lh,0.1140919170803761,0.009002524922109711,0.07890589581177397,89,pd,0.10948000190078336,0.11890097845325633
MeanThickness,rh,0.09752121797049125,0.007980194032425527,0.08183033598739752,89,pd,0.09357913690988788,0.10163181173015022
bankssts,lh,0.16493688040409774,0.02338675318891233,0.14179213970589505,89,pd,0.15826966924772418,0.17188909578282538
bankssts,rh,0.1580717050013848,0.02083125228442236,0.13178356167057137,89,pd,0.15168200348338495,0.16473454799780796
caudalanteriorcingulate,lh,0.2154073512728831,0.04152210665898556,0.19276086175157678,89,pd,0.20669998217476016,0.22448693551469298
caudalanteriorcingulate,rh,0.2229351313405672,0.03886759364537758,0.17434485723114423,89,pd,0.21392346826569977,0.23233201725696928
caudalmiddlefrontal,lh,0.20161752874077554,0.0214013913230378,0.10614846564533621,89,pd,0.19346758293333946,0.21011586143931166
caudalmiddlefrontal,rh,0.1286938955600647,0.016478833756386205,0.12804673978258058,89,pd,0.12349172746925897,0.13411844146919674
cuneus,lh,0.21420413452061962,0.02775607636682279,0.12957768732587627,89,pd,0.20554540281720532,0.2232330022581005
cuneus,rh,0.21888486692895434,0.02790201493329726,0.12747347646629997,89,pd,0.21003692689774583,0.22811103110949396
eTIV,lh,0.0007523221675426338,119.86203905429497,159322.75323723257,89,pd,0.0007219111961677758,0.0007840331210306184
eTIV,rh,0.0007523221675426338,119.86203905429497,159322.75323723257,89,pd,0.0007219111961677758,0.0007840331210306184
entorhinal,lh,0.3509159325906014,0.09298213330110174,0.2649698251506295,89,pd,0.33673092669631527,0.365707306946778
entorhinal,rh,0.33459358675076367,0.09477437110030827,0.28325220462430745,89,pd,0.3210683758399581,0.34869696177357945
frontalpole,lh,0.38974942588926254,0.08376455984844239,0.214919007660686,89,pd,0.3739946613143984,0.4061776616233142
frontalpole,rh,0.3659649269498165,0.08241368224759531,0.22519557525493802,89,pd,0.3511715985091227,0.38139062790270206
fusiform,lh,0.2710223360577285,0.025602033735120423,0.09446466334666644,89,pd,0.26006685334116797,0.2824461343501596
fusiform,rh,0.2206390787794604,0.02222535635250149,0.1007317310942765,89,pd,0.21172022858679085,0.22993918432820556
inferiorparietal,lh,0.13902652061988158,0.01499580408038482,0.10786290280100942,89,pd,0.13340667885351795,0.14488659456050962
inferiorparietal,rh,0.14540248772280076,0.014693488347806975,0.10105389926903478,89,pd,0.13952491148918453,0.15153131354256327
inferiortemporal,lh,0.19793163924419305,0.0251135464655245,0.12687989935020602,89,pd,0.18993068742471506,0.20627460888760377
inferiortemporal,rh,0.17898734145332315,0.02249295558600404,0.12566785675103073,89,pd,0.1717521712666219,0.18653179448772442
insula,lh,0.30442488908997556,0.04134278235133306,0.1358061835052975,89,pd,0.2921191815256894,0.31725663048349234
insula,rh,0.31207006359379363,0.04257103210419727,0.1364149819881791,89,pd,0.2994553166405037,0.32522405492697387
isthmuscingulate,lh,0.23941162407828087,0.032732169993192735,0.13671921787093444,89,pd,0.2297339349701233,0.24950300673742468
isthmuscingulate,rh,0.23879542253071162,0.033638478348216115,0.14086734993376956,89,pd,0.22914264201681425,0.24886083182437824
lateraloccipital,lh,0.16525079763429013,0.018168903121055475,0.10994744582875988,89,pd,0.1585708970633103,0.17221624486383275
lateraloccipital,rh,0.15982634777037968,0.016691730390823202,0.10443666281359305,89,pd,0.15336571867198526,0.16656315029855157
lateralorbitofrontal,lh,0.2563946569425916,0.025130402857813972,0.09801453414624327,89,pd,0.24603046602898837,0.26720188739737355
lateralorbitofrontal,rh,0.28659819937445147,0.03369504296605081,0.11756892764712368,89,pd,0.2750130965909842,0.29867853219222446
