region,npv,num,anat,n,timepoint,hemisphere,npv_CI_low,npv_CI_high
BrainSegVolNotVent,0.031746102368687815,3019.071861575785,95100.55207764941,89,pd,,0.030462835901143823,0.03308422481020315
MeanThickness,0.1058295756161688,0.0085067312102936,0.08038141663863886,89,pd,,0.1015516474445331,0.11029037299102125
bankssts,0.1617913374625714,0.022145894613408063,0.13687935930767162,89,pd,,0.15525127797137556,0.1686109658058286
caudalanteriorcingulate,0.2188266033912994,0.04021675755939536,0.18378367591567887,89,pd,,0.20998101853564236,0.2280503117192637
caudalmiddlefrontal,0.1623979903904141,0.019099365336738432,0.11760838475169834,89,pd,,0.15583340828693984,0.16924318961754012
cuneus,0.2165188325631821,0.02782914131462595,0.1285298880710765,89,pd,,0.20776653427493122,0.22564526658959233
eTIV,0.0007523221675426338,119.86203905429497,159322.75323723257,89,pd,,0.0007219111961677758,0.0007840331210306184
entoinalthickness,0.342307908340652,0.0938825290740583,0.27426339499182684,89,pd,,0.3284708629217489,0.3567364479055779
frontalpole,0.3774890791368964,0.0830918663534852,0.22011727211677012,89,pd,,0.362229912153354,0.3934005318989924
fusiform,0.24550529170182367,0.02397322043833413,0.09764848762384559,89,pd,,0.2355812794628819,0.25585352710161263
inferiorparietal,0.14204254766552127,0.014845415788121688,0.10451386596556515,89,pd,,0.13630078962962866,0.1480297494477696
inferiortemporal,0.18878815978543634,0.023839287605442495,0.12627533226944207,89,pd,,0.181156813042192,0.19674572479191865
insula,0.30828827332714187,0.041961401471866326,0.13611092312726,89,pd,,0.29582639693982304,0.32128285931455275
isthmuscingulate,0.23909451544883137,0.033188417995188256,0.1388087800043699,89,pd,,0.2294296447605861,0.24917253173724607
lateraloccipital,0.1627004654676801,0.017445958042799345,0.10722746239631949,89,pd,,0.15612365647350238,0.16955841425014326
lateralorbitofrontal,0.2746157625577441,0.029722828501675565,0.10823424054336893,89,pd,,0.2635150234667947,0.2861910265194332
lingual,0.2585668762445573,0.029545107245421778,0.1142648574115018,89,pd,,0.24811487813629468,0.26946566740062144
medialorbitofrontal,0.2670010505261354,0.03183453873586826,0.11923001303978817,89,pd,,0.2562081194456523,0.2782553485646117
middletemporal,0.15837275451158564,0.01911929523550768,0.12072338638341372,89,pd,,0.15197088372830012,0.16504828697460627
paracentral,0.21946969501599395,0.028766076186247262,0.13107083501506175,89,pd,,0.21059811459376485,0.22872051014670716
parahippocampal,0.14994133143434188,0.030452596882223675,0.2030967485143256,89,pd,,0.14388028241188375,0.15626147298031254
parsopercularis,0.1731490200926916,0.019673744288961632,0.11362319162089234,89,pd,,0.16614985122488718,0.18044738342629402
parsorbitalis,0.2621193851541737,0.04229850726099221,0.16137115244686318,89,pd,,0.25152378467525094,0.2731679172718347
parstriangularis,0.2248949739036326,0.02611339774749266,0.1161137454262639,89,pd,,0.21580408849735458,0.23437446867969935
pericalcarine,0.2694302814828243,0.04259315460681933,0.1580859967647496,89,pd,,0.258539154075988,0.28078697345996484
postcentral,0.2121232892180385,0.022957211523472288,0.10822579457494126,89,pd,,0.2035486711160338,0.22106444773804226
posteriorcingulate,0.21601461001912275,0.02682886785514694,0.12419932083654854,89,pd,,0.20728269381984318,0.22511979068050922
precentral,0.2278863891114534,0.027463611817655612,0.12051448936787472,89,pd,,0.21867458231513776,0.2374919743213941
precuneus,0.13935406603765083,0.014400342116362371,0.1033363612976436,89,pd,,0.13372098396712828,0.14522794626760038
rostralanteriorcingulate,0.29890187061191104,0.04873591013724675,0.16304986662503895,89,pd,,0.2868194189399613,0.311500812561749
rostralmiddlefrontal,0.18498140575797428,0.019138956231604262,0.10346421659615487,89,pd,,0.17750393868590647,0.19277851317711825
superiorfrontal,0.12815032710921404,0.015512288880414159,0.12104759488591912,89,pd,,0.1229701315792503,0.1335519611933247
superiorparietal,0.11946794271478153,0.013082080812130314,0.10950285503252156,89,pd,,0.11463871350573195,0.12450360767080446
superiortemporal,0.11767833780929068,0.015822457590962433,0.1344551417492341,89,pd,,0.11292144944821976,0.12263856955283065
supramarginal,0.13114175572228395,0.014341222896158589,0.1093566485912289,89,pd,,0.12584063826040487,0.13666948080531005
temporalpole,0.3673041061160754,0.099184232251898,0.2700330069834662,89,pd,,0.3524566442986875,0.382786254492798
transversetemporal,0.21118010503116472,0.038126785036920074,0.18054155731807003,89,pd,,0.20264361307849565,0.22008150761791154
