region,npv,num,anat,n,timepoint,hemisphere,npv_CI_low,npv_CI_high
BrainSegVolNotVent,0.031746102368687815,3019.071861575785,95100.55207764941,89,pd,,0.030462835901143823,0.03308422481020315
bankssts,0.20015124539857818,77.99226315151553,389.66663932668973,89,pd,,0.19206057087500264,0.2085877731352633
caudalanteriorcingulate,0.14942031078477377,60.519764837955925,405.03037719637115,89,pd,,0.1433803228778102,0.1557184909127542
caudalmiddlefrontal,0.1251184318128096,124.8969067005696,998.2294765924541,89,pd,,0.12006079399156218,0.13039226919642058
cuneus,0.14191704661626686,77.91233732658972,548.999145516739,89,pd,,0.13618036168466527,0.14789895843351442
eTIV,0.0007523221675426338,119.86203905429497,159322.75323723257,89,pd,,0.0007219111961677758,0.0007840331210306184
entoinalvolume,0.42427787485866486,137.01160944823437,322.928951913591,89,pd,,0.4071273735655055,0.442161511066768
frontalpole,0.4040088875039243,73.0604385082762,180.83869134578518,89,pd,,0.3876777155098812,0.4210381704269791
fusiform,0.16739322171799897,201.57002394920562,1204.170765580837,89,pd,,0.16062671835862158,0.17444897375763638
inferiorparietal,0.09874430306938273,165.09493329858523,1671.9438809809737,89,pd,,0.09475278147979309,0.10290645079934338
inferiortemporal,0.1438982670842296,207.3326850091903,1440.8282268460532,89,pd,,0.13808149566636202,0.14996368885614753
insula,0.24060032810971638,170.75005397787896,709.6833795671928,89,pd,,0.23087458825171683,0.2507418155509311
isthmuscingulate,0.155381076031804,64.29161489568104,413.7673424434361,89,pd,,0.1491001372807469,0.16193050696383662
lateraloccipital,0.1020640358169309,168.28211324140253,1648.789526050537,89,pd,,0.09793832132181034,0.10636611281561681
lateralorbitofrontal,0.22918558327186148,179.39438251265264,782.7472389476341,89,pd,,0.2199212594048983,0.23884593050712857
lingual,0.10851442213320224,101.17129381125551,932.3303927939368,89,pd,,0.10412796493756862,0.11308838783765757
medialorbitofrontal,0.24217505076335652,152.98669213001844,631.7194593241181,89,pd,,0.2323856562004855,0.25238291396615375
middletemporal,0.13275251376935288,203.60066100488203,1533.6859184348275,89,pd,,0.1273862849509638,0.13834813353329453
paracentral,0.14919026709509856,76.19445832663193,510.7200342905962,89,pd,,0.14315957819906874,0.15547875070600395
parahippocampal,0.23823357892681088,68.6031467008002,287.9658988873108,89,pd,,0.22860350970668167,0.24827530608380854
parsopercularis,0.20467686931335338,127.56418456642446,623.246705865566,89,pd,,0.19640325638218692,0.21330415555172444
parsorbitalis,0.22930252689874622,77.92069112530456,339.8161031156548,89,pd,,0.22003347584249752,0.2389678033971307
parstriangularis,0.1556226065876946,88.80553896621754,570.6467775693944,89,pd,,0.14933190449436443,0.16218221821697928
pericalcarine,0.16440675903655072,75.40010906961338,458.6192776469154,89,pd,,0.15776097687220905,0.1713366293950802
postcentral,0.1095330830490244,128.84582080995156,1176.3187634578244,89,pd,,0.10510544872304922,0.11414998608846107
posteriorcingulate,0.15956818428109262,68.138653001388,427.01904084686515,89,pd,,0.15311799087477462,0.16629410502117653
precentral,0.13577417275755796,185.58363461381404,1366.8552040836014,89,pd,,0.13028580001073056,0.14149715775379698
precuneus,0.1525392040020485,156.38660627527872,1025.2223833105786,89,pd,,0.14637314168648205,0.15896884785928475
rostralanteriorcingulate,0.17603500633029745,85.54613134284261,485.96090701602253,89,pd,,0.16891917780703353,0.18345501618622237
rostralmiddlefrontal,0.18700051495016606,342.22799154014876,1830.0911718416894,89,pd,,0.17944142982336642,0.194882729362621
superiorfrontal,0.14433163831723905,353.0592268412419,2446.166557502953,89,pd,,0.1384973488190459,0.15041532701735066
superiorparietal,0.15778608252974988,252.76871961929453,1601.970944247482,89,pd,,0.15140792667288253,0.1644368863210241
superiortemporal,0.12530908405653754,159.93223967609944,1276.302040512406,89,pd,,0.1202437395370474,0.13059095757771572
supramarginal,0.14155537906529672,221.20284513292458,1562.6594100029786,89,pd,,0.13583331375014973,0.14752204631926844
temporalpole,0.4144728775378233,166.88967409318127,402.65523545132703,89,pd,,0.3977187217276485,0.43194322562628135
transversetemporal,0.17073979524139554,28.6001911435671,167.50747008412154,89,pd,,0.1638380139970712,0.17793660790894342
