region,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
3rd-Ventricle,0.4510175904635443,0.028556324874850728,0.06331532401097986,178,pd,0.4380672392803253,0.4643574985032992
4th-Ventricle,0.4268975743785748,0.0301321859122284,0.07058411132012438,178,pd,0.4146397963575782,0.4395240761049303
5th-Ventricle,,2.966666666666667,,178,pd,,
Accumbens-area,0.46073318026252524,0.052372233162798085,0.11367150317447605,178,pd,0.4475038592508356,0.47436044976491665
Amygdala,0.49789463748857093,0.0295316460128806,0.05931304293984989,178,pd,0.48359827622893253,0.5126210446576535
Brain-Stem,0.4208886717774414,0.01248416101730902,0.029661432712331175,178,pd,0.40880343114867923,0.4333374460496712
BrainSegVol,0.2370004873774911,0.0035753416274066307,0.015085798628387949,178,pd,0.23019534361585184,0.2440103352722117
BrainSegVol-to-eTIV,0.2584064601601255,0.003577674313882879,0.013845142693669188,178,pd,0.2509866732652358,0.2660494401420632
BrainSegVolNotVent,0.23339041300281702,0.003694697517864012,0.015830545352432352,178,pd,0.22668892757277745,0.2402934844409357
CC_Anterior,0.7237343572023142,0.04656452048326564,0.06433924273440138,178,pd,0.7029533183086908,0.7451405062626364
CC_Central,0.6295742181563126,0.08151119683976911,0.12947035391390702,178,pd,0.6114968584403754,0.6481953592203986
CC_Mid_Anterior,0.6073107384656985,0.0795856974712743,0.13104608963829376,178,pd,0.5898726440171261,0.625273384655089
CC_Mid_Posterior,0.7980033593808593,0.07475467116525693,0.09367713843116683,178,pd,0.7750897880082901,0.8216061891920319
CC_Posterior,0.9503485710250691,0.128809735733027,0.1355394637928373,178,pd,0.9230606159619511,0.9784573694649642
CSF,0.5741981714138543,0.053739353940213785,0.09359025614430432,178,pd,0.5577108588881301,0.5911814354044755
Caudate,0.42754080238225045,0.015600909186944024,0.03648987207774325,178,pd,0.4152645549518237,0.44018632909255123
Cerebellum-Cortex,0.259949804135619,0.007112811589783739,0.027362250236868415,178,pd,0.25248570223638866,0.2676384321524497
Cerebellum-White-Matter,0.4408026424939622,0.030791379349549362,0.06985298267573593,178,pd,0.4281455995238186,0.453840419376471
CerebralWhiteMatterVol,0.22710147923132054,0.006142076463149412,0.027045515000337046,178,pd,0.2205805719042884,0.23381854063356977
CortexVol,0.13486532745855,0.004142346102246186,0.030714685385087648,178,pd,0.13099285465492172,0.1388542873219545
EstimatedTotalIntraCranialVol,0.0056665979577228305,9.328435324726913e-05,0.016462144295967703,178,pd,0.005503889373582688,0.005834200945394762
Hippocampus,0.5366846140437138,0.015023099789365117,0.027992417513466226,178,pd,0.5212744518383925,0.5525583261761748
Inf-Lat-Vent,0.46173699868354523,0.06848726156661243,0.1483252625669503,178,pd,0.44847885440342594,0.4753939584811893
Lateral-Ventricle,0.12247239713704022,0.006839497521111373,0.055845216399727456,178,pd,0.11895577032089938,0.12609480688282712
MaskVol,0.1591316551241532,0.002468716824660665,0.015513675281857608,178,pd,0.15456240802204657,0.16383834881073078
MaskVol-to-eTIV,0.14759008078045616,0.0024671274823985265,0.016716079219906647,178,pd,0.1433522341472414,0.15195540520864034
Optic-Chiasm,0.6519023279335161,0.1586718673867135,0.24339822176995748,178,pd,0.6331838471859689,0.6711838754594062
Pallidum,0.4972635464437245,0.027567272931623976,0.0554379526284937,178,pd,0.4829853060973989,0.5119712876080192
Putamen,0.6046959238203128,0.023458366581822078,0.0387936575355398,178,pd,0.5873329101859985,0.6225812307048779
SubCortGrayVol,0.4264806046756293,0.008431288126388768,0.01976945266432784,178,pd,0.41423479936744945,0.4390947735404506
SupraTentorialVol,0.25575429807556804,0.004029513330960691,0.01575540806657367,178,pd,0.2484106643754009,0.26331883411415946
SupraTentorialVolNotVent,0.2519963334126421,0.004177739559185653,0.016578572801472617,178,pd,0.24476060451075346,0.25944971879086004
SurfaceHoles,0.5420093978273115,0.4587592770688748,0.8464046544356029,178,pd,0.5264463417627918,0.5580406029877757
Thalamus,0.3708930700959647,0.01871679927224596,0.05046413853837491,178,pd,0.36024338456102056,0.38186310663617473
TotalGrayVol,0.12521526217598858,0.0033372182703640912,0.026651849082691456,178,pd,0.12161987775426067,0.12891879861873518
TotalVentricle,0.4510175904635443,0.028556324874850728,0.06331532401097986,178,pd,0.4380672392803253,0.4643574985032992
VentralDC,0.5044492907659403,0.01935905280053365,0.03837660822387016,178,pd,0.4899647216323275,0.5193695672514339
WM-hypointensities,0.5485088777033096,0.17201545425971865,0.31360559737879473,178,pd,0.532759197993322,0.5647323202968259
choroid-plexus,0.6320442950069978,0.07343112955486095,0.11618035339445307,178,pd,0.6138960104239549,0.650738494414563
non-WM-hypointensities,,0.02319100286768226,,178,pd,,
vessel,0.7693955349404902,0.2641569606331202,0.34333050899957684,178,pd,0.747303397988494,0.7921522209308425
