region,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
3rd-Ventricle,0.4510175904635443,0.028556324874850728,0.06331532401097986,178,pd,0.4380672392803253,0.4643574985032992
4th-Ventricle,0.4268975743785748,0.0301321859122284,0.07058411132012438,178,pd,0.4146397963575782,0.4395240761049303
5th-Ventricle,,2.966666666666667,,178,pd,,
Brain-Stem,0.4208886717774414,0.01248416101730902,0.029661432712331175,178,pd,0.40880343114867923,0.4333374460496712
BrainSegVol,0.2370004873774911,0.0035753416274066307,0.015085798628387949,178,pd,0.23019534361585184,0.2440103352722117
BrainSegVol-to-eTIV,0.2584064601601255,0.003577674313882879,0.013845142693669188,178,pd,0.2509866732652358,0.2660494401420632
BrainSegVolNotVent,0.23339041300281702,0.003694697517864012,0.015830545352432352,178,pd,0.22668892757277745,0.2402934844409357
CC_Anterior,0.7237343572023142,0.04656452048326564,0.06433924273440138,178,pd,0.7029533183086908,0.7451405062626364
CC_Central,0.6295742181563126,0.08151119683976911,0.12947035391390702,178,pd,0.6114968584403754,0.6481953592203986
CC_Mid_Anterior,0.6073107384656985,0.0795856974712743,0.13104608963829376,178,pd,0.5898726440171261,0.625273384655089
CC_Mid_Posterior,0.7980033593808593,0.07475467116525693,0.09367713843116683,178,pd,0.7750897880082901,0.8216061891920319
CC_Posterior,0.9503485710250691,0.128809735733027,0.1355394637928373,178,pd,0.9230606159619511,0.9784573694649642
CSF,0.5741981714138543,0.053739353940213785,0.09359025614430432,178,pd,0.5577108588881301,0.5911814354044755
CerebralWhiteMatterVol,0.22710147923132054,0.006142076463149412,0.027045515000337046,178,pd,0.2205805719042884,0.23381854063356977
CortexVol,0.13486532745855,0.004142346102246186,0.030714685385087648,178,pd,0.13099285465492172,0.1388542873219545
EstimatedTotalIntraCranialVol,0.0056665979577228305,9.328435324726913e-05,0.016462144295967703,178,pd,0.005503889373582688,0.005834200945394762
