region,hemisphere,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
BrainSegVolNotVent,lh,0.02878562891684711,2782.5177166537146,96663.4331558834,89,pd,0.027622033086809425,0.029998965143115883
BrainSegVolNotVent,rh,0.02878562891684711,2782.5177166537146,96663.4331558834,89,pd,0.027622033086809425,0.029998965143115883
MeanThickness,lh,0.11762766505689591,0.009152118764188517,0.07780583555545104,89,pd,0.11287282503055318,0.1225857609052521
MeanThickness,rh,0.10519834080911823,0.008206228727776503,0.0780072068120034,89,pd,0.10094592891824125,0.10963253115513387
bankssts,lh,0.18617111208997456,0.02501359526620964,0.1343580912495212,89,pd,0.17864555375226568,0.1940183665389231
bankssts,rh,0.1688542129771464,0.021810715531908366,0.12916891528706093,89,pd,0.1620286522547433,0.17597154691329564
caudalanteriorcingulate,lh,0.20934311665471297,0.041648263340017096,0.19894737407923013,89,pd,0.20088088092277273,0.21816708877951566
caudalanteriorcingulate,rh,0.21450187253096753,0.03792800804544831,0.17681900674304213,89,pd,0.20583110542237637,0.22354329015279992
caudalmiddlefrontal,lh,0.19974719602817878,0.021201120304379213,0.10613976429180175,89,pd,0.1916728543130294,0.2081666927755559
caudalmiddlefrontal,rh,0.17368687102672545,0.021501965900755073,0.12379730127930356,89,pd,0.16666596071613957,0.1810079051876522
cuneus,lh,0.20906051065388026,0.027363271473935018,0.13088684892403013,89,pd,0.20060969864886508,0.21787257072008032
cuneus,rh,0.23416967171338188,0.029548616605547584,0.12618464376426333,89,pd,0.22470387701721273,0.24404010208000917
eTIV,lh,0.0004883873692063198,78.63724399205732,161014.08216156575,89,pd,0.00046864538240126675,0.0005089732695256043
eTIV,rh,0.0004883873692063198,78.63724399205732,161014.08216156575,89,pd,0.00046864538240126675,0.0005089732695256043
entorhinal,lh,0.357050917234573,0.09719761370852137,0.2722233973275725,89,pd,0.3426179180596922,0.3721008858753364
entorhinal,rh,0.3126423792197168,0.094336004504614,0.3017377386266535,89,pd,0.30000449766416704,0.3258204940932859
frontalpole,lh,0.38039656386776166,0.07808439553633523,0.20527103279376605,89,pd,0.36501986819938465,0.3964305693300773
frontalpole,rh,0.29754394574845594,0.07225637994339162,0.24284271609571673,89,pd,0.28551638520684025,0.3100856501290144
fusiform,lh,0.23511255948455073,0.024924871036718754,0.10601250350624748,89,pd,0.22560865062099986,0.24502273329028681
fusiform,rh,0.2682002957715614,0.028031530894457927,0.10451715130968266,89,pd,0.25735888783581135,0.2795051429123227
inferiorparietal,lh,0.1597470539240994,0.015688012698788126,0.09820533345323519,89,pd,0.15328963010529592,0.16648051415613838
inferiorparietal,rh,0.16502886553678348,0.014839694834566501,0.08992181329186236,89,pd,0.15835793608343862,0.17198495815905124
inferiortemporal,lh,0.17574878760793958,0.024865377205629115,0.14148249637487573,89,pd,0.16864452884793413,0.18315673312629258
inferiortemporal,rh,0.16802428669758981,0.02275670615492514,0.13543700498418226,89,pd,0.16123227392235578,0.17510663860770698
insula,lh,0.3055888749017185,0.042808230898633275,0.14008438923832217,89,pd,0.2932361157673353,0.3184696791854827
insula,rh,0.30609960839901196,0.04402654381244506,0.14383077470342548,89,pd,0.29372620398467236,0.3190019404894475
isthmuscingulate,lh,0.21655791326269086,0.031982642494268076,0.14768632562261638,89,pd,0.20780403522299126,0.2256859945704094
isthmuscingulate,rh,0.21758952190531083,0.032198120217628134,0.1479764279809388,89,pd,0.20879394335184964,0.22676108630457614
lateraloccipital,lh,0.14686195623886192,0.016859738625401452,0.11479990500725815,89,pd,0.140925384195765,0.15305229977035312
lateraloccipital,rh,0.1604717236914243,0.017362695085717125,0.10819784748560658,89,pd,0.1539850066887946,0.16723572930717945
lateralorbitofrontal,lh,0.2532474794605682,0.024959659414714196,0.09855837249744683,89,pd,0.24301050628485246,0.2639220539827503
lateralorbitofrontal,rh,0.2946887729383631,0.032191577568963056,0.1092392399207425,89,pd,0.2827766264870721,0.3071101296060837
lingual,lh,0.2515234045383211,0.029357053575611324,0.11671698556043758,89,pd,0.2413561233049282,0.26212530798682243
lingual,rh,0.24533032451997677,0.03169254170391321,0.12918314018425614,89,pd,0.23541338494509867,0.2556711849195267
medialorbitofrontal,lh,0.31995386505783907,0.030924147029304794,0.09665189393387869,89,pd,0.30702043274475,0.3334401646391618
medialorbitofrontal,rh,0.24841377279674356,0.027905714820081317,0.11233561853639353,89,pd,0.23837219159713852,0.25888460289425747
middletemporal,lh,0.17400241885527631,0.02103141618446763,0.12086852770684854,89,pd,0.16696875321672663,0.18133675359798318
middletemporal,rh,0.16275069205964585,0.01784389913632132,0.10963946703084851,89,pd,0.15617185276579543,0.1696107579312902
paracentral,lh,0.2409614415740639,0.032284836999533245,0.13398341572259356,89,pd,0.2312211044973446,0.25111815022338047
paracentral,rh,0.22306043652839613,0.03125232962794495,0.14010700469496504,89,pd,0.21404370826650565,0.23246260415409042
parahippocampal,lh,0.1623541212169988,0.03352953393107729,0.206520990534404,89,pd,0.1557913124285145,0.16919747132498708
parahippocampal,rh,0.17461508498399173,0.03137280337653426,0.17966834526015,89,pd,0.16755665366272451,0.18197524407157312
parsopercularis,lh,0.18095758444345506,0.019377397752210288,0.10708253987699126,89,pd,0.17364277151092042,0.18858508472345878
parsopercularis,rh,0.18560738169204793,0.01997991947852128,0.10764614691710449,89,pd,0.17810461091761196,0.19343087447451948
parsorbitalis,lh,0.24260331405776928,0.03689207764898079,0.15206749253308205,89,pd,0.2327966078917724,0.2528292288852503
parsorbitalis,rh,0.2893523759519655,0.040544015796913385,0.14011986479642377,89,pd,0.2776559416290679,0.3015487994142991
parstriangularis,lh,0.19631095177459723,0.02320417995009604,0.11820114843485097,89,pd,0.18837551268672792,0.20458560820435537
parstriangularis,rh,0.22843768892813973,0.025526427067346244,0.11174350076434263,89,pd,0.2192035970474978,0.23806651184607192
pericalcarine,lh,0.25512474059591794,0.042827880280255685,0.16787035306814513,89,pd,0.24481188326164188,0.2658784431075654
pericalcarine,rh,0.3017606485108036,0.04689332936364468,0.1553990873066599,89,pd,0.289562637020732,0.31448009013072353
postcentral,lh,0.21259197055167003,0.021374335372564033,0.10054159297314122,89,pd,0.20399840703607006,0.22155288434755518
postcentral,rh,0.16181658712085406,0.016228468216057394,0.10028927506632572,89,pd,0.15527550696767536,0.16863727975647685
posteriorcingulate,lh,0.20563420506846825,0.026101819446015518,0.12693325722403342,89,pd,0.19732189394189964,0.21430184373949723
posteriorcingulate,rh,0.24576234538111846,0.02639961728069146,0.10741929256799687,89,pd,0.23582794231173185,0.25612141578965725
precentral,lh,0.2667759762883161,0.03323867175314876,0.12459394663493356,89,pd,0.2559921433395894,0.2780207872759055
precentral,rh,0.18950397638102745,0.024337253012269737,0.128426080956401,89,pd,0.18184369432398093,0.19749171360328116
precuneus,lh,0.1411008460165873,0.014512254530123999,0.10285023045445095,89,pd,0.13539715420169005,0.1470483543556842
precuneus,rh,0.16589469205498747,0.0136679836482748,0.08238951758471216,89,pd,0.15918876346617025,0.17288727992574315
rostralanteriorcingulate,lh,0.2710886990418479,0.04835068578524196,0.1783574378280449,89,pd,0.2601305337474005,0.28251529458470376
rostralanteriorcingulate,rh,0.2931779543216023,0.04239667657919787,0.14461072517304874,89,pd,0.2813268793948378,0.30553562883166246
rostralmiddlefrontal,lh,0.19776070933997414,0.01801469197773647,0.09109338269396615,89,pd,0.18976666698647837,0.20609647415747884
rostralmiddlefrontal,rh,0.1674772063550989,0.018500866853479174,0.11046796908142902,89,pd,0.16070730810121361,0.174536498411282
superiorfrontal,lh,0.12166997504864588,0.014519005516062514,0.11933104704145414,89,pd,0.1167517335185977,0.126798457347997
superiorfrontal,rh,0.1342603638548733,0.015218616630128749,0.11335152231956619,89,pd,0.12883318350831363,0.1399195406506182
superiorparietal,lh,0.13051547468193384,0.012934869089987262,0.09910601881891426,89,pd,0.12523967325567403,0.13601680154116996
superiorparietal,rh,0.13356544828775568,0.01211874552441655,0.09073263841639433,89,pd,0.1281663583768249,0.1391953338620297
superiortemporal,lh,0.13544905519665293,0.018259612024569785,0.13480796893015903,89,pd,0.12997382461320275,0.14115833623959004
superiortemporal,rh,0.12172504111740944,0.01608470609290307,0.13213966448685466,89,pd,0.11680457366246745,0.12685584449358198
supramarginal,lh,0.16014464970086537,0.016060493894378667,0.10028742093087785,89,pd,0.15367115394598496,0.1668948688983157
supramarginal,rh,0.1439240084748706,0.01434859137093827,0.09969560688996207,89,pd,0.13810619651781955,0.1499905152660483
temporalpole,lh,0.45107194780277304,0.11759609285367932,0.2607036270521906,89,pd,0.4328383549559237,0.4700849746330608
temporalpole,rh,0.2830977487115427,0.09451492837321128,0.3338596961769397,89,pd,0.2716541439584426,0.29503053486254516
transversetemporal,lh,0.21490218865654245,0.04032326955265073,0.18763545315536803,89,pd,0.2062152396477482,0.22396047990856452
transversetemporal,rh,0.2020643477007361,0.03828641300665502,0.18947633980121248,89,pd,0.1938963402181463,0.21058151415941936
