region,npv,num,anat,n,timepoint,hemisphere,npv_CI_low,npv_CI_high
BrainSegVolNotVent,0.23339041300281702,0.003694697517864012,0.015830545352432352,178,pd,,0.22668892757277745,0.2402934844409357
MeanThickness,0.29888062646875874,0.005037434513471086,0.016854336037058718,178,pd,,0.2902986794306115,0.30772072529474864
bankssts,0.4576032050863128,0.013609530036084483,0.0297408975392064,178,pd,,0.4444637570165743,0.47113789819722807
caudalanteriorcingulate,0.5742795598909123,0.02437642895148611,0.042446972962291316,178,pd,,0.557789910406758,0.5912652311375306
caudalmiddlefrontal,0.3836170820214817,0.012035107851054537,0.03137271100555579,178,pd,,0.37260204394513097,0.3949634611979261
cuneus,0.45045024674033673,0.020886404484302477,0.046367838924378485,178,pd,,0.43751618605356957,0.46377337425255893
eTIV,0.0056665979577228305,9.328435324726913e-05,0.016462144295967703,178,pd,,0.005503889373582688,0.005834200945394762
entoinalthickness,0.5859159590206212,0.04701309993020009,0.08023864038246051,178,pd,,0.5690921863039717,0.6032458041921294
frontalpole,0.578987338504734,0.04291492714891548,0.0741206660231044,178,pd,,0.5623625116181215,0.5961122533975156
fusiform,0.49711445400219983,0.013857800313960148,0.027876478348985653,178,pd,,0.48284049464073453,0.5118177854062071
inferiorparietal,0.3371526792610525,0.0090418238334845,0.026818187692595922,178,pd,,0.32747180274733095,0.3471247642346717
inferiortemporal,0.41290101687131675,0.012651407118171252,0.030640290532668136,178,pd,,0.4010451307918048,0.42511353742716385
insula,0.6787133802381883,0.021722319105777183,0.03200514346446792,178,pd,,0.6592250569162521,0.6987879278149761
isthmuscingulate,0.5844615308467856,0.021097311538961654,0.03609700626214907,178,pd,,0.5676795200392506,0.6017483578777608
lateraloccipital,0.3751112832375762,0.011213327845858155,0.02989333658288335,178,pd,,0.3643404775008825,0.3862060833714708
lateralorbitofrontal,0.4310273415865409,0.016659334227634822,0.038650295747630646,178,pd,,0.4186509829674059,0.4437759909096747
lingual,0.5177588950915535,0.02103113429435538,0.0406195518681268,178,pd,,0.502892158934368,0.5330728344884355
medialorbitofrontal,0.44191151888094504,0.018576718054787816,0.042037189032387616,178,pd,,0.4292226360470492,0.4549820933956141
middletemporal,0.3386398048342039,0.0099689294135465,0.02943815012658429,178,pd,,0.32891622755041694,0.34865587505099066
paracentral,0.4997079718058447,0.018824003862915516,0.03767000913531423,178,pd,,0.48535954313970636,0.5144880126103978
parahippocampal,0.49748215880884455,0.017018918957311505,0.034210109158609954,178,pd,,0.4831976413084541,0.5121963659489874
parsopercularis,0.4106314170547786,0.011057970259097416,0.026929187100221977,178,pd,,0.3988406994194494,0.4227768088478461
parsorbitalis,0.45592138575528934,0.02265474515579378,0.04969002521841224,178,pd,,0.4428302288196973,0.4694063350963612
parstriangularis,0.4439247600292713,0.015288367812399192,0.034439096867205865,178,pd,,0.431178069738552,0.4570548808950104
pericalcarine,0.47341883865271783,0.036034489638348925,0.07611545358207104,178,pd,,0.45982526636875626,0.4874213163951581
postcentral,0.45617311739861893,0.014565891838036525,0.03193062300799364,178,pd,,0.44307473233433753,0.4696655122962361
posteriorcingulate,0.5136398137361666,0.016321867482781516,0.03177687368908929,178,pd,,0.4988913513475268,0.528831921595541
precentral,0.5061515987481126,0.01761671168281703,0.034805208017497584,178,pd,,0.491618150176852,0.5211222250035878
precuneus,0.4090755440167155,0.00852487491363255,0.020839365829418074,178,pd,,0.39732950114056514,0.4211749171983404
rostralanteriorcingulate,0.6474148105371621,0.02535747070332408,0.03916727002628331,178,pd,,0.6288251826934758,0.6665636291614307
rostralmiddlefrontal,0.2815982988422118,0.011411458835854388,0.04052389124072294,178,pd,,0.27351259012549506,0.28992723210365223
superiorfrontal,0.30824254210777735,0.008326989485400048,0.027014406994114743,178,pd,,0.2993917805093192,0.3173595416497063
superiorparietal,0.26876795532310255,0.008140103620787131,0.03028673418675009,178,pd,,0.26105065231358454,0.27671740094086267
superiortemporal,0.31508438539611294,0.008889296672236926,0.02821243160324056,178,pd,,0.30603716965662353,0.3244037485757772
supramarginal,0.3941272755351489,0.008531390556025585,0.02164628302987049,178,pd,,0.382810451675087,0.405784518451538
temporalpole,0.5009850552208702,0.04857629067398409,0.09696155637330972,178,pd,,0.48659995685699825,0.5158028687768099
transversetemporal,0.49422818113934386,0.02412047423195832,0.04880432794494521,178,pd,,0.480037097142332,0.5088461442220655
